// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音無
<0000> 音無

//<0001> クソ坊主
<0001> クソ坊主

//<0002> 代理人
<0002> 代理人

//<0003> 微妙すぎるイケメン
<0003> 微妙すぎるイケメン

//<0004> ロリコン
<0004> ロリコン

//<0005> メガネ仲間
<0005> メガネ仲間

//<0006> 暗算日本記録保持者
<0006> 暗算日本記録保持者

//<0007> 通り魔
<0007> 通り魔

//<0008> 記憶ナシ男
<0008> 記憶ナシ男

//<0009> 音速
<0009> 音速

//<0010> 無限
<0010> 無限

//<0011> エロ侍
<0011> エロ侍

//<0012> エロエロ団ナンバー１
<0012> エロエロ団ナンバー１

//<0013> ただのエロ少年
<0013> ただのエロ少年

//<0014> ユリブサイク
<0014> ユリブサイク

//<0015> ドピュッシー
<0015> ドピュッシー

//<0016> アメリカンエロドッグ
<0016> アメリカンエロドッグ

//<0017> ゼウス
<0017> ゼウス

//<0018> 日向markⅡ
<0018> 日向markⅡ

//<0019> 糞虫
<0019> 糞虫

//<0020> 量産型日向
<0020> 量産型日向

//<0021> ？？
<0021> ？？

//<0022> （眩しい…朝か…）
<0022> （眩しい…朝か…）

//<0023> se_hit01_otwu
<0023> se_hit01_otwu

//<0024> 音無
<0024> 音無

//<0025> クソ坊主
<0025> クソ坊主

//<0026> 代理人
<0026> 代理人

//<0027> 微妙すぎるイケメン
<0027> 微妙すぎるイケメン

//<0028> ロリコン
<0028> ロリコン

//<0029> メガネ仲間
<0029> メガネ仲間

//<0030> 暗算日本記録保持者
<0030> 暗算日本記録保持者

//<0031> 通り魔
<0031> 通り魔

//<0032> 記憶ナシ男
<0032> 記憶ナシ男

//<0033> 音速
<0033> 音速

//<0034> 無限
<0034> 無限

//<0035> エロ侍
<0035> エロ侍

//<0036> エロエロ団ナンバー１
<0036> エロエロ団ナンバー１

//<0037> ただのエロ少年
<0037> ただのエロ少年

//<0038> ユリブサイク
<0038> ユリブサイク

//<0039> ドピュッシー
<0039> ドピュッシー

//<0040> アメリカンエロドッグ
<0040> アメリカンエロドッグ

//<0041> ゼウス
<0041> ゼウス

//<0042> 日向markⅡ
<0042> 日向markⅡ

//<0043> 糞虫
<0043> 糞虫

//<0044> 量産型日向
<0044> 量産型日向

//<0045> ？？
<0045> ？？

//<0046> 「はっ…ここは…？」
<0046> 「はっ…ここは…？」

//<0047> 消毒液の匂いに、見覚えのない天井。
<0047> 消毒液の匂いに、見覚えのない天井。

//<0048> se_bird
<0048> se_bird

//<0049> se_chime2
<0049> se_chime2

//<0050> 起きあがると、ひたすら白いベッドに寝かされていたことがわかった。
<0050> 起きあがると、ひたすら白いベッドに寝かされていたことがわかった。

//<0051> 周囲を確認すると、薬を陳列した棚が目に飛び込んでくる。
<0051> 周囲を確認すると、薬を陳列した棚が目に飛び込んでくる。

//<0052> se_curtain_open
<0052> se_curtain_open

//<0053> se_window_open
<0053> se_window_open

//<0054> ベッドから下りて、同じくひたすら白いカーテンと窓をざっと開け放つ。
<0054> ベッドから下りて、同じくひたすら白いカーテンと窓をざっと開け放つ。

//<0055> 一瞬病院かと思ったが、外から部活中のようなかけ声が聞こえてきて、保健室なんだと思い直した。
<0055> 一瞬病院かと思ったが、外から部活中のようなかけ声が聞こえてきて、保健室なんだと思い直した。

//<0056> 養護教諭は不在のようで、椅子は空虚にそっぽを向いていた。
<0056> 養護教諭は不在のようで、椅子は空虚にそっぽを向いていた。

//<0057> それよりも、だ。
<0057> それよりも、だ。

//<0058> 記憶をなぞろう。
<0058> 記憶をなぞろう。

//<0059> 黒
<0059> 黒

//<0060> se_memory1
<0060> se_memory1

//<0061> あの時…完全に心臓を貫かれたはずだ。
<0061> あの時…完全に心臓を貫かれたはずだ。

//<0062> 胸に走る激痛も思い出せる。
<0062> 胸に走る激痛も思い出せる。

//<0063> なのに…。
<0063> なのに…。

//<0064> 音無
<0064> 音無

//<0065> クソ坊主
<0065> クソ坊主

//<0066> 代理人
<0066> 代理人

//<0067> 微妙すぎるイケメン
<0067> 微妙すぎるイケメン

//<0068> ロリコン
<0068> ロリコン

//<0069> メガネ仲間
<0069> メガネ仲間

//<0070> 暗算日本記録保持者
<0070> 暗算日本記録保持者

//<0071> 通り魔
<0071> 通り魔

//<0072> 記憶ナシ男
<0072> 記憶ナシ男

//<0073> 音速
<0073> 音速

//<0074> 無限
<0074> 無限

//<0075> エロ侍
<0075> エロ侍

//<0076> エロエロ団ナンバー１
<0076> エロエロ団ナンバー１

//<0077> ただのエロ少年
<0077> ただのエロ少年

//<0078> ユリブサイク
<0078> ユリブサイク

//<0079> ドピュッシー
<0079> ドピュッシー

//<0080> アメリカンエロドッグ
<0080> アメリカンエロドッグ

//<0081> ゼウス
<0081> ゼウス

//<0082> 日向markⅡ
<0082> 日向markⅡ

//<0083> 糞虫
<0083> 糞虫

//<0084> 量産型日向
<0084> 量産型日向

//<0085> ？？
<0085> ？？

//<0086> 「…生きてる」
<0086> 「…生きてる」

//<0087> 裸にされていた上半身を確かめるが、傷ひとつない。
<0087> 裸にされていた上半身を確かめるが、傷ひとつない。

//<0088> …服はどこだ？
<0088> …服はどこだ？

//<0089> 探すと、ベッドの脇に籠があり、その中に折り畳まれて仕舞われていた。
<0089> 探すと、ベッドの脇に籠があり、その中に折り畳まれて仕舞われていた。

//<0090> とりあえず上着を着ようと、シャツを掴みあげたが、俺はそれを思わず放り投げてしまう。
<0090> とりあえず上着を着ようと、シャツを掴みあげたが、俺はそれを思わず放り投げてしまう。

//<0091> 血にまみれていたからだ。
<0091> 血にまみれていたからだ。

//<0092> 何かのドッキリか？
<0092> 何かのドッキリか？

//<0093> にしては、すべてがリアルすぎる…。
<0093> にしては、すべてがリアルすぎる…。

//<0094> この胸を刺された感覚、痛み、今見た黒ずんだ血の跡…。
