// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 岩沢に気がある
<0000> 岩沢に気がある

//<0001> ひさ子に気がある
<0001> ひさ子に気がある

//<0002> 関根に気がある
<0002> 関根に気がある

//<0003> 入江に気がある
<0003> 入江に気がある

//<0004> ゆりに気がある
<0004> ゆりに気がある

//<0005> selbtn : 
<0005> selbtn : 

//<0006> 音無
<0006> 音無

//<0007> クソ坊主
<0007> クソ坊主

//<0008> 代理人
<0008> 代理人

//<0009> 微妙すぎるイケメン
<0009> 微妙すぎるイケメン

//<0010> ロリコン
<0010> ロリコン

//<0011> メガネ仲間
<0011> メガネ仲間

//<0012> 暗算日本記録保持者
<0012> 暗算日本記録保持者

//<0013> 通り魔
<0013> 通り魔

//<0014> 記憶ナシ男
<0014> 記憶ナシ男

//<0015> 音速
<0015> 音速

//<0016> 無限
<0016> 無限

//<0017> エロ侍
<0017> エロ侍

//<0018> エロエロ団ナンバー１
<0018> エロエロ団ナンバー１

//<0019> ただのエロ少年
<0019> ただのエロ少年

//<0020> ユリブサイク
<0020> ユリブサイク

//<0021> ドピュッシー
<0021> ドピュッシー

//<0022> アメリカンエロドッグ
<0022> アメリカンエロドッグ

//<0023> ゼウス
<0023> ゼウス

//<0024> 日向markⅡ
<0024> 日向markⅡ

//<0025> 糞虫
<0025> 糞虫

//<0026> 量産型日向
<0026> 量産型日向

//<0027> ？？
<0027> ？？

//<0028> 「ひさ子」
<0028> 「ひさ子」

//<0029> 音無
<0029> 音無

//<0030> クソ坊主
<0030> クソ坊主

//<0031> 代理人
<0031> 代理人

//<0032> 微妙すぎるイケメン
<0032> 微妙すぎるイケメン

//<0033> ロリコン
<0033> ロリコン

//<0034> メガネ仲間
<0034> メガネ仲間

//<0035> 暗算日本記録保持者
<0035> 暗算日本記録保持者

//<0036> 通り魔
<0036> 通り魔

//<0037> 記憶ナシ男
<0037> 記憶ナシ男

//<0038> 音速
<0038> 音速

//<0039> 無限
<0039> 無限

//<0040> エロ侍
<0040> エロ侍

//<0041> エロエロ団ナンバー１
<0041> エロエロ団ナンバー１

//<0042> ただのエロ少年
<0042> ただのエロ少年

//<0043> ユリブサイク
<0043> ユリブサイク

//<0044> ドピュッシー
<0044> ドピュッシー

//<0045> アメリカンエロドッグ
<0045> アメリカンエロドッグ

//<0046> ゼウス
<0046> ゼウス

//<0047> 日向markⅡ
<0047> 日向markⅡ

//<0048> 糞虫
<0048> 糞虫

//<0049> 量産型日向
<0049> 量産型日向

//<0050> ？？
<0050> ？？

//<0051> 「いや、関根に気がある」
<0051> 「いや、関根に気がある」

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> nothing
<0054> nothing

//<0055> nothing
<0055> nothing

//<0056> nothing
<0056> nothing

//<0057> 日向
<0057> 日向

//<0058> 男Ｂ
<0058> 男Ｂ

//<0059> エロエロ団総帥
<0059> エロエロ団総帥

//<0060> イケチン
<0060> イケチン

//<0061> ホモ太
<0061> ホモ太

//<0062> ひなチン
<0062> ひなチン

//<0063> 秀樹
<0063> 秀樹

//<0064> 男子生徒
<0064> 男子生徒

//<0065> ？？
<0065> ？？

//<0066> 「えぇぇぇー！！　あいつにどんな魅力があるってんだよ！？」
<0066> 「えぇぇぇー！！　あいつにどんな魅力があるってんだよ！？」

//<0067> 音無
<0067> 音無

//<0068> クソ坊主
<0068> クソ坊主

//<0069> 代理人
<0069> 代理人

//<0070> 微妙すぎるイケメン
<0070> 微妙すぎるイケメン

//<0071> ロリコン
<0071> ロリコン

//<0072> メガネ仲間
<0072> メガネ仲間

//<0073> 暗算日本記録保持者
<0073> 暗算日本記録保持者

//<0074> 通り魔
<0074> 通り魔

//<0075> 記憶ナシ男
<0075> 記憶ナシ男

//<0076> 音速
<0076> 音速

//<0077> 無限
<0077> 無限

//<0078> エロ侍
<0078> エロ侍

//<0079> エロエロ団ナンバー１
<0079> エロエロ団ナンバー１

//<0080> ただのエロ少年
<0080> ただのエロ少年

//<0081> ユリブサイク
<0081> ユリブサイク

//<0082> ドピュッシー
<0082> ドピュッシー

//<0083> アメリカンエロドッグ
<0083> アメリカンエロドッグ

//<0084> ゼウス
<0084> ゼウス

//<0085> 日向markⅡ
<0085> 日向markⅡ

//<0086> 糞虫
<0086> 糞虫

//<0087> 量産型日向
<0087> 量産型日向

//<0088> ？？
<0088> ？？

//<0089> 「やっぱ引くよな…」
<0089> 「やっぱ引くよな…」

//<0090> nothing
<0090> nothing

//<0091> nothing
<0091> nothing

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> 日向
<0095> 日向

//<0096> 男Ｂ
<0096> 男Ｂ

//<0097> エロエロ団総帥
<0097> エロエロ団総帥

//<0098> イケチン
<0098> イケチン

//<0099> ホモ太
<0099> ホモ太

//<0100> ひなチン
<0100> ひなチン

//<0101> 秀樹
<0101> 秀樹

//<0102> 男子生徒
<0102> 男子生徒

//<0103> ？？
<0103> ？？

//<0104> 「そもそも接点ないだろ！」
<0104> 「そもそも接点ないだろ！」

//<0105> 嘘だと白状する
<0105> 嘘だと白状する

//<0106> 本気だと伝える
<0106> 本気だと伝える

//<0107> selbtn : 
<0107> selbtn : 

//<0108> 音無
<0108> 音無

//<0109> クソ坊主
<0109> クソ坊主

//<0110> 代理人
<0110> 代理人

//<0111> 微妙すぎるイケメン
<0111> 微妙すぎるイケメン

//<0112> ロリコン
<0112> ロリコン

//<0113> メガネ仲間
<0113> メガネ仲間

//<0114> 暗算日本記録保持者
<0114> 暗算日本記録保持者

//<0115> 通り魔
<0115> 通り魔

//<0116> 記憶ナシ男
<0116> 記憶ナシ男

//<0117> 音速
<0117> 音速

//<0118> 無限
<0118> 無限

//<0119> エロ侍
<0119> エロ侍

//<0120> エロエロ団ナンバー１
<0120> エロエロ団ナンバー１

//<0121> ただのエロ少年
<0121> ただのエロ少年

//<0122> ユリブサイク
<0122> ユリブサイク

//<0123> ドピュッシー
<0123> ドピュッシー

//<0124> アメリカンエロドッグ
<0124> アメリカンエロドッグ

//<0125> ゼウス
<0125> ゼウス

//<0126> 日向markⅡ
<0126> 日向markⅡ

//<0127> 糞虫
<0127> 糞虫

//<0128> 量産型日向
<0128> 量産型日向

//<0129> ？？
<0129> ？？

//<0130> 「すまん、嘘だ…」
<0130> 「すまん、嘘だ…」

//<0131> nothing
<0131> nothing

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

