// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。

//<0001> そこに浮かび上がる文字を俺は読み上げる。
<0001> そこに浮かび上がる文字を俺は読み上げる。

//<0002> ………。
<0002> ………。

//<0003> ……。
<0003> ……。

//<0004> 音無
<0004> 音無

//<0005> クソ坊主
<0005> クソ坊主

//<0006> 代理人
<0006> 代理人

//<0007> 微妙すぎるイケメン
<0007> 微妙すぎるイケメン

//<0008> ロリコン
<0008> ロリコン

//<0009> メガネ仲間
<0009> メガネ仲間

//<0010> 暗算日本記録保持者
<0010> 暗算日本記録保持者

//<0011> 通り魔
<0011> 通り魔

//<0012> 記憶ナシ男
<0012> 記憶ナシ男

//<0013> 音速
<0013> 音速

//<0014> 無限
<0014> 無限

//<0015> エロ侍
<0015> エロ侍

//<0016> エロエロ団ナンバー１
<0016> エロエロ団ナンバー１

//<0017> ただのエロ少年
<0017> ただのエロ少年

//<0018> ユリブサイク
<0018> ユリブサイク

//<0019> ドピュッシー
<0019> ドピュッシー

//<0020> アメリカンエロドッグ
<0020> アメリカンエロドッグ

//<0021> ゼウス
<0021> ゼウス

//<0022> 日向markⅡ
<0022> 日向markⅡ

//<0023> 糞虫
<0023> 糞虫

//<0024> 量産型日向
<0024> 量産型日向

//<0025> ？？
<0025> ？？

//<0026> （さすがだな…）
<0026> （さすがだな…）

//<0027> 音無
<0027> 音無

//<0028> クソ坊主
<0028> クソ坊主

//<0029> 代理人
<0029> 代理人

//<0030> 微妙すぎるイケメン
<0030> 微妙すぎるイケメン

//<0031> ロリコン
<0031> ロリコン

//<0032> メガネ仲間
<0032> メガネ仲間

//<0033> 暗算日本記録保持者
<0033> 暗算日本記録保持者

//<0034> 通り魔
<0034> 通り魔

//<0035> 記憶ナシ男
<0035> 記憶ナシ男

//<0036> 音速
<0036> 音速

//<0037> 無限
<0037> 無限

//<0038> エロ侍
<0038> エロ侍

//<0039> エロエロ団ナンバー１
<0039> エロエロ団ナンバー１

//<0040> ただのエロ少年
<0040> ただのエロ少年

//<0041> ユリブサイク
<0041> ユリブサイク

//<0042> ドピュッシー
<0042> ドピュッシー

//<0043> アメリカンエロドッグ
<0043> アメリカンエロドッグ

//<0044> ゼウス
<0044> ゼウス

//<0045> 日向markⅡ
<0045> 日向markⅡ

//<0046> 糞虫
<0046> 糞虫

//<0047> 量産型日向
<0047> 量産型日向

//<0048> ？？
<0048> ？？

//<0049> （ん…これは…）
<0049> （ん…これは…）

//<0050> いい
<0050> いい

//<0051> よくない
<0051> よくない

//<0052> selbtn : 
<0052> selbtn : 

//<0053> 音無
<0053> 音無

//<0054> クソ坊主
<0054> クソ坊主

//<0055> 代理人
<0055> 代理人

//<0056> 微妙すぎるイケメン
<0056> 微妙すぎるイケメン

//<0057> ロリコン
<0057> ロリコン

//<0058> メガネ仲間
<0058> メガネ仲間

//<0059> 暗算日本記録保持者
<0059> 暗算日本記録保持者

//<0060> 通り魔
<0060> 通り魔

//<0061> 記憶ナシ男
<0061> 記憶ナシ男

//<0062> 音速
<0062> 音速

//<0063> 無限
<0063> 無限

//<0064> エロ侍
<0064> エロ侍

//<0065> エロエロ団ナンバー１
<0065> エロエロ団ナンバー１

//<0066> ただのエロ少年
<0066> ただのエロ少年

//<0067> ユリブサイク
<0067> ユリブサイク

//<0068> ドピュッシー
<0068> ドピュッシー

//<0069> アメリカンエロドッグ
<0069> アメリカンエロドッグ

//<0070> ゼウス
<0070> ゼウス

//<0071> 日向markⅡ
<0071> 日向markⅡ

//<0072> 糞虫
<0072> 糞虫

//<0073> 量産型日向
<0073> 量産型日向

//<0074> ？？
<0074> ？？

//<0075> （個人的にはいい…アリだ）
<0075> （個人的にはいい…アリだ）

//<0076> 音無
<0076> 音無

//<0077> クソ坊主
<0077> クソ坊主

//<0078> 代理人
<0078> 代理人

//<0079> 微妙すぎるイケメン
<0079> 微妙すぎるイケメン

//<0080> ロリコン
<0080> ロリコン

//<0081> メガネ仲間
<0081> メガネ仲間

//<0082> 暗算日本記録保持者
<0082> 暗算日本記録保持者

//<0083> 通り魔
<0083> 通り魔

//<0084> 記憶ナシ男
<0084> 記憶ナシ男

//<0085> 音速
<0085> 音速

//<0086> 無限
<0086> 無限

//<0087> エロ侍
<0087> エロ侍

//<0088> エロエロ団ナンバー１
<0088> エロエロ団ナンバー１

//<0089> ただのエロ少年
<0089> ただのエロ少年

//<0090> ユリブサイク
<0090> ユリブサイク

//<0091> ドピュッシー
<0091> ドピュッシー

//<0092> アメリカンエロドッグ
<0092> アメリカンエロドッグ

//<0093> ゼウス
<0093> ゼウス

//<0094> 日向markⅡ
<0094> 日向markⅡ

//<0095> 糞虫
<0095> 糞虫

//<0096> 量産型日向
<0096> 量産型日向

//<0097> ？？
<0097> ？？

//<0098> （個人的にはよくない…ナシだ）
<0098> （個人的にはよくない…ナシだ）

//<0099> 間奏に入る。
<0099> 間奏に入る。

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> ユイ
<0105> ユイ

//<0106> 「みんな、こんなものかぁーー！？　まだまだこんなもんじゃないでしょーー！！」
<0106> 「みんな、こんなものかぁーー！？　まだまだこんなもんじゃないでしょーー！！」

//<0107> nothing
<0107> nothing
