// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 日向
<0000> 日向

//<0001> 男Ｂ
<0001> 男Ｂ

//<0002> エロエロ団総帥
<0002> エロエロ団総帥

//<0003> イケチン
<0003> イケチン

//<0004> ホモ太
<0004> ホモ太

//<0005> ひなチン
<0005> ひなチン

//<0006> 秀樹
<0006> 秀樹

//<0007> 男子生徒
<0007> 男子生徒

//<0008> ？？
<0008> ？？

//<0009> 「あの、それなんだけどさ…」
<0009> 「あの、それなんだけどさ…」

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> 日向が手を挙げていた。
<0014> 日向が手を挙げていた。

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> ゆり
<0019> ゆり

//<0020> 女生徒
<0020> 女生徒

//<0021> ？？
<0021> ？？

//<0022> 「ん？　日向くん、どーしたの？」
<0022> 「ん？　日向くん、どーしたの？」

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> 日向
<0028> 日向

//<0029> 男Ｂ
<0029> 男Ｂ

//<0030> エロエロ団総帥
<0030> エロエロ団総帥

//<0031> イケチン
<0031> イケチン

//<0032> ホモ太
<0032> ホモ太

//<0033> ひなチン
<0033> ひなチン

//<0034> 秀樹
<0034> 秀樹

//<0035> 男子生徒
<0035> 男子生徒

//<0036> ？？
<0036> ？？

//<0037> 「俺のチーム、人数が集まらなくて、参加すらできないんだが…」
<0037> 「俺のチーム、人数が集まらなくて、参加すらできないんだが…」

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> ゆり
<0043> ゆり

//<0044> 女生徒
<0044> 女生徒

//<0045> ？？
<0045> ？？

//<0046> 「現状で何人？」
<0046> 「現状で何人？」

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> 日向
<0052> 日向

//<0053> 男Ｂ
<0053> 男Ｂ

//<0054> エロエロ団総帥
<0054> エロエロ団総帥

//<0055> イケチン
<0055> イケチン

//<0056> ホモ太
<0056> ホモ太

//<0057> ひなチン
<0057> ひなチン

//<0058> 秀樹
<0058> 秀樹

//<0059> 男子生徒
<0059> 男子生徒

//<0060> ？？
<0060> ？？

//<0061> 「四人…」
<0061> 「四人…」

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> ゆり
<0067> ゆり

//<0068> 女生徒
<0068> 女生徒

//<0069> ？？
<0069> ？？

//<0070> 「あなた、毎年訪れるこの作戦をなんだと思ってるのよ」
<0070> 「あなた、毎年訪れるこの作戦をなんだと思ってるのよ」

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> 日向
<0076> 日向

//<0077> 男Ｂ
<0077> 男Ｂ

//<0078> エロエロ団総帥
<0078> エロエロ団総帥

//<0079> イケチン
<0079> イケチン

//<0080> ホモ太
<0080> ホモ太

//<0081> ひなチン
<0081> ひなチン

//<0082> 秀樹
<0082> 秀樹

//<0083> 男子生徒
<0083> 男子生徒

//<0084> ？？
<0084> ？？

//<0085> 「いや、今回は不運だったとしか言いようがないんだっ！」
<0085> 「いや、今回は不運だったとしか言いようがないんだっ！」

//<0086> nothing
<0086> nothing

//<0087> nothing
<0087> nothing

//<0088> nothing
<0088> nothing

//<0089> nothing
<0089> nothing

//<0090> nothing
<0090> nothing

//<0091> ゆり
<0091> ゆり

//<0092> 女生徒
<0092> 女生徒

//<0093> ？？
<0093> ？？

//<0094> 「じゃ、もうひとり一般生徒を力尽くで引き入れて、体育館のバスケのほうにゲリラ参加して頂戴」
<0094> 「じゃ、もうひとり一般生徒を力尽くで引き入れて、体育館のバスケのほうにゲリラ参加して頂戴」

//<0095> nothing
<0095> nothing

//<0096> nothing
<0096> nothing

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> 日向
<0100> 日向

//<0101> 男Ｂ
<0101> 男Ｂ

//<0102> エロエロ団総帥
<0102> エロエロ団総帥

//<0103> イケチン
<0103> イケチン

//<0104> ホモ太
<0104> ホモ太

//<0105> ひなチン
<0105> ひなチン

//<0106> 秀樹
<0106> 秀樹

//<0107> 男子生徒
<0107> 男子生徒

//<0108> ？？
<0108> ？？

//<0109> 「ああ…わかったよ」
<0109> 「ああ…わかったよ」

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

