// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音無
<0000> 音無

//<0001> クソ坊主
<0001> クソ坊主

//<0002> 代理人
<0002> 代理人

//<0003> 微妙すぎるイケメン
<0003> 微妙すぎるイケメン

//<0004> ロリコン
<0004> ロリコン

//<0005> メガネ仲間
<0005> メガネ仲間

//<0006> 暗算日本記録保持者
<0006> 暗算日本記録保持者

//<0007> 通り魔
<0007> 通り魔

//<0008> 記憶ナシ男
<0008> 記憶ナシ男

//<0009> 音速
<0009> 音速

//<0010> 無限
<0010> 無限

//<0011> エロ侍
<0011> エロ侍

//<0012> エロエロ団ナンバー１
<0012> エロエロ団ナンバー１

//<0013> ただのエロ少年
<0013> ただのエロ少年

//<0014> ユリブサイク
<0014> ユリブサイク

//<0015> ドピュッシー
<0015> ドピュッシー

//<0016> アメリカンエロドッグ
<0016> アメリカンエロドッグ

//<0017> ゼウス
<0017> ゼウス

//<0018> 日向markⅡ
<0018> 日向markⅡ

//<0019> 糞虫
<0019> 糞虫

//<0020> 量産型日向
<0020> 量産型日向

//<0021> ？？
<0021> ？？

//<0022> 「ほふへへふはん！」
<0022> 「ほふへへふはん！」

//<0023> 遅れてすまん！と言ったつもりだ。
<0023> 遅れてすまん！と言ったつもりだ。

//<0024> 音無
<0024> 音無

//<0025> クソ坊主
<0025> クソ坊主

//<0026> 代理人
<0026> 代理人

//<0027> 微妙すぎるイケメン
<0027> 微妙すぎるイケメン

//<0028> ロリコン
<0028> ロリコン

//<0029> メガネ仲間
<0029> メガネ仲間

//<0030> 暗算日本記録保持者
<0030> 暗算日本記録保持者

//<0031> 通り魔
<0031> 通り魔

//<0032> 記憶ナシ男
<0032> 記憶ナシ男

//<0033> 音速
<0033> 音速

//<0034> 無限
<0034> 無限

//<0035> エロ侍
<0035> エロ侍

//<0036> エロエロ団ナンバー１
<0036> エロエロ団ナンバー１

//<0037> ただのエロ少年
<0037> ただのエロ少年

//<0038> ユリブサイク
<0038> ユリブサイク

//<0039> ドピュッシー
<0039> ドピュッシー

//<0040> アメリカンエロドッグ
<0040> アメリカンエロドッグ

//<0041> ゼウス
<0041> ゼウス

//<0042> 日向markⅡ
<0042> 日向markⅡ

//<0043> 糞虫
<0043> 糞虫

//<0044> 量産型日向
<0044> 量産型日向

//<0045> ？？
<0045> ？？

//<0046> 「遅れてすまんっ」
<0046> 「遅れてすまんっ」

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> 日向
<0052> 日向

//<0053> 男Ｂ
<0053> 男Ｂ

//<0054> エロエロ団総帥
<0054> エロエロ団総帥

//<0055> イケチン
<0055> イケチン

//<0056> ホモ太
<0056> ホモ太

//<0057> ひなチン
<0057> ひなチン

//<0058> 秀樹
<0058> 秀樹

//<0059> 男子生徒
<0059> 男子生徒

//<0060> ？？
<0060> ？？

//<0061> 「よっし、揃ったな」
<0061> 「よっし、揃ったな」

//<0062> ユイの親衛隊が、きゃーと悲鳴を上げながら、日向に対して引いている。
<0062> ユイの親衛隊が、きゃーと悲鳴を上げながら、日向に対して引いている。

//<0063> 椎名
<0063> 椎名

//<0064> 「ほう…誰か、殺ったのか」
<0064> 「ほう…誰か、殺ったのか」

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> 日向
<0070> 日向

//<0071> 男Ｂ
<0071> 男Ｂ

//<0072> エロエロ団総帥
<0072> エロエロ団総帥

//<0073> イケチン
<0073> イケチン

//<0074> ホモ太
<0074> ホモ太

//<0075> ひなチン
<0075> ひなチン

//<0076> 秀樹
<0076> 秀樹

//<0077> 男子生徒
<0077> 男子生徒

//<0078> ？？
<0078> ？？

//<0079> 「やっぱ、返り血に思われてるーー！！」
<0079> 「やっぱ、返り血に思われてるーー！！」

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> nothing
<0083> nothing

//<0084> nothing
<0084> nothing

//<0085> 椎名
<0085> 椎名

//<0086> 「違うのか」
<0086> 「違うのか」

//<0087> nothing
<0087> nothing

//<0088> nothing
<0088> nothing

//<0089> nothing
<0089> nothing

//<0090> nothing
<0090> nothing

//<0091> nothing
<0091> nothing

//<0092> 日向
<0092> 日向

//<0093> 男Ｂ
<0093> 男Ｂ

//<0094> エロエロ団総帥
<0094> エロエロ団総帥

//<0095> イケチン
<0095> イケチン

//<0096> ホモ太
<0096> ホモ太

//<0097> ひなチン
<0097> ひなチン

//<0098> 秀樹
<0098> 秀樹

//<0099> 男子生徒
<0099> 男子生徒

//<0100> ？？
<0100> ？？

//<0101> 「違う、違う！　音無が歯が抜けた上に風邪を引いてるから、くしゃみで飛ばされただけだっ！」
<0101> 「違う、違う！　音無が歯が抜けた上に風邪を引いてるから、くしゃみで飛ばされただけだっ！」

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> 椎名
<0107> 椎名

//<0108> 「そんな奇跡的なことが起こりえるのか？」
<0108> 「そんな奇跡的なことが起こりえるのか？」

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

//<0114> 日向
<0114> 日向

//<0115> 男Ｂ
<0115> 男Ｂ

//<0116> エロエロ団総帥
<0116> エロエロ団総帥

//<0117> イケチン
<0117> イケチン

//<0118> ホモ太
<0118> ホモ太

//<0119> ひなチン
<0119> ひなチン

