// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 野田
<0005> 野田

//<0006> 男Ｆ
<0006> 男Ｆ

//<0007> イケパイ
<0007> イケパイ

//<0008> 男
<0008> 男

//<0009> ？？
<0009> ？？

//<0010> 「よう」
<0010> 「よう」

//<0011> 食堂を出たところで、野田が立っていた。
<0011> 食堂を出たところで、野田が立っていた。

//<0012> 日向
<0012> 日向

//<0013> 男Ｂ
<0013> 男Ｂ

//<0014> エロエロ団総帥
<0014> エロエロ団総帥

//<0015> イケチン
<0015> イケチン

//<0016> ホモ太
<0016> ホモ太

//<0017> ひなチン
<0017> ひなチン

//<0018> 秀樹
<0018> 秀樹

//<0019> 男子生徒
<0019> 男子生徒

//<0020> ？？
<0020> ？？

//<0021> 「ん、どうした、野田」
<0021> 「ん、どうした、野田」

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> 野田
<0027> 野田

//<0028> 男Ｆ
<0028> 男Ｆ

//<0029> イケパイ
<0029> イケパイ

//<0030> 男
<0030> 男

//<0031> ？？
<0031> ？？

//<0032> 「ええと…その…」
<0032> 「ええと…その…」

//<0033> なぜか、すごく言いづらそうだ。
<0033> なぜか、すごく言いづらそうだ。

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> 野田
<0039> 野田

//<0040> 男Ｆ
<0040> 男Ｆ

//<0041> イケパイ
<0041> イケパイ

//<0042> 男
<0042> 男

//<0043> ？？
<0043> ？？

//<0044> 「…い…」
<0044> 「…い…」

//<0045> 音無
<0045> 音無

//<0046> クソ坊主
<0046> クソ坊主

//<0047> 代理人
<0047> 代理人

//<0048> 微妙すぎるイケメン
<0048> 微妙すぎるイケメン

//<0049> ロリコン
<0049> ロリコン

//<0050> メガネ仲間
<0050> メガネ仲間

//<0051> 暗算日本記録保持者
<0051> 暗算日本記録保持者

//<0052> 通り魔
<0052> 通り魔

//<0053> 記憶ナシ男
<0053> 記憶ナシ男

//<0054> 音速
<0054> 音速

//<0055> 無限
<0055> 無限

//<0056> エロ侍
<0056> エロ侍

//<0057> エロエロ団ナンバー１
<0057> エロエロ団ナンバー１

//<0058> ただのエロ少年
<0058> ただのエロ少年

//<0059> ユリブサイク
<0059> ユリブサイク

//<0060> ドピュッシー
<0060> ドピュッシー

//<0061> アメリカンエロドッグ
<0061> アメリカンエロドッグ

//<0062> ゼウス
<0062> ゼウス

//<0063> 日向markⅡ
<0063> 日向markⅡ

//<0064> 糞虫
<0064> 糞虫

//<0065> 量産型日向
<0065> 量産型日向

//<0066> ？？
<0066> ？？

//<0067> 「い？」
<0067> 「い？」

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> 野田
<0073> 野田

//<0074> 男Ｆ
<0074> 男Ｆ

//<0075> イケパイ
<0075> イケパイ

//<0076> 男
<0076> 男

//<0077> ？？
<0077> ？？

//<0078> 「一緒にトレーニングしないかっ…」
<0078> 「一緒にトレーニングしないかっ…」

//<0079> 日向
<0079> 日向

//<0080> 男Ｂ
<0080> 男Ｂ

//<0081> エロエロ団総帥
<0081> エロエロ団総帥

//<0082> イケチン
<0082> イケチン

//<0083> ホモ太
<0083> ホモ太

