// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ここは…。
<0000> ここは…。

//<0001> ストップをかける
<0001> ストップをかける

//<0002> そのまま選んでもらう
<0002> そのまま選んでもらう

//<0003> selbtn : 
<0003> selbtn : 

//<0004> 音無
<0004> 音無

//<0005> クソ坊主
<0005> クソ坊主

//<0006> 代理人
<0006> 代理人

//<0007> 微妙すぎるイケメン
<0007> 微妙すぎるイケメン

//<0008> ロリコン
<0008> ロリコン

//<0009> メガネ仲間
<0009> メガネ仲間

//<0010> 暗算日本記録保持者
<0010> 暗算日本記録保持者

//<0011> 通り魔
<0011> 通り魔

//<0012> 記憶ナシ男
<0012> 記憶ナシ男

//<0013> 音速
<0013> 音速

//<0014> 無限
<0014> 無限

//<0015> エロ侍
<0015> エロ侍

//<0016> エロエロ団ナンバー１
<0016> エロエロ団ナンバー１

//<0017> ただのエロ少年
<0017> ただのエロ少年

//<0018> ユリブサイク
<0018> ユリブサイク

//<0019> ドピュッシー
<0019> ドピュッシー

//<0020> アメリカンエロドッグ
<0020> アメリカンエロドッグ

//<0021> ゼウス
<0021> ゼウス

//<0022> 日向markⅡ
<0022> 日向markⅡ

//<0023> 糞虫
<0023> 糞虫

//<0024> 量産型日向
<0024> 量産型日向

//<0025> ？？
<0025> ？？

//<0026> 「ストップ」
<0026> 「ストップ」

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> 日向
<0032> 日向

//<0033> 男Ｂ
<0033> 男Ｂ

//<0034> エロエロ団総帥
<0034> エロエロ団総帥

//<0035> イケチン
<0035> イケチン

//<0036> ホモ太
<0036> ホモ太

//<0037> ひなチン
<0037> ひなチン

//<0038> 秀樹
<0038> 秀樹

//<0039> 男子生徒
<0039> 男子生徒

//<0040> ？？
<0040> ？？

//<0041> 「ん？」
<0041> 「ん？」

//<0042> 音無
<0042> 音無

//<0043> クソ坊主
<0043> クソ坊主

//<0044> 代理人
<0044> 代理人

//<0045> 微妙すぎるイケメン
<0045> 微妙すぎるイケメン

//<0046> ロリコン
<0046> ロリコン

//<0047> メガネ仲間
<0047> メガネ仲間

//<0048> 暗算日本記録保持者
<0048> 暗算日本記録保持者

//<0049> 通り魔
<0049> 通り魔

//<0050> 記憶ナシ男
<0050> 記憶ナシ男

//<0051> 音速
<0051> 音速

//<0052> 無限
<0052> 無限

//<0053> エロ侍
<0053> エロ侍

//<0054> エロエロ団ナンバー１
<0054> エロエロ団ナンバー１

//<0055> ただのエロ少年
<0055> ただのエロ少年

//<0056> ユリブサイク
<0056> ユリブサイク

//<0057> ドピュッシー
<0057> ドピュッシー

//<0058> アメリカンエロドッグ
<0058> アメリカンエロドッグ

//<0059> ゼウス
<0059> ゼウス

//<0060> 日向markⅡ
<0060> 日向markⅡ

//<0061> 糞虫
<0061> 糞虫

//<0062> 量産型日向
<0062> 量産型日向

//<0063> ？？
