// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> se_bird
<0002> se_bird

//<0003> …結局、神の首の事を考えて、一睡も出来なかった。
<0003> …結局、神の首の事を考えて、一睡も出来なかった。

//<0004> 上段でいびきをかいている日向が妬ましい…。
<0004> 上段でいびきをかいている日向が妬ましい…。

//<0005> 日向が起きる前に、部屋を出る。
<0005> 日向が起きる前に、部屋を出る。

//<0006> 今日一日は、じっくりと考えたいからだ。
<0006> 今日一日は、じっくりと考えたいからだ。

//<0007> 俺は人気の無い場所へ行くことにする。
<0007> 俺は人気の無い場所へ行くことにする。

//<0008> なるべくこの学校とは関係が遠そうな場所。
<0008> なるべくこの学校とは関係が遠そうな場所。

//<0009> そうすることで、神に近づけるんじゃないかと思った。
<0009> そうすることで、神に近づけるんじゃないかと思った。

//<0010> 森に囲まれているこの学校。
<0010> 森に囲まれているこの学校。

//<0011> この森を進んでいけば、いつかは神と出会えるんだろうか。
<0011> この森を進んでいけば、いつかは神と出会えるんだろうか。

//<0012> 神を呼ぶ
<0012> 神を呼ぶ

//<0013> 神を念じる
<0013> 神を念じる

//<0014> selbtn : 
<0014> selbtn : 

//<0015> 音無
<0015> 音無

//<0016> クソ坊主
<0016> クソ坊主

//<0017> 代理人
<0017> 代理人

//<0018> 微妙すぎるイケメン
<0018> 微妙すぎるイケメン

//<0019> ロリコン
<0019> ロリコン

//<0020> メガネ仲間
<0020> メガネ仲間

//<0021> 暗算日本記録保持者
<0021> 暗算日本記録保持者

//<0022> 通り魔
<0022> 通り魔

//<0023> 記憶ナシ男
<0023> 記憶ナシ男

//<0024> 音速
<0024> 音速

//<0025> 無限
<0025> 無限

//<0026> エロ侍
<0026> エロ侍

//<0027> エロエロ団ナンバー１
<0027> エロエロ団ナンバー１

//<0028> ただのエロ少年
<0028> ただのエロ少年

//<0029> ユリブサイク
<0029> ユリブサイク

//<0030> ドピュッシー
<0030> ドピュッシー

//<0031> アメリカンエロドッグ
<0031> アメリカンエロドッグ

//<0032> ゼウス
<0032> ゼウス

//<0033> 日向markⅡ
<0033> 日向markⅡ

//<0034> 糞虫
<0034> 糞虫

//<0035> 量産型日向
<0035> 量産型日向

//<0036> ？？
<0036> ？？

//<0037> 「神ーーーー！　出てこーーーーい！」
<0037> 「神ーーーー！　出てこーーーーい！」

//<0038> 音無
<0038> 音無

//<0039> クソ坊主
<0039> クソ坊主

//<0040> 代理人
<0040> 代理人

//<0041> 微妙すぎるイケメン
<0041> 微妙すぎるイケメン

//<0042> ロリコン
<0042> ロリコン

//<0043> メガネ仲間
<0043> メガネ仲間

//<0044> 暗算日本記録保持者
<0044> 暗算日本記録保持者

//<0045> 通り魔
<0045> 通り魔

//<0046> 記憶ナシ男
<0046> 記憶ナシ男

//<0047> 音速
<0047> 音速

//<0048> 無限
<0048> 無限

//<0049> エロ侍
<0049> エロ侍

//<0050> エロエロ団ナンバー１
<0050> エロエロ団ナンバー１

//<0051> ただのエロ少年
<0051> ただのエロ少年

//<0052> ユリブサイク
<0052> ユリブサイク

//<0053> ドピュッシー
<0053> ドピュッシー

//<0054> アメリカンエロドッグ
<0054> アメリカンエロドッグ

//<0055> ゼウス
<0055> ゼウス

//<0056> 日向markⅡ
<0056> 日向markⅡ

//<0057> 糞虫
<0057> 糞虫

//<0058> 量産型日向
<0058> 量産型日向

//<0059> ？？
<0059> ？？

//<0060> 「出てきてくれえぇぇぇぇーーーー！」
<0060> 「出てきてくれえぇぇぇぇーーーー！」

//<0061> 音無
<0061> 音無

//<0062> クソ坊主
<0062> クソ坊主

//<0063> 代理人
<0063> 代理人

//<0064> 微妙すぎるイケメン
<0064> 微妙すぎるイケメン

//<0065> ロリコン
<0065> ロリコン

//<0066> メガネ仲間
<0066> メガネ仲間

//<0067> 暗算日本記録保持者
<0067> 暗算日本記録保持者

//<0068> 通り魔
<0068> 通り魔

//<0069> 記憶ナシ男
<0069> 記憶ナシ男

//<0070> 音速
<0070> 音速

//<0071> 無限
<0071> 無限

//<0072> エロ侍
<0072> エロ侍

//<0073> エロエロ団ナンバー１
<0073> エロエロ団ナンバー１

//<0074> ただのエロ少年
<0074> ただのエロ少年

//<0075> ユリブサイク
<0075> ユリブサイク

//<0076> ドピュッシー
<0076> ドピュッシー

//<0077> アメリカンエロドッグ
<0077> アメリカンエロドッグ

//<0078> ゼウス
<0078> ゼウス

//<0079> 日向markⅡ
<0079> 日向markⅡ

//<0080> 糞虫
<0080> 糞虫

//<0081> 量産型日向
<0081> 量産型日向

//<0082> ？？
<0082> ？？

//<0083> 「出てきて下さぁぁぁぁぁーーーい！」
<0083> 「出てきて下さぁぁぁぁぁーーーい！」

//<0084> 音無
<0084> 音無

//<0085> クソ坊主
<0085> クソ坊主

//<0086> 代理人
<0086> 代理人

//<0087> 微妙すぎるイケメン
<0087> 微妙すぎるイケメン

//<0088> ロリコン
<0088> ロリコン

//<0089> メガネ仲間
<0089> メガネ仲間

//<0090> 暗算日本記録保持者
<0090> 暗算日本記録保持者

//<0091> 通り魔
<0091> 通り魔

//<0092> 記憶ナシ男
<0092> 記憶ナシ男

//<0093> 音速
<0093> 音速

//<0094> 無限
<0094> 無限

//<0095> エロ侍
<0095> エロ侍

//<0096> エロエロ団ナンバー１
<0096> エロエロ団ナンバー１

//<0097> ただのエロ少年
<0097> ただのエロ少年

//<0098> ユリブサイク
<0098> ユリブサイク

//<0099> ドピュッシー
<0099> ドピュッシー

//<0100> アメリカンエロドッグ
<0100> アメリカンエロドッグ

//<0101> ゼウス
<0101> ゼウス

//<0102> 日向markⅡ
<0102> 日向markⅡ

//<0103> 糞虫
<0103> 糞虫

//<0104> 量産型日向
<0104> 量産型日向

//<0105> ？？
<0105> ？？

//<0106> 「神ぃぃぃーーーーーーーーーーー！」
<0106> 「神ぃぃぃーーーーーーーーーーー！」

//<0107> 一気に叫びすぎて酸欠になった…。
