// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。

//<0001> 真面目に問題を解くなというゆりの言葉を思い出し、適当なところで切り上げておく。
<0001> 真面目に問題を解くなというゆりの言葉を思い出し、適当なところで切り上げておく。

//<0002> 音無
<0002> 音無

//<0003> クソ坊主
<0003> クソ坊主

//<0004> 代理人
<0004> 代理人

//<0005> 微妙すぎるイケメン
<0005> 微妙すぎるイケメン

//<0006> ロリコン
<0006> ロリコン

//<0007> メガネ仲間
<0007> メガネ仲間

//<0008> 暗算日本記録保持者
<0008> 暗算日本記録保持者

//<0009> 通り魔
<0009> 通り魔

//<0010> 記憶ナシ男
<0010> 記憶ナシ男

//<0011> 音速
<0011> 音速

//<0012> 無限
<0012> 無限

//<0013> エロ侍
<0013> エロ侍

//<0014> エロエロ団ナンバー１
<0014> エロエロ団ナンバー１

//<0015> ただのエロ少年
<0015> ただのエロ少年

//<0016> ユリブサイク
<0016> ユリブサイク

//<0017> ドピュッシー
<0017> ドピュッシー

//<0018> アメリカンエロドッグ
<0018> アメリカンエロドッグ

//<0019> ゼウス
<0019> ゼウス

//<0020> 日向markⅡ
<0020> 日向markⅡ

//<0021> 糞虫
<0021> 糞虫

//<0022> 量産型日向
<0022> 量産型日向

//<0023> ？？
<0023> ？？

//<0024> （さて…本当に取り組まなきゃいけない問題は、ここからだ…！）
<0024> （さて…本当に取り組まなきゃいけない問題は、ここからだ…！）

//<0025> 時間はまだまだある…。
<0025> 時間はまだまだある…。

//<0026> 考えろ…みんなの視線を一手に集めるパフォーマンスを…。
<0026> 考えろ…みんなの視線を一手に集めるパフォーマンスを…。

//<0027> いや、考え方としては、窓の外に注目させる、という手もある…。
<0027> いや、考え方としては、窓の外に注目させる、という手もある…。

//<0028> 音無
<0028> 音無

//<0029> クソ坊主
<0029> クソ坊主

//<0030> 代理人
<0030> 代理人

//<0031> 微妙すぎるイケメン
<0031> 微妙すぎるイケメン

//<0032> ロリコン
<0032> ロリコン

//<0033> メガネ仲間
<0033> メガネ仲間

//<0034> 暗算日本記録保持者
<0034> 暗算日本記録保持者

//<0035> 通り魔
<0035> 通り魔

//<0036> 記憶ナシ男
<0036> 記憶ナシ男

//<0037> 音速
<0037> 音速

//<0038> 無限
<0038> 無限

//<0039> エロ侍
<0039> エロ侍

//<0040> エロエロ団ナンバー１
<0040> エロエロ団ナンバー１

//<0041> ただのエロ少年
<0041> ただのエロ少年

//<0042> ユリブサイク
<0042> ユリブサイク

//<0043> ドピュッシー
<0043> ドピュッシー

//<0044> アメリカンエロドッグ
<0044> アメリカンエロドッグ

//<0045> ゼウス
<0045> ゼウス

//<0046> 日向markⅡ
<0046> 日向markⅡ

//<0047> 糞虫
<0047> 糞虫

//<0048> 量産型日向
<0048> 量産型日向

//<0049> ？？
<0049> ？？

//<0050> （ここは何でもありの世界だ…それなら…）
<0050> （ここは何でもありの世界だ…それなら…）

//<0051> 腹からエイリアンが出てきたと悲鳴を上げながら暴れよう。
<0051> 腹からエイリアンが出てきたと悲鳴を上げながら暴れよう。

//<0052> よりリアルにするため、俺はシャーペンを持ち、その先端を胸に刺した。
<0052> よりリアルにするため、俺はシャーペンを持ち、その先端を胸に刺した。

//<0053> 音無
<0053> 音無

//<0054> クソ坊主
<0054> クソ坊主

//<0055> 代理人
<0055> 代理人

//<0056> 微妙すぎるイケメン
<0056> 微妙すぎるイケメン

//<0057> ロリコン
<0057> ロリコン

//<0058> メガネ仲間
<0058> メガネ仲間

//<0059> 暗算日本記録保持者
<0059> 暗算日本記録保持者

//<0060> 通り魔
<0060> 通り魔

//<0061> 記憶ナシ男
<0061> 記憶ナシ男

//<0062> 音速
<0062> 音速

//<0063> 無限
<0063> 無限

//<0064> エロ侍
<0064> エロ侍

//<0065> エロエロ団ナンバー１
<0065> エロエロ団ナンバー１

//<0066> ただのエロ少年
<0066> ただのエロ少年

//<0067> ユリブサイク
<0067> ユリブサイク

//<0068> ドピュッシー
<0068> ドピュッシー

//<0069> アメリカンエロドッグ
<0069> アメリカンエロドッグ

//<0070> ゼウス
<0070> ゼウス

//<0071> 日向markⅡ
<0071> 日向markⅡ

//<0072> 糞虫
<0072> 糞虫

//<0073> 量産型日向
<0073> 量産型日向

//<0074> ？？
<0074> ？？

//<0075> （いてぇーーー！！）
<0075> （いてぇーーー！！）

//<0076> 声に出すのを必死に堪えた。
<0076> 声に出すのを必死に堪えた。

//<0077> しかしそれだけでは出血量が足りない。
<0077> しかしそれだけでは出血量が足りない。

//<0078> 他に使える文房具はないのか、机の中を探してみる。
<0078> 他に使える文房具はないのか、机の中を探してみる。

//<0079> 音無
<0079> 音無

//<0080> クソ坊主
<0080> クソ坊主

//<0081> 代理人
<0081> 代理人

//<0082> 微妙すぎるイケメン
<0082> 微妙すぎるイケメン

//<0083> ロリコン
<0083> ロリコン

//<0084> メガネ仲間
<0084> メガネ仲間

//<0085> 暗算日本記録保持者
<0085> 暗算日本記録保持者

//<0086> 通り魔
<0086> 通り魔

//<0087> 記憶ナシ男
<0087> 記憶ナシ男

//<0088> 音速
<0088> 音速

//<0089> 無限
<0089> 無限

//<0090> エロ侍
<0090> エロ侍

//<0091> エロエロ団ナンバー１
<0091> エロエロ団ナンバー１

//<0092> ただのエロ少年
<0092> ただのエロ少年

//<0093> ユリブサイク
<0093> ユリブサイク

//<0094> ドピュッシー
<0094> ドピュッシー

//<0095> アメリカンエロドッグ
<0095> アメリカンエロドッグ

//<0096> ゼウス
<0096> ゼウス

//<0097> 日向markⅡ
<0097> 日向markⅡ

//<0098> 糞虫
<0098> 糞虫

//<0099> 量産型日向
<0099> 量産型日向

//<0100> ？？
<0100> ？？

//<0101> （くそ、何もない…）
<0101> （くそ、何もない…）

//<0102> テスト中なんだから当たり前だ。
<0102> テスト中なんだから当たり前だ。

//<0103> 手持ちの筆記用具だけでどうにかするしかない、が…。
<0103> 手持ちの筆記用具だけでどうにかするしかない、が…。

//<0104> 音無
<0104> 音無

//<0105> クソ坊主
<0105> クソ坊主

//<0106> 代理人
<0106> 代理人

//<0107> 微妙すぎるイケメン
<0107> 微妙すぎるイケメン

//<0108> ロリコン
<0108> ロリコン

//<0109> メガネ仲間
<0109> メガネ仲間

//<0110> 暗算日本記録保持者
<0110> 暗算日本記録保持者

//<0111> 通り魔
<0111> 通り魔

//<0112> 記憶ナシ男
<0112> 記憶ナシ男

//<0113> 音速
<0113> 音速

//<0114> 無限
<0114> 無限

//<0115> エロ侍
<0115> エロ侍

//<0116> エロエロ団ナンバー１
<0116> エロエロ団ナンバー１

//<0117> ただのエロ少年
<0117> ただのエロ少年

//<0118> ユリブサイク
<0118> ユリブサイク

//<0119> ドピュッシー
<0119> ドピュッシー

//<0120> アメリカンエロドッグ
<0120> アメリカンエロドッグ

//<0121> ゼウス
<0121> ゼウス

//<0122> 日向markⅡ
<0122> 日向markⅡ

//<0123> 糞虫
<0123> 糞虫

//<0124> 量産型日向
<0124> 量産型日向

//<0125> ？？
<0125> ？？

//<0126> （出来るだけ派手に騒いだ方が注目を集められるな…よし！）
<0126> （出来るだけ派手に騒いだ方が注目を集められるな…よし！）

//<0127> 教師
<0127> 教師

//<0128> 「はい、残り三分ーー！」
<0128> 「はい、残り三分ーー！」

//<0129> ………。
<0129> ………。

//<0130> 教師
<0130> 教師

//<0131> 「残り一分ー！」
<0131> 「残り一分ー！」

