// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 99_場所選択マップ
<0000> 99_場所選択マップ

//<0001> 音無
<0001> 音無

//<0002> クソ坊主
<0002> クソ坊主

//<0003> 代理人
<0003> 代理人

//<0004> 微妙すぎるイケメン
<0004> 微妙すぎるイケメン

//<0005> ロリコン
<0005> ロリコン

//<0006> メガネ仲間
<0006> メガネ仲間

//<0007> 暗算日本記録保持者
<0007> 暗算日本記録保持者

//<0008> 通り魔
<0008> 通り魔

//<0009> 記憶ナシ男
<0009> 記憶ナシ男

//<0010> 音速
<0010> 音速

//<0011> 無限
<0011> 無限

//<0012> エロ侍
<0012> エロ侍

//<0013> エロエロ団ナンバー１
<0013> エロエロ団ナンバー１

//<0014> ただのエロ少年
<0014> ただのエロ少年

//<0015> ユリブサイク
<0015> ユリブサイク

//<0016> ドピュッシー
<0016> ドピュッシー

//<0017> アメリカンエロドッグ
<0017> アメリカンエロドッグ

//<0018> ゼウス
<0018> ゼウス

//<0019> 日向markⅡ
<0019> 日向markⅡ

//<0020> 糞虫
<0020> 糞虫

//<0021> 量産型日向
<0021> 量産型日向

//<0022> ？？
<0022> ？？

//<0023> （もうこんな時間か…）
<0023> （もうこんな時間か…）

//<0024> 定例会議に向かおう。
<0024> 定例会議に向かおう。

//<0025> 音無
<0025> 音無

//<0026> クソ坊主
<0026> クソ坊主

//<0027> 代理人
<0027> 代理人

//<0028> 微妙すぎるイケメン
<0028> 微妙すぎるイケメン

//<0029> ロリコン
<0029> ロリコン

//<0030> メガネ仲間
<0030> メガネ仲間

//<0031> 暗算日本記録保持者
<0031> 暗算日本記録保持者

//<0032> 通り魔
<0032> 通り魔

//<0033> 記憶ナシ男
<0033> 記憶ナシ男

//<0034> 音速
<0034> 音速

//<0035> 無限
<0035> 無限

//<0036> エロ侍
<0036> エロ侍

//<0037> エロエロ団ナンバー１
<0037> エロエロ団ナンバー１

//<0038> ただのエロ少年
<0038> ただのエロ少年

//<0039> ユリブサイク
<0039> ユリブサイク

//<0040> ドピュッシー
<0040> ドピュッシー

//<0041> アメリカンエロドッグ
<0041> アメリカンエロドッグ

//<0042> ゼウス
<0042> ゼウス

//<0043> 日向markⅡ
<0043> 日向markⅡ

//<0044> 糞虫
<0044> 糞虫

//<0045> 量産型日向
<0045> 量産型日向

//<0046> ？？
<0046> ？？

//<0047> 「ツツ…」
<0047> 「ツツ…」

//<0048> 一歩進めるたびに、首が痛む…。
<0048> 一歩進めるたびに、首が痛む…。

//<0049> 俺は焼却炉を背に、遊佐の迎えを待つことにした。
<0049> 俺は焼却炉を背に、遊佐の迎えを待つことにした。

//<0050> ここなら１８０度、どこに現れても遊佐に気付ける。
<0050> ここなら１８０度、どこに現れても遊佐に気付ける。

//<0051> ………。
<0051> ………。

//<0052> ……。
<0052> ……。

//<0053> …。
<0053> …。

//<0054> そろそろ時間だ。
<0054> そろそろ時間だ。

//<0055> nothing
<0055> nothing

//<0056> nothing
<0056> nothing

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> だが、なぜか大山が駆けつけてきた。
<0060> だが、なぜか大山が駆けつけてきた。

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> 大山
<0066> 大山

//<0067> 「はぁ…はぁ…なにやってんのさ、音無くん！　定例会議の時間だよっ」
<0067> 「はぁ…はぁ…なにやってんのさ、音無くん！　定例会議の時間だよっ」

//<0068> 音無
<0068> 音無

//<0069> クソ坊主
<0069> クソ坊主

//<0070> 代理人
<0070> 代理人

//<0071> 微妙すぎるイケメン
<0071> 微妙すぎるイケメン

//<0072> ロリコン
<0072> ロリコン

//<0073> メガネ仲間
<0073> メガネ仲間

//<0074> 暗算日本記録保持者
<0074> 暗算日本記録保持者

//<0075> 通り魔
<0075> 通り魔

//<0076> 記憶ナシ男
<0076> 記憶ナシ男

//<0077> 音速
<0077> 音速

//<0078> 無限
<0078> 無限

//<0079> エロ侍
<0079> エロ侍

//<0080> エロエロ団ナンバー１
<0080> エロエロ団ナンバー１

//<0081> ただのエロ少年
<0081> ただのエロ少年

//<0082> ユリブサイク
<0082> ユリブサイク

//<0083> ドピュッシー
<0083> ドピュッシー

//<0084> アメリカンエロドッグ
<0084> アメリカンエロドッグ

//<0085> ゼウス
<0085> ゼウス

//<0086> 日向markⅡ
<0086> 日向markⅡ

//<0087> 糞虫
<0087> 糞虫

//<0088> 量産型日向
<0088> 量産型日向

//<0089> ？？
<0089> ？？

//<0090> 「え…今の俺は糞虫だが、遊佐は？」
<0090> 「え…今の俺は糞虫だが、遊佐は？」

//<0091> 音無
<0091> 音無

//<0092> クソ坊主
<0092> クソ坊主

//<0093> 代理人
<0093> 代理人

//<0094> 微妙すぎるイケメン
<0094> 微妙すぎるイケメン

//<0095> ロリコン
<0095> ロリコン

//<0096> メガネ仲間
<0096> メガネ仲間

//<0097> 暗算日本記録保持者
<0097> 暗算日本記録保持者

//<0098> 通り魔
<0098> 通り魔

//<0099> 記憶ナシ男
<0099> 記憶ナシ男

//<0100> 音速
<0100> 音速

//<0101> 無限
<0101> 無限

//<0102> エロ侍
<0102> エロ侍

//<0103> エロエロ団ナンバー１
<0103> エロエロ団ナンバー１

//<0104> ただのエロ少年
<0104> ただのエロ少年

//<0105> ユリブサイク
<0105> ユリブサイク

//<0106> ドピュッシー
<0106> ドピュッシー

//<0107> アメリカンエロドッグ
<0107> アメリカンエロドッグ

//<0108> ゼウス
<0108> ゼウス

//<0109> 日向markⅡ
<0109> 日向markⅡ

//<0110> 糞虫
<0110> 糞虫

//<0111> 量産型日向
<0111> 量産型日向

//<0112> ？？
<0112> ？？

//<0113> 「え…今の俺は量産型日向だが、遊佐は？」
<0113> 「え…今の俺は量産型日向だが、遊佐は？」

//<0114> 音無
<0114> 音無

//<0115> クソ坊主
<0115> クソ坊主

//<0116> 代理人
<0116> 代理人

//<0117> 微妙すぎるイケメン
<0117> 微妙すぎるイケメン

//<0118> ロリコン
<0118> ロリコン

//<0119> メガネ仲間
<0119> メガネ仲間

//<0120> 暗算日本記録保持者
<0120> 暗算日本記録保持者

//<0121> 通り魔
<0121> 通り魔

//<0122> 記憶ナシ男
<0122> 記憶ナシ男

//<0123> 音速
<0123> 音速

//<0124> 無限
<0124> 無限

//<0125> エロ侍
<0125> エロ侍

//<0126> エロエロ団ナンバー１
<0126> エロエロ団ナンバー１

//<0127> ただのエロ少年
<0127> ただのエロ少年

//<0128> ユリブサイク
<0128> ユリブサイク

//<0129> ドピュッシー
<0129> ドピュッシー

//<0130> アメリカンエロドッグ
<0130> アメリカンエロドッグ

//<0131> ゼウス
<0131> ゼウス

//<0132> 日向markⅡ
<0132> 日向markⅡ

//<0133> 糞虫
<0133> 糞虫

//<0134> 量産型日向
<0134> 量産型日向

//<0135> ？？
<0135> ？？

//<0136> 「え…遊佐は？」
<0136> 「え…遊佐は？」

//<0137> nothing
<0137> nothing

//<0138> nothing
<0138> nothing

//<0139> nothing
<0139> nothing

//<0140> nothing
<0140> nothing

//<0141> nothing
<0141> nothing

//<0142> 大山
<0142> 大山

//<0143> 「遊佐さん？　もう本部に居るよ？」
<0143> 「遊佐さん？　もう本部に居るよ？」

//<0144> 背中がぞくりとする…。
<0144> 背中がぞくりとする…。

//<0145> なんだ、この違和感は…。
<0145> なんだ、この違和感は…。

//<0146> 音無
<0146> 音無

//<0147> クソ坊主
<0147> クソ坊主

//<0148> 代理人
<0148> 代理人

//<0149> 微妙すぎるイケメン
<0149> 微妙すぎるイケメン

//<0150> ロリコン
<0150> ロリコン

//<0151> メガネ仲間
<0151> メガネ仲間

//<0152> 暗算日本記録保持者
<0152> 暗算日本記録保持者

//<0153> 通り魔
<0153> 通り魔

//<0154> 記憶ナシ男
<0154> 記憶ナシ男

//<0155> 音速
<0155> 音速

//<0156> 無限
<0156> 無限

//<0157> エロ侍
<0157> エロ侍

//<0158> エロエロ団ナンバー１
<0158> エロエロ団ナンバー１

//<0159> ただのエロ少年
<0159> ただのエロ少年

//<0160> ユリブサイク
<0160> ユリブサイク

//<0161> ドピュッシー
<0161> ドピュッシー

//<0162> アメリカンエロドッグ
<0162> アメリカンエロドッグ

//<0163> ゼウス
<0163> ゼウス

//<0164> 日向markⅡ
<0164> 日向markⅡ

//<0165> 糞虫
<0165> 糞虫

//<0166> 量産型日向
<0166> 量産型日向

//<0167> ？？
<0167> ？？

//<0168> 「俺を呼びにくるのが、遊佐の仕事では？」
<0168> 「俺を呼びにくるのが、遊佐の仕事では？」

//<0169> nothing
<0169> nothing

//<0170> nothing
<0170> nothing

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> nothing
<0173> nothing

//<0174> 大山
<0174> 大山

//<0175> 「それは、ゆりっぺに訊いてよぉ。僕にはわかんないよ…」
<0175> 「それは、ゆりっぺに訊いてよぉ。僕にはわかんないよ…」

//<0176> 音無
<0176> 音無

//<0177> クソ坊主
<0177> クソ坊主

//<0178> 代理人
<0178> 代理人

//<0179> 微妙すぎるイケメン
<0179> 微妙すぎるイケメン

//<0180> ロリコン
<0180> ロリコン

//<0181> メガネ仲間
<0181> メガネ仲間

//<0182> 暗算日本記録保持者
<0182> 暗算日本記録保持者

//<0183> 通り魔
<0183> 通り魔

//<0184> 記憶ナシ男
<0184> 記憶ナシ男

//<0185> 音速
<0185> 音速

//<0186> 無限
<0186> 無限

//<0187> エロ侍
<0187> エロ侍

//<0188> エロエロ団ナンバー１
<0188> エロエロ団ナンバー１

//<0189> ただのエロ少年
<0189> ただのエロ少年

//<0190> ユリブサイク
<0190> ユリブサイク

//<0191> ドピュッシー
<0191> ドピュッシー

//<0192> アメリカンエロドッグ
<0192> アメリカンエロドッグ

//<0193> ゼウス
<0193> ゼウス

//<0194> 日向markⅡ
<0194> 日向markⅡ

//<0195> 糞虫
<0195> 糞虫

//<0196> 量産型日向
<0196> 量産型日向

//<0197> ？？
<0197> ？？

//<0198> 「なぜここに居るとわかった？」
<0198> 「なぜここに居るとわかった？」

//<0199> nothing
<0199> nothing

//<0200> nothing
<0200> nothing

//<0201> nothing
<0201> nothing

//<0202> nothing
<0202> nothing

//<0203> nothing
<0203> nothing

//<0204> 大山
<0204> 大山

//<0205> 「それも、ゆりっぺに訊いてよぉ」
<0205> 「それも、ゆりっぺに訊いてよぉ」

//<0206> 遊佐がゆりに教えたに違いない。
<0206> 遊佐がゆりに教えたに違いない。

//<0207> 音無
<0207> 音無

//<0208> クソ坊主
<0208> クソ坊主

//<0209> 代理人
<0209> 代理人

//<0210> 微妙すぎるイケメン
<0210> 微妙すぎるイケメン

//<0211> ロリコン
<0211> ロリコン

//<0212> メガネ仲間
<0212> メガネ仲間

//<0213> 暗算日本記録保持者
<0213> 暗算日本記録保持者

//<0214> 通り魔
<0214> 通り魔

//<0215> 記憶ナシ男
<0215> 記憶ナシ男

//<0216> 音速
<0216> 音速

//<0217> 無限
<0217> 無限

//<0218> エロ侍
<0218> エロ侍

//<0219> エロエロ団ナンバー１
<0219> エロエロ団ナンバー１

//<0220> ただのエロ少年
<0220> ただのエロ少年

