// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> se_bird
<0002> se_bird

//<0003> 日向
<0003> 日向

//<0004> 男Ｂ
<0004> 男Ｂ

//<0005> エロエロ団総帥
<0005> エロエロ団総帥

//<0006> イケチン
<0006> イケチン

//<0007> ホモ太
<0007> ホモ太

//<0008> ひなチン
<0008> ひなチン

//<0009> 秀樹
<0009> 秀樹

//<0010> 男子生徒
<0010> 男子生徒

//<0011> ？？
<0011> ？？

//<0012> 「…音無、朝だぜ？　起きろよ」
<0012> 「…音無、朝だぜ？　起きろよ」

//<0013> 音無
<0013> 音無

//<0014> クソ坊主
<0014> クソ坊主

//<0015> 代理人
<0015> 代理人

//<0016> 微妙すぎるイケメン
<0016> 微妙すぎるイケメン

//<0017> ロリコン
<0017> ロリコン

//<0018> メガネ仲間
<0018> メガネ仲間

//<0019> 暗算日本記録保持者
<0019> 暗算日本記録保持者

//<0020> 通り魔
<0020> 通り魔

//<0021> 記憶ナシ男
<0021> 記憶ナシ男

//<0022> 音速
<0022> 音速

//<0023> 無限
<0023> 無限

//<0024> エロ侍
<0024> エロ侍

//<0025> エロエロ団ナンバー１
<0025> エロエロ団ナンバー１

//<0026> ただのエロ少年
<0026> ただのエロ少年

//<0027> ユリブサイク
<0027> ユリブサイク

//<0028> ドピュッシー
<0028> ドピュッシー

//<0029> アメリカンエロドッグ
<0029> アメリカンエロドッグ

//<0030> ゼウス
<0030> ゼウス

//<0031> 日向markⅡ
<0031> 日向markⅡ

//<0032> 糞虫
<0032> 糞虫

//<0033> 量産型日向
<0033> 量産型日向

//<0034> ？？
<0034> ？？

//<0035> 「…ん」
<0035> 「…ん」

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> 日向に起こしてもらえた。
<0041> 日向に起こしてもらえた。

//<0042> 固い床で寝心地は最悪だったが、日向のおかげで最高の朝を迎えられた。
<0042> 固い床で寝心地は最悪だったが、日向のおかげで最高の朝を迎えられた。

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> se_bird
<0049> se_bird

//<0050> 野田
<0050> 野田

//<0051> 男Ｆ
<0051> 男Ｆ

//<0052> イケパイ
<0052> イケパイ

//<0053> 男
<0053> 男

//<0054> ？？
<0054> ？？

//<0055> 「…おい、音無、朝だぞ？　起きろよ」
<0055> 「…おい、音無、朝だぞ？　起きろよ」

//<0056> 音無
<0056> 音無

//<0057> クソ坊主
<0057> クソ坊主

//<0058> 代理人
<0058> 代理人

//<0059> 微妙すぎるイケメン
<0059> 微妙すぎるイケメン

//<0060> ロリコン
<0060> ロリコン

//<0061> メガネ仲間
<0061> メガネ仲間

//<0062> 暗算日本記録保持者
<0062> 暗算日本記録保持者

//<0063> 通り魔
<0063> 通り魔

//<0064> 記憶ナシ男
<0064> 記憶ナシ男

//<0065> 音速
<0065> 音速

//<0066> 無限
<0066> 無限

//<0067> エロ侍
<0067> エロ侍

//<0068> エロエロ団ナンバー１
<0068> エロエロ団ナンバー１

//<0069> ただのエロ少年
<0069> ただのエロ少年

//<0070> ユリブサイク
<0070> ユリブサイク

//<0071> ドピュッシー
<0071> ドピュッシー

//<0072> アメリカンエロドッグ
<0072> アメリカンエロドッグ

//<0073> ゼウス
<0073> ゼウス

//<0074> 日向markⅡ
<0074> 日向markⅡ

//<0075> 糞虫
<0075> 糞虫

//<0076> 量産型日向
<0076> 量産型日向

//<0077> ？？
<0077> ？？

//<0078> 「…ん」
<0078> 「…ん」

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> nothing
<0083> nothing

//<0084> 野田に起こしてもらえた。
<0084> 野田に起こしてもらえた。

//<0085> 音無
<0085> 音無

//<0086> クソ坊主
<0086> クソ坊主

//<0087> 代理人
<0087> 代理人

//<0088> 微妙すぎるイケメン
<0088> 微妙すぎるイケメン

//<0089> ロリコン
<0089> ロリコン

//<0090> メガネ仲間
<0090> メガネ仲間

//<0091> 暗算日本記録保持者
<0091> 暗算日本記録保持者

//<0092> 通り魔
<0092> 通り魔

//<0093> 記憶ナシ男
<0093> 記憶ナシ男

//<0094> 音速
<0094> 音速

//<0095> 無限
<0095> 無限

//<0096> エロ侍
<0096> エロ侍

//<0097> エロエロ団ナンバー１
<0097> エロエロ団ナンバー１

//<0098> ただのエロ少年
<0098> ただのエロ少年

//<0099> ユリブサイク
<0099> ユリブサイク

//<0100> ドピュッシー
<0100> ドピュッシー

//<0101> アメリカンエロドッグ
<0101> アメリカンエロドッグ

//<0102> ゼウス
<0102> ゼウス

//<0103> 日向markⅡ
<0103> 日向markⅡ

//<0104> 糞虫
<0104> 糞虫

//<0105> 量産型日向
<0105> 量産型日向

//<0106> ？？
<0106> ？？

//<0107> 「おはよう、イケパイ…」
<0107> 「おはよう、イケパイ…」

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> nothing
<0112> nothing

//<0113> 野田
<0113> 野田

//<0114> 男Ｆ
<0114> 男Ｆ

//<0115> イケパイ
<0115> イケパイ

//<0116> 男
<0116> 男

//<0117> ？？
<0117> ？？

//<0118> 「だから、これはちっがーーーうっ！！」
<0118> 「だから、これはちっがーーーうっ！！」

//<0119> しまった…もう呼ばないと決めていたのに、寝ぼけて言ってしまった。
<0119> しまった…もう呼ばないと決めていたのに、寝ぼけて言ってしまった。

//<0120> 気をつけないと。
<0120> 気をつけないと。

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> nothing
<0123> nothing

