// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> 直井
<0006> 直井

//<0007> 「そこまでだ、貴様らっ」
<0007> 「そこまでだ、貴様らっ」

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> 教室の後方にあるドア、そこには直井率いる生徒会メンバーが立っていた。
<0013> 教室の後方にあるドア、そこには直井率いる生徒会メンバーが立っていた。

//<0014> 音無
<0014> 音無

//<0015> クソ坊主
<0015> クソ坊主

//<0016> 代理人
<0016> 代理人

//<0017> 微妙すぎるイケメン
<0017> 微妙すぎるイケメン

//<0018> ロリコン
<0018> ロリコン

//<0019> メガネ仲間
<0019> メガネ仲間

//<0020> 暗算日本記録保持者
<0020> 暗算日本記録保持者

//<0021> 通り魔
<0021> 通り魔

//<0022> 記憶ナシ男
<0022> 記憶ナシ男

//<0023> 音速
<0023> 音速

//<0024> 無限
<0024> 無限

//<0025> エロ侍
<0025> エロ侍

//<0026> エロエロ団ナンバー１
<0026> エロエロ団ナンバー１

//<0027> ただのエロ少年
<0027> ただのエロ少年

//<0028> ユリブサイク
<0028> ユリブサイク

//<0029> ドピュッシー
<0029> ドピュッシー

//<0030> アメリカンエロドッグ
<0030> アメリカンエロドッグ

//<0031> ゼウス
<0031> ゼウス

//<0032> 日向markⅡ
<0032> 日向markⅡ

//<0033> 糞虫
<0033> 糞虫

//<0034> 量産型日向
<0034> 量産型日向

//<0035> ？？
<0035> ？？

//<0036> 「岩沢、逃げろっ」
<0036> 「岩沢、逃げろっ」

//<0037> 岩沢
<0037> 岩沢

//<0038> 「ああっ」
<0038> 「ああっ」

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> 直井
<0044> 直井

//<0045> 「そこまでだ、貴様らっ」
<0045> 「そこまでだ、貴様らっ」

//<0046> ユイ
<0046> ユイ

//<0047> 「ひぃっ」
<0047> 「ひぃっ」

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> 直井
<0054> 直井

//<0055> 「そこまでだ、貴様らっ」
<0055> 「そこまでだ、貴様らっ」

//<0056> nothing
<0056> nothing

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> 教室の後方にあるドア、そこには直井率いる生徒会メンバーが立っていた。
<0061> 教室の後方にあるドア、そこには直井率いる生徒会メンバーが立っていた。

//<0062> 日向
<0062> 日向

//<0063> 男Ｂ
<0063> 男Ｂ

//<0064> エロエロ団総帥
<0064> エロエロ団総帥

//<0065> イケチン
<0065> イケチン

//<0066> ホモ太
<0066> ホモ太

//<0067> ひなチン
<0067> ひなチン

//<0068> 秀樹
<0068> 秀樹

//<0069> 男子生徒
<0069> 男子生徒

//<0070> ？？
<0070> ？？

//<0071> 「…！？」
<0071> 「…！？」

//<0072> ひたすらサイコロを転がしていた日向もその手を止めていた。
<0072> ひたすらサイコロを転がしていた日向もその手を止めていた。

//<0073> 日向
<0073> 日向

//<0074> 男Ｂ
<0074> 男Ｂ

//<0075> エロエロ団総帥
<0075> エロエロ団総帥

//<0076> イケチン
<0076> イケチン

