// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> 
<0001> 

//<0002> 
<0002> 

//<0003> nothing
<0003> nothing

//<0004> 大山
<0004> 大山

//<0005> 「うわあああぁぁぁぁーーーーっ！！」
<0005> 「うわあああぁぁぁぁーーーーっ！！」

//<0006> 廊下に響き渡るのは大山の声だ。
<0006> 廊下に響き渡るのは大山の声だ。

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> 俺は大山を襲おうとしていた得体の知れない何かを思いきり斬りつけた。
<0012> 俺は大山を襲おうとしていた得体の知れない何かを思いきり斬りつけた。

//<0013> se_zan
<0013> se_zan

//<0014> ざぐしゅぅぅっ！！
<0014> ざぐしゅぅぅっ！！

//<0015> se_shadow
<0015> se_shadow

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> nothing
<0019> nothing

//<0020> nothing
<0020> nothing

//<0021> nothing
<0021> nothing

//<0022> それは煙のように霧散して消え去った。
<0022> それは煙のように霧散して消え去った。

//<0023> 大山
<0023> 大山

//<0024> 「はあぁっ…はああぁっ…」
<0024> 「はあぁっ…はああぁっ…」

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> 大山はまだ動揺して、呼吸を乱している。
<0031> 大山はまだ動揺して、呼吸を乱している。

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> すぐさま得物の刃を確かめてみたが、そこにはなんの痕跡もない…。
<0037> すぐさま得物の刃を確かめてみたが、そこにはなんの痕跡もない…。

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> 野田
<0043> 野田

//<0044> 男Ｆ
<0044> 男Ｆ

//<0045> イケパイ
<0045> イケパイ

//<0046> 男
<0046> 男

//<0047> ？？
<0047> ？？

//<0048> 「今、俺は…何を斬ったんだ？」
<0048> 「今、俺は…何を斬ったんだ？」

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> ゆり
<0054> ゆり

//<0055> 女生徒
<0055> 女生徒

//<0056> ？？
<0056> ？？

//<0057> 「…影？　もうちょっとちゃんと説明してよ」
<0057> 「…影？　もうちょっとちゃんと説明してよ」

//<0058> 遊佐
<0058> 遊佐

//<0059> 『影としか説明できません。今、駆けつけた野田さんが倒したところです。大山さんひとりでは危険でした』
<0059> 『影としか説明できません。今、駆けつけた野田さんが倒したところです。大山さんひとりでは危険でした』

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> ゆり
<0065> ゆり

//<0066> 女生徒
<0066> 女生徒

//<0067> ？？
<0067> ？？

//<0068> 「危ないって…」
<0068> 「危ないって…」

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> ゆり
<0074> ゆり

//<0075> 女生徒
<0075> 女生徒

//<0076> ？？
<0076> ？？

//<0077> 「…なにが…？」
<0077> 「…なにが…？」

