// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> とりあえず授業を１時間だけ受けてみた。
<0000> For now I'll take class, but just for an hour.

//<0001> ＳＳＳに所属しているので、Tenshiの監視付きということで、本来の自分の教室とは違う教室でだが。
<0001> The class was in a different classroom from my official one, since I'm part of the SSS, under Tenshi's observation

//<0002> Otonashi
<0002> Otonashi

//<0003> Punk
<0003> Punk

//<0004> Substitute
<0004> Substitute

//<0005> Uncanny Hunk
<0005> Uncanny Hunk

//<0006> Lolicon
<0006> Lolicon

//<0007> Glasses Comrade
<0007> Glasses Comrade

//<0008> 暗算日本記録保持者
<0008> 暗算日本記録保持者

//<0009> Phantom Slasher
<0009> Phantom Slasher

//<0010> Amnesiac
<0010> Amnesiac

//<0011> 音速
<0011> 音速

//<0012> 無限
<0012> 無限

//<0013> エロ侍
<0013> エロ侍

//<0014> エロエロ団ナンバー１
<0014> エロエロ団ナンバー１

//<0015> ただのエロ少年
<0015> ただのエロ少年

//<0016> ユリブサイク
<0016> ユリブサイク

//<0017> ドピュッシー
<0017> ドピュッシー

//<0018> アメリカンエロドッグ
<0018> アメリカンエロドッグ

//<0019> ゼウス
<0019> ゼウス

//<0020> 日向markⅡ
<0020> 日向markⅡ

//<0021> 糞虫
<0021> 糞虫

//<0022> 量産型日向
<0022> 量産型日向

//<0023> ??
<0023> ??

//<0024> （生徒会長権限てやつか？　なんでも有りだな…）
<0024> (I guess she can do anything with the authority as the student council president)

//<0025> Otonashi
<0025> Otonashi

//<0026> Punk
<0026> Punk

//<0027> Substitute
<0027> Substitute

//<0028> Uncanny Hunk
<0028> Uncanny Hunk

//<0029> Lolicon
<0029> Lolicon

//<0030> Glasses Comrade
<0030> Glasses Comrade

//<0031> 暗算日本記録保持者
<0031> 暗算日本記録保持者

//<0032> Phantom Slasher
<0032> Phantom Slasher

//<0033> Amnesiac
<0033> Amnesiac

//<0034> 音速
<0034> 音速

//<0035> 無限
<0035> 無限

//<0036> エロ侍
<0036> エロ侍

//<0037> エロエロ団ナンバー１
<0037> エロエロ団ナンバー１

//<0038> ただのエロ少年
<0038> ただのエロ少年

//<0039> ユリブサイク
<0039> ユリブサイク

//<0040> ドピュッシー
<0040> ドピュッシー

//<0041> アメリカンエロドッグ
<0041> アメリカンエロドッグ

//<0042> ゼウス
<0042> ゼウス

//<0043> 日向markⅡ
<0043> 日向markⅡ

//<0044> 糞虫
<0044> 糞虫

//<0045> 量産型日向
<0045> 量産型日向

//<0046> ??
<0046> ??

//<0047> （それにしても、授業受けても、消えねぇじゃん…）
<0047> (Even though I'm in class I'm not disappearing)

//<0048> Otonashi
<0048> Otonashi

//<0049> Punk
<0049> Punk

//<0050> Substitute
<0050> Substitute

//<0051> Uncanny Hunk
<0051> Uncanny Hunk

//<0052> Lolicon
<0052> Lolicon

//<0053> Glasses Comrade
<0053> Glasses Comrade

//<0054> 暗算日本記録保持者
<0054> 暗算日本記録保持者

//<0055> Phantom Slasher
<0055> Phantom Slasher

//<0056> Amnesiac
<0056> Amnesiac

//<0057> 音速
<0057> 音速

//<0058> 無限
<0058> 無限

//<0059> エロ侍
<0059> エロ侍

//<0060> エロエロ団ナンバー１
<0060> エロエロ団ナンバー１

//<0061> ただのエロ少年
<0061> ただのエロ少年

//<0062> ユリブサイク
<0062> ユリブサイク

//<0063> ドピュッシー
<0063> ドピュッシー

//<0064> アメリカンエロドッグ
<0064> アメリカンエロドッグ

//<0065> ゼウス
<0065> ゼウス

//<0066> 日向markⅡ
<0066> 日向markⅡ

//<0067> 糞虫
<0067> 糞虫

//<0068> 量産型日向
<0068> 量産型日向

//<0069> ??
<0069> ??

//<0070> （数を重ねることでそうなっちまうのか…？）
<0070> (Does it only happen if I keep doing it?)

//<0071> でも、丁度良い。
<0071> But, this is actually convenient.

//<0072> 戦線の方針からは外れるかも知れないけれど、Tenshiとの接点ができた。
<0072> This might stray from the goals of the battlefront, but now I have some common ground with Tenshi.

//<0073> 聞いてみたいこともあるし、休み時間になったら話をしてみよう。
<0073> There's also some questions I want to ask her; let's talk to her during break.

//<0074> se_chime
<0074> se_chime

//<0075> チャイムが鳴り、授業が終わった。
<0075> The bell rang, and the class ended.

//<0076> Otonashi
<0076> Otonashi

//<0077> Punk
<0077> Punk

//<0078> Substitute
<0078> Substitute

//<0079> Uncanny Hunk
<0079> Uncanny Hunk

//<0080> Lolicon
<0080> Lolicon

//<0081> Glasses Comrade
<0081> Glasses Comrade

//<0082> 暗算日本記録保持者
<0082> 暗算日本記録保持者

//<0083> Phantom Slasher
<0083> Phantom Slasher

//<0084> Amnesiac
<0084> Amnesiac

//<0085> 音速
<0085> 音速

//<0086> 無限
<0086> 無限

//<0087> エロ侍
<0087> エロ侍

//<0088> エロエロ団ナンバー１
<0088> エロエロ団ナンバー１

//<0089> ただのエロ少年
<0089> ただのエロ少年

//<0090> ユリブサイク
<0090> ユリブサイク

//<0091> ドピュッシー
<0091> ドピュッシー

//<0092> アメリカンエロドッグ
<0092> アメリカンエロドッグ

//<0093> ゼウス
<0093> ゼウス

//<0094> 日向markⅡ
<0094> 日向markⅡ

//<0095> 糞虫
<0095> 糞虫

//<0096> 量産型日向
<0096> 量産型日向

//<0097> ??
<0097> ??

//<0098> 「ちょっといいか」
<0098> "Do you have a moment?"

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> Tenshi
<0104> Tenshi

//<0105> Kanade
<0105> Kanade

//<0106> Schoolgirl
<0106> Schoolgirl

//<0107> ??
<0107> ??

//<0108> 「どうしたの？」
<0108> "What's the matter?"

//<0109> Otonashi
<0109> Otonashi

//<0110> Punk
<0110> Punk

//<0111> Substitute
<0111> Substitute

//<0112> Uncanny Hunk
<0112> Uncanny Hunk

//<0113> Lolicon
<0113> Lolicon

//<0114> Glasses Comrade
<0114> Glasses Comrade

//<0115> 暗算日本記録保持者
