// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> こんなに受け続けていて、大丈夫なのだろうか…。
<0000> こんなに受け続けていて、大丈夫なのだろうか…。

//<0001> いつ消えるかわからないぞ。
<0001> いつ消えるかわからないぞ。

//<0002> でも…。
<0002> でも…。

//<0003> 音無
<0003> 音無

//<0004> クソ坊主
<0004> クソ坊主

//<0005> 代理人
<0005> 代理人

//<0006> 微妙すぎるイケメン
<0006> 微妙すぎるイケメン

//<0007> ロリコン
<0007> ロリコン

//<0008> メガネ仲間
<0008> メガネ仲間

//<0009> 暗算日本記録保持者
<0009> 暗算日本記録保持者

//<0010> 通り魔
<0010> 通り魔

//<0011> 記憶ナシ男
<0011> 記憶ナシ男

//<0012> 音速
<0012> 音速

//<0013> 無限
<0013> 無限

//<0014> エロ侍
<0014> エロ侍

//<0015> エロエロ団ナンバー１
<0015> エロエロ団ナンバー１

//<0016> ただのエロ少年
<0016> ただのエロ少年

//<0017> ユリブサイク
<0017> ユリブサイク

//<0018> ドピュッシー
<0018> ドピュッシー

//<0019> アメリカンエロドッグ
<0019> アメリカンエロドッグ

//<0020> ゼウス
<0020> ゼウス

//<0021> 日向markⅡ
<0021> 日向markⅡ

//<0022> 糞虫
<0022> 糞虫

//<0023> 量産型日向
<0023> 量産型日向

//<0024> ？？
<0024> ？？

//<0025> 「わかった。受ける」
<0025> 「わかった。受ける」

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> 天使
<0031> 天使

//<0032> かなで
<0032> かなで

//<0033> 女生徒
<0033> 女生徒

//<0034> ？？
<0034> ？？

//<0035> 「すごいわ、あなた…」
<0035> 「すごいわ、あなた…」

//<0036> 音無
<0036> 音無

//<0037> クソ坊主
<0037> クソ坊主

//<0038> 代理人
<0038> 代理人

//<0039> 微妙すぎるイケメン
<0039> 微妙すぎるイケメン

//<0040> ロリコン
<0040> ロリコン

//<0041> メガネ仲間
<0041> メガネ仲間

//<0042> 暗算日本記録保持者
<0042> 暗算日本記録保持者

//<0043> 通り魔
<0043> 通り魔

//<0044> 記憶ナシ男
<0044> 記憶ナシ男

//<0045> 音速
<0045> 音速

//<0046> 無限
<0046> 無限

//<0047> エロ侍
<0047> エロ侍

//<0048> エロエロ団ナンバー１
<0048> エロエロ団ナンバー１

//<0049> ただのエロ少年
<0049> ただのエロ少年

//<0050> ユリブサイク
<0050> ユリブサイク

//<0051> ドピュッシー
<0051> ドピュッシー

//<0052> アメリカンエロドッグ
<0052> アメリカンエロドッグ

//<0053> ゼウス
<0053> ゼウス

//<0054> 日向markⅡ
<0054> 日向markⅡ

//<0055> 糞虫
<0055> 糞虫

//<0056> 量産型日向
<0056> 量産型日向

//<0057> ？？
<0057> ？？

//<0058> 「だから、驚くなって」
<0058> 「だから、驚くなって」

//<0059> そういや、明日が作戦の日。
<0059> そういや、明日が作戦の日。

//<0060> なのに、俺は天使の言いなりになって、授業を受けている。
<0060> なのに、俺は天使の言いなりになって、授業を受けている。

//<0061> 戦線にも天使にも、どちらに対しても後ろめたいものを感じる。
<0061> 戦線にも天使にも、どちらに対しても後ろめたいものを感じる。

//<0062> 戦線は、記憶を失っている俺にとって唯一の居場所だ。それは間違いない。
<0062> 戦線は、記憶を失っている俺にとって唯一の居場所だ。それは間違いない。

//<0063> なら天使は？
<0063> なら天使は？

//<0064> ここに来る人間の生前の記憶は凄惨なものだ。
<0064> ここに来る人間の生前の記憶は凄惨なものだ。

//<0065> ゆりの生前を聞いた限り、その事実に間違いはないのだろう。
<0065> ゆりの生前を聞いた限り、その事実に間違いはないのだろう。

//<0066> だったら、俺も似たようなものに違いない。
<0066> だったら、俺も似たようなものに違いない。

//<0067> じゃあ、それを思い出した時、俺も戦線のみんなのように、そんな人生を強いた神に復讐をしたくなるかもしれない。
<0067> じゃあ、それを思い出した時、俺も戦線のみんなのように、そんな人生を強いた神に復讐をしたくなるかもしれない。

//<0068> 消されることを真っ向から否定するかもしれない。
<0068> 消されることを真っ向から否定するかもしれない。

//<0069> 白
<0069> 白
{1cab} 0a // 0069

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> 天使
<0075> 天使

//<0076> かなで
<0076> かなで

//<0077> 女生徒
<0077> 女生徒

//<0078> ？？
<0078> ？？

//<0079> 「ここに来る人たちは、まともな青春を送れず、辛い人生だった人ばかり」
<0079> 「ここに来る人たちは、まともな青春を送れず、辛い人生だった人ばかり」

//<0080> 天使はそう言っていた。
<0080> 天使はそう言っていた。

//<0081> 俺を戦線から引き離すための甘言なのか？
<0081> 俺を戦線から引き離すための甘言なのか？

//<0082> その言葉を疑うことも出来るが、俺には天使が嘘をついているようにはどうしても思えなかった。
<0082> その言葉を疑うことも出来るが、俺には天使が嘘をついているようにはどうしても思えなかった。

//<0083> だって、あの子は馬鹿なのだから。
<0083> だって、あの子は馬鹿なのだから。

//<0084> 俺を騙すなら、もっと都合の良い嘘をつくはずだ。
<0084> 俺を騙すなら、もっと都合の良い嘘をつくはずだ。

//<0085> しかし、だからと言って『はいそうですか』と受け入れられるわけじゃない。
<0085> しかし、だからと言って『はいそうですか』と受け入れられるわけじゃない。

//<0086> 俺は戦線の一員として、神に抗う道を選んだんだ。
<0086> 俺は戦線の一員として、神に抗う道を選んだんだ。

//<0087> これからもゆり達と共に戦い続ける道を歩んでいくことになる。
<0087> これからもゆり達と共に戦い続ける道を歩んでいくことになる。

//<0088> その時天使は、俺にとってどんな存在になるのだろう。
<0088> その時天使は、俺にとってどんな存在になるのだろう。

