// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音無
<0000> 音無

//<0001> クソ坊主
<0001> クソ坊主

//<0002> 代理人
<0002> 代理人

//<0003> 微妙すぎるイケメン
<0003> 微妙すぎるイケメン

//<0004> ロリコン
<0004> ロリコン

//<0005> メガネ仲間
<0005> メガネ仲間

//<0006> 暗算日本記録保持者
<0006> 暗算日本記録保持者

//<0007> 通り魔
<0007> 通り魔

//<0008> 記憶ナシ男
<0008> 記憶ナシ男

//<0009> 音速
<0009> 音速

//<0010> 無限
<0010> 無限

//<0011> エロ侍
<0011> エロ侍

//<0012> エロエロ団ナンバー１
<0012> エロエロ団ナンバー１

//<0013> ただのエロ少年
<0013> ただのエロ少年

//<0014> ユリブサイク
<0014> ユリブサイク

//<0015> ドピュッシー
<0015> ドピュッシー

//<0016> アメリカンエロドッグ
<0016> アメリカンエロドッグ

//<0017> ゼウス
<0017> ゼウス

//<0018> 日向markⅡ
<0018> 日向markⅡ

//<0019> 糞虫
<0019> 糞虫

//<0020> 量産型日向
<0020> 量産型日向

//<0021> ？？
<0021> ？？

//<0022> 「わかった。受ける」
<0022> 「わかった。受ける」

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> 天使
<0028> 天使

//<0029> かなで
<0029> かなで

//<0030> 女生徒
<0030> 女生徒

//<0031> ？？
<0031> ？？

//<0032> 「…！？」
<0032> 「…！？」

//<0033> 音無
<0033> 音無

//<0034> クソ坊主
<0034> クソ坊主

//<0035> 代理人
<0035> 代理人

//<0036> 微妙すぎるイケメン
<0036> 微妙すぎるイケメン

//<0037> ロリコン
<0037> ロリコン

//<0038> メガネ仲間
<0038> メガネ仲間

//<0039> 暗算日本記録保持者
<0039> 暗算日本記録保持者

//<0040> 通り魔
<0040> 通り魔

//<0041> 記憶ナシ男
<0041> 記憶ナシ男

//<0042> 音速
<0042> 音速

//<0043> 無限
<0043> 無限

//<0044> エロ侍
<0044> エロ侍

//<0045> エロエロ団ナンバー１
<0045> エロエロ団ナンバー１

//<0046> ただのエロ少年
<0046> ただのエロ少年

//<0047> ユリブサイク
<0047> ユリブサイク

//<0048> ドピュッシー
<0048> ドピュッシー

//<0049> アメリカンエロドッグ
<0049> アメリカンエロドッグ

//<0050> ゼウス
<0050> ゼウス

//<0051> 日向markⅡ
<0051> 日向markⅡ

//<0052> 糞虫
<0052> 糞虫

//<0053> 量産型日向
<0053> 量産型日向

//<0054> ？？
<0054> ？？

//<0055> 「だから、驚くなって」
<0055> 「だから、驚くなって」

//<0056> 授業中、俺はひたすら天使のことを考えていた。
<0056> 授業中、俺はひたすら天使のことを考えていた。

//<0057> 普段は戦線のみんなと一緒に戦ってはいるけど…。
<0057> 普段は戦線のみんなと一緒に戦ってはいるけど…。

//<0058> 本当に敵なのか？
<0058> 本当に敵なのか？

//<0059> 少なくとも悪い奴には見えない。
<0059> 少なくとも悪い奴には見えない。

//<0060> 初めて会った時俺がぶっ刺されたのだって、自業自得とゆりは言っていた。
<0060> 初めて会った時俺がぶっ刺されたのだって、自業自得とゆりは言っていた。

//<0061> こうして授業に出ていれば、友達にだってなれそうだ。
<0061> こうして授業に出ていれば、友達にだってなれそうだ。

//<0062> 今日の会話は、神やこの世界に関することではなく、ありふれたクラスメイト同士の会話にしてみるってのはどうだろう。
<0062> 今日の会話は、神やこの世界に関することではなく、ありふれたクラスメイト同士の会話にしてみるってのはどうだろう。

//<0063> ゆりは言っていた。この世界に関することはノーコメントだと。
<0063> ゆりは言っていた。この世界に関することはノーコメントだと。

//<0064> だったら、いっそクラスメイトとして近づいたほうが有益なはずだ。
<0064> だったら、いっそクラスメイトとして近づいたほうが有益なはずだ。

//<0065> 友達関係になれれば、自ずと彼女のことを知ることができる。
<0065> 友達関係になれれば、自ずと彼女のことを知ることができる。

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> 
<0072> 

//<0073> 
<0073> 

//<0074> nothing
<0074> nothing

//<0075> 俺は授業を受ける天使の横顔を覗き見た。
<0075> 俺は授業を受ける天使の横顔を覗き見た。

//<0076> よし、やってみようと決意した。
<0076> よし、やってみようと決意した。

//<0077> se_chime
<0077> se_chime

//<0078> 授業が終わる。
<0078> 授業が終わる。

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> nothing
<0083> nothing

//<0084> いつものように、天使の前に立つ。
<0084> いつものように、天使の前に立つ。

//<0085> 何を話そう。
<0085> 何を話そう。

//<0086> まずは、そうだ。
<0086> まずは、そうだ。

//<0087> これを訊かなければ何も始まらない。
<0087> これを訊かなければ何も始まらない。

//<0088> 音無
<0088> 音無

//<0089> クソ坊主
<0089> クソ坊主

//<0090> 代理人
<0090> 代理人

//<0091> 微妙すぎるイケメン
<0091> 微妙すぎるイケメン

//<0092> ロリコン
<0092> ロリコン

//<0093> メガネ仲間
<0093> メガネ仲間

//<0094> 暗算日本記録保持者
<0094> 暗算日本記録保持者

//<0095> 通り魔
<0095> 通り魔

//<0096> 記憶ナシ男
<0096> 記憶ナシ男

//<0097> 音速
<0097> 音速

//<0098> 無限
<0098> 無限

//<0099> エロ侍
<0099> エロ侍

//<0100> エロエロ団ナンバー１
<0100> エロエロ団ナンバー１

//<0101> ただのエロ少年
<0101> ただのエロ少年

//<0102> ユリブサイク
<0102> ユリブサイク

//<0103> ドピュッシー
<0103> ドピュッシー

//<0104> アメリカンエロドッグ
<0104> アメリカンエロドッグ

//<0105> ゼウス
