// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 天使
<0005> 天使

//<0006> かなで
<0006> かなで

//<0007> 女生徒
<0007> 女生徒

//<0008> ？？
<0008> ？？

//<0009> 「授業が始まるわよ」
<0009> 「授業が始まるわよ」

//<0010> 音無
<0010> 音無

//<0011> クソ坊主
<0011> クソ坊主

//<0012> 代理人
<0012> 代理人

//<0013> 微妙すぎるイケメン
<0013> 微妙すぎるイケメン

//<0014> ロリコン
<0014> ロリコン

//<0015> メガネ仲間
<0015> メガネ仲間

//<0016> 暗算日本記録保持者
<0016> 暗算日本記録保持者

//<0017> 通り魔
<0017> 通り魔

//<0018> 記憶ナシ男
<0018> 記憶ナシ男

//<0019> 音速
<0019> 音速

//<0020> 無限
<0020> 無限

//<0021> エロ侍
<0021> エロ侍

//<0022> エロエロ団ナンバー１
<0022> エロエロ団ナンバー１

//<0023> ただのエロ少年
<0023> ただのエロ少年

//<0024> ユリブサイク
<0024> ユリブサイク

//<0025> ドピュッシー
<0025> ドピュッシー

//<0026> アメリカンエロドッグ
<0026> アメリカンエロドッグ

//<0027> ゼウス
<0027> ゼウス

//<0028> 日向markⅡ
<0028> 日向markⅡ

//<0029> 糞虫
<0029> 糞虫

//<0030> 量産型日向
<0030> 量産型日向

//<0031> ？？
<0031> ？？

//<0032> 「ああ、そうだな。教室に行こう」
<0032> 「ああ、そうだな。教室に行こう」

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> 天使
<0038> 天使

//<0039> かなで
<0039> かなで

//<0040> 女生徒
<0040> 女生徒

//<0041> ？？
<0041> ？？

//<0042> 「凄い…感動するわ…！」
<0042> 「凄い…感動するわ…！」

//<0043> 音無
<0043> 音無

//<0044> クソ坊主
<0044> クソ坊主

//<0045> 代理人
<0045> 代理人

//<0046> 微妙すぎるイケメン
<0046> 微妙すぎるイケメン

//<0047> ロリコン
<0047> ロリコン

//<0048> メガネ仲間
<0048> メガネ仲間

//<0049> 暗算日本記録保持者
<0049> 暗算日本記録保持者

//<0050> 通り魔
<0050> 通り魔

//<0051> 記憶ナシ男
<0051> 記憶ナシ男

//<0052> 音速
<0052> 音速

//<0053> 無限
<0053> 無限

//<0054> エロ侍
<0054> エロ侍

//<0055> エロエロ団ナンバー１
<0055> エロエロ団ナンバー１

//<0056> ただのエロ少年
<0056> ただのエロ少年

//<0057> ユリブサイク
<0057> ユリブサイク

//<0058> ドピュッシー
<0058> ドピュッシー

//<0059> アメリカンエロドッグ
<0059> アメリカンエロドッグ

//<0060> ゼウス
<0060> ゼウス

//<0061> 日向markⅡ
<0061> 日向markⅡ

//<0062> 糞虫
<0062> 糞虫

//<0063> 量産型日向
<0063> 量産型日向

//<0064> ？？
<0064> ？？

//<0065> 「そこまで驚かないでくれよ…」
<0065> 「そこまで驚かないでくれよ…」

//<0066> 授業が終わる。
<0066> 授業が終わる。

//<0067> 今日も逆パターンかな、と思ったが、天使はこちらをちらりとは見るも、席を立つことはなかった。
<0067> 今日も逆パターンかな、と思ったが、天使はこちらをちらりとは見るも、席を立つことはなかった。

//<0068> 仕方なしに俺がいつものようにその前に立つ。
<0068> 仕方なしに俺がいつものようにその前に立つ。

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> その表情は複雑そうに見えた。
