// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> まず、神の居る場所を突き止めなくてはいけない。
<0000> まず、神の居る場所を突き止めなくてはいけない。

//<0001> 天使…いや、立華から話を聞いてみよう。
<0001> 天使…いや、立華から話を聞いてみよう。

//<0002> 休み時間に立華に会いに行く。
<0002> 休み時間に立華に会いに行く。

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> いつもの教室で、物静かに本を読んでいた。
<0008> いつもの教室で、物静かに本を読んでいた。

//<0009> 音無
<0009> 音無

//<0010> クソ坊主
<0010> クソ坊主

//<0011> 代理人
<0011> 代理人

//<0012> 微妙すぎるイケメン
<0012> 微妙すぎるイケメン

//<0013> ロリコン
<0013> ロリコン

//<0014> メガネ仲間
<0014> メガネ仲間

//<0015> 暗算日本記録保持者
<0015> 暗算日本記録保持者

//<0016> 通り魔
<0016> 通り魔

//<0017> 記憶ナシ男
<0017> 記憶ナシ男

//<0018> 音速
<0018> 音速

//<0019> 無限
<0019> 無限

//<0020> エロ侍
<0020> エロ侍

//<0021> エロエロ団ナンバー１
<0021> エロエロ団ナンバー１

//<0022> ただのエロ少年
<0022> ただのエロ少年

//<0023> ユリブサイク
<0023> ユリブサイク

//<0024> ドピュッシー
<0024> ドピュッシー

//<0025> アメリカンエロドッグ
<0025> アメリカンエロドッグ

//<0026> ゼウス
<0026> ゼウス

//<0027> 日向markⅡ
<0027> 日向markⅡ

//<0028> 糞虫
<0028> 糞虫

//<0029> 量産型日向
<0029> 量産型日向

//<0030> ？？
<0030> ？？

//<0031> 「よう、立華」
<0031> 「よう、立華」

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> 天使
<0037> 天使

//<0038> かなで
<0038> かなで

//<0039> 女生徒
<0039> 女生徒

//<0040> ？？
<0040> ？？

//<0041> 「あら、音無くん」
<0041> 「あら、音無くん」

//<0042> 音無
<0042> 音無

//<0043> クソ坊主
<0043> クソ坊主

//<0044> 代理人
<0044> 代理人

//<0045> 微妙すぎるイケメン
<0045> 微妙すぎるイケメン

//<0046> ロリコン
<0046> ロリコン

//<0047> メガネ仲間
<0047> メガネ仲間

//<0048> 暗算日本記録保持者
<0048> 暗算日本記録保持者

//<0049> 通り魔
<0049> 通り魔

//<0050> 記憶ナシ男
<0050> 記憶ナシ男

//<0051> 音速
<0051> 音速

//<0052> 無限
<0052> 無限

//<0053> エロ侍
<0053> エロ侍

//<0054> エロエロ団ナンバー１
<0054> エロエロ団ナンバー１

//<0055> ただのエロ少年
<0055> ただのエロ少年

//<0056> ユリブサイク
<0056> ユリブサイク

//<0057> ドピュッシー
<0057> ドピュッシー

//<0058> アメリカンエロドッグ
<0058> アメリカンエロドッグ

//<0059> ゼウス
<0059> ゼウス

//<0060> 日向markⅡ
<0060> 日向markⅡ

//<0061> 糞虫
<0061> 糞虫

//<0062> 量産型日向
<0062> 量産型日向

//<0063> ？？
<0063> ？？

//<0064> 「いや、今の俺はゼウスだ」
<0064> 「いや、今の俺はゼウスだ」

//<0065> 音無
<0065> 音無

//<0066> クソ坊主
<0066> クソ坊主

//<0067> 代理人
<0067> 代理人

//<0068> 微妙すぎるイケメン
<0068> 微妙すぎるイケメン

//<0069> ロリコン
<0069> ロリコン

//<0070> メガネ仲間
<0070> メガネ仲間

//<0071> 暗算日本記録保持者
<0071> 暗算日本記録保持者

//<0072> 通り魔
<0072> 通り魔

//<0073> 記憶ナシ男
<0073> 記憶ナシ男
