// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 天使
<0000> 天使

//<0001> かなで
<0001> かなで

//<0002> 女生徒
<0002> 女生徒

//<0003> ？？
<0003> ？？

//<0004> 「もうすぐ授業よ」
<0004> 「もうすぐ授業よ」

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> その声に振り返ると、天使が居た。
<0010> その声に振り返ると、天使が居た。

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> 天使
<0016> 天使

//<0017> かなで
<0017> かなで

//<0018> 女生徒
<0018> 女生徒

//<0019> ？？
<0019> ？？

//<0020> 「とは、言えない姿ね…。その怪我どうしたの？」
<0020> 「とは、言えない姿ね…。その怪我どうしたの？」

//<0021> 昨日と同じく俺は上着もボロボロで、見える皮膚からは血が流れ続けていた。
<0021> 昨日と同じく俺は上着もボロボロで、見える皮膚からは血が流れ続けていた。

//<0022> 野田と戦って全身ボロボロのままの俺の姿を見て、怪訝な表情を見せる天使。
<0022> 野田と戦って全身ボロボロのままの俺の姿を見て、怪訝な表情を見せる天使。

//<0023> 音無
<0023> 音無

//<0024> クソ坊主
<0024> クソ坊主

//<0025> 代理人
<0025> 代理人

//<0026> 微妙すぎるイケメン
<0026> 微妙すぎるイケメン

//<0027> ロリコン
<0027> ロリコン

//<0028> メガネ仲間
<0028> メガネ仲間

//<0029> 暗算日本記録保持者
<0029> 暗算日本記録保持者

//<0030> 通り魔
<0030> 通り魔

//<0031> 記憶ナシ男
<0031> 記憶ナシ男

//<0032> 音速
<0032> 音速

//<0033> 無限
<0033> 無限

//<0034> エロ侍
<0034> エロ侍

//<0035> エロエロ団ナンバー１
<0035> エロエロ団ナンバー１

//<0036> ただのエロ少年
<0036> ただのエロ少年

//<0037> ユリブサイク
<0037> ユリブサイク

//<0038> ドピュッシー
<0038> ドピュッシー

//<0039> アメリカンエロドッグ
<0039> アメリカンエロドッグ

//<0040> ゼウス
<0040> ゼウス

//<0041> 日向markⅡ
<0041> 日向markⅡ

//<0042> 糞虫
<0042> 糞虫

//<0043> 量産型日向
<0043> 量産型日向

//<0044> ？？
<0044> ？？

//<0045> 「鍛錬だが？」
<0045> 「鍛錬だが？」

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> 天使
<0051> 天使

//<0052> かなで
<0052> かなで

//<0053> 女生徒
<0053> 女生徒

//<0054> ？？
<0054> ？？

//<0055> 「それは、保健室に行くべきね…」
<0055> 「それは、保健室に行くべきね…」

//<0056> 音無
<0056> 音無

//<0057> クソ坊主
<0057> クソ坊主

//<0058> 代理人
<0058> 代理人

//<0059> 微妙すぎるイケメン
<0059> 微妙すぎるイケメン

//<0060> ロリコン
<0060> ロリコン

//<0061> メガネ仲間
<0061> メガネ仲間

//<0062> 暗算日本記録保持者
<0062> 暗算日本記録保持者

//<0063> 通り魔
<0063> 通り魔

//<0064> 記憶ナシ男
<0064> 記憶ナシ男

//<0065> 音速
<0065> 音速

//<0066> 無限
<0066> 無限

//<0067> エロ侍
<0067> エロ侍

//<0068> エロエロ団ナンバー１
<0068> エロエロ団ナンバー１

//<0069> ただのエロ少年
<0069> ただのエロ少年

//<0070> ユリブサイク
<0070> ユリブサイク

