// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_knock
<0000> se_knock

//<0001> 本部の前に立ち、ドアをコンコンコンとノックする。
<0001> 本部の前に立ち、ドアをコンコンコンとノックする。

//<0002> 中から、合い言葉ー、という声が返ってくる。
<0002> 中から、合い言葉ー、という声が返ってくる。

//<0003> 日向
<0003> 日向

//<0004> 男Ｂ
<0004> 男Ｂ

//<0005> エロエロ団総帥
<0005> エロエロ団総帥

//<0006> イケチン
<0006> イケチン

//<0007> ホモ太
<0007> ホモ太

//<0008> ひなチン
<0008> ひなチン

//<0009> 秀樹
<0009> 秀樹

//<0010> 男子生徒
<0010> 男子生徒

//<0011> ？？
<0011> ？？

//<0012> 「覚えてるよな？」
<0012> 「覚えてるよな？」

//<0013> 俺は頷く。
<0013> 俺は頷く。

//<0014> 音無
<0014> 音無

//<0015> クソ坊主
<0015> クソ坊主

//<0016> 代理人
<0016> 代理人

//<0017> 微妙すぎるイケメン
<0017> 微妙すぎるイケメン

//<0018> ロリコン
<0018> ロリコン

//<0019> メガネ仲間
<0019> メガネ仲間

//<0020> 暗算日本記録保持者
<0020> 暗算日本記録保持者

//<0021> 通り魔
<0021> 通り魔

//<0022> 記憶ナシ男
<0022> 記憶ナシ男

//<0023> 音速
<0023> 音速

//<0024> 無限
<0024> 無限

//<0025> エロ侍
<0025> エロ侍

//<0026> エロエロ団ナンバー１
<0026> エロエロ団ナンバー１

//<0027> ただのエロ少年
<0027> ただのエロ少年

//<0028> ユリブサイク
<0028> ユリブサイク

//<0029> ドピュッシー
<0029> ドピュッシー

//<0030> アメリカンエロドッグ
<0030> アメリカンエロドッグ

//<0031> ゼウス
<0031> ゼウス

//<0032> 日向markⅡ
<0032> 日向markⅡ

//<0033> 糞虫
<0033> 糞虫

//<0034> 量産型日向
<0034> 量産型日向

//<0035> ？？
<0035> ？？

//<0036> 「カミモホトケモテンシモナシ」
<0036> 「カミモホトケモテンシモナシ」

//<0037> se_key_open
<0037> se_key_open

//<0038> がちゃり、と解錠される音を確認してから、中に入る。
<0038> がちゃり、と解錠される音を確認してから、中に入る。

//<0039> se_wooddoor_open3
<0039> se_wooddoor_open3
{0fdf} 0a // 0039

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> ゆりだけが居た。
<0045> ゆりだけが居た。

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> ゆり
<0051> ゆり

//<0052> 女生徒
<0052> 女生徒

//<0053> ？？
<0053> ？？

//<0054> 「あら、ふたりしてどうしたのかしら？」
<0054> 「あら、ふたりしてどうしたのかしら？」

//<0055> 音無
<0055> 音無

//<0056> クソ坊主
<0056> クソ坊主

//<0057> 代理人
<0057> 代理人

//<0058> 微妙すぎるイケメン
<0058> 微妙すぎるイケメン

//<0059> ロリコン
<0059> ロリコン

//<0060> メガネ仲間
<0060> メガネ仲間

//<0061> 暗算日本記録保持者
<0061> 暗算日本記録保持者

//<0062> 通り魔
<0062> 通り魔

//<0063> 記憶ナシ男
<0063> 記憶ナシ男

//<0064> 音速
<0064> 音速

//<0065> 無限
<0065> 無限

//<0066> エロ侍
<0066> エロ侍

//<0067> エロエロ団ナンバー１
<0067> エロエロ団ナンバー１

//<0068> ただのエロ少年
<0068> ただのエロ少年

//<0069> ユリブサイク
<0069> ユリブサイク

//<0070> ドピュッシー
<0070> ドピュッシー

//<0071> アメリカンエロドッグ
<0071> アメリカンエロドッグ

//<0072> ゼウス
<0072> ゼウス

//<0073> 日向markⅡ
<0073> 日向markⅡ

//<0074> 糞虫
<0074> 糞虫

//<0075> 量産型日向
<0075> 量産型日向

//<0076> ？？
<0076> ？？

//<0077> 「ええと…」
<0077> 「ええと…」

//<0078> 質問がある
<0078> 質問がある

//<0079> お前に会いに来ただけ
<0079> お前に会いに来ただけ

//<0080> 俺たちの仲の良さを見せつけにきた
<0080> 俺たちの仲の良さを見せつけにきた

//<0081> selbtn : 
<0081> selbtn : 

//<0082> 音無
<0082> 音無

//<0083> クソ坊主
<0083> クソ坊主

//<0084> 代理人
<0084> 代理人

//<0085> 微妙すぎるイケメン
<0085> 微妙すぎるイケメン

//<0086> ロリコン
<0086> ロリコン

//<0087> メガネ仲間
<0087> メガネ仲間

//<0088> 暗算日本記録保持者
<0088> 暗算日本記録保持者

//<0089> 通り魔
<0089> 通り魔

//<0090> 記憶ナシ男
<0090> 記憶ナシ男

//<0091> 音速
<0091> 音速

//<0092> 無限
<0092> 無限

//<0093> エロ侍
<0093> エロ侍

//<0094> エロエロ団ナンバー１
<0094> エロエロ団ナンバー１

//<0095> ただのエロ少年
<0095> ただのエロ少年

//<0096> ユリブサイク
<0096> ユリブサイク

//<0097> ドピュッシー
<0097> ドピュッシー

//<0098> アメリカンエロドッグ
<0098> アメリカンエロドッグ

//<0099> ゼウス
<0099> ゼウス

//<0100> 日向markⅡ
<0100> 日向markⅡ

//<0101> 糞虫
<0101> 糞虫

//<0102> 量産型日向
<0102> 量産型日向

//<0103> ？？
<0103> ？？

//<0104> 「ああ、質問があるんだ」
<0104> 「ああ、質問があるんだ」

//<0105> 音無
<0105> 音無

//<0106> クソ坊主
<0106> クソ坊主

//<0107> 代理人
<0107> 代理人

//<0108> 微妙すぎるイケメン
<0108> 微妙すぎるイケメン

//<0109> ロリコン
<0109> ロリコン

//<0110> メガネ仲間
<0110> メガネ仲間

//<0111> 暗算日本記録保持者
<0111> 暗算日本記録保持者

//<0112> 通り魔
<0112> 通り魔

//<0113> 記憶ナシ男
<0113> 記憶ナシ男

//<0114> 音速
<0114> 音速

//<0115> 無限
<0115> 無限

//<0116> エロ侍
<0116> エロ侍

//<0117> エロエロ団ナンバー１
<0117> エロエロ団ナンバー１

//<0118> ただのエロ少年
<0118> ただのエロ少年

//<0119> ユリブサイク
<0119> ユリブサイク

//<0120> ドピュッシー
<0120> ドピュッシー

//<0121> アメリカンエロドッグ
<0121> アメリカンエロドッグ

//<0122> ゼウス
<0122> ゼウス

//<0123> 日向markⅡ
<0123> 日向markⅡ

//<0124> 糞虫
<0124> 糞虫

//<0125> 量産型日向
<0125> 量産型日向

//<0126> ？？
<0126> ？？

//<0127> 「俺たちの仲の良さを見せつけにきた」
<0127> 「俺たちの仲の良さを見せつけにきた」

//<0128> nothing
<0128> nothing

//<0129> nothing
<0129> nothing

//<0130> nothing
<0130> nothing

//<0131> nothing
<0131> nothing

//<0132> nothing
<0132> nothing

//<0133> ゆり
<0133> ゆり

//<0134> 女生徒
<0134> 女生徒

//<0135> ？？
<0135> ？？

//<0136> 「は？」
<0136> 「は？」

//<0137> 俺が日向の右肩の上に左肘をのせ、右手を腰につけながら二人そろってゆっくりお辞儀した。
<0137> 俺が日向の右肩の上に左肘をのせ、右手を腰につけながら二人そろってゆっくりお辞儀した。

//<0138> 息を合わせてくれた日向に感服する。
<0138> 息を合わせてくれた日向に感服する。

//<0139> nothing
<0139> nothing

//<0140> nothing
<0140> nothing

//<0141> nothing
<0141> nothing

//<0142> nothing
<0142> nothing

//<0143> nothing
<0143> nothing

//<0144> ゆり
<0144> ゆり

//<0145> 女生徒
<0145> 女生徒

//<0146> ？？
<0146> ？？

//<0147> 「ＣＯＷＣＯＷーーーー！！」
<0147> 「ＣＯＷＣＯＷーーーー！！」

//<0148> 日向
<0148> 日向

//<0149> 男Ｂ
<0149> 男Ｂ

//<0150> エロエロ団総帥
<0150> エロエロ団総帥

//<0151> イケチン
<0151> イケチン

//<0152> ホモ太
<0152> ホモ太

//<0153> ひなチン
<0153> ひなチン

//<0154> 秀樹
<0154> 秀樹

//<0155> 男子生徒
<0155> 男子生徒

//<0156> ？？
<0156> ？？

//<0157> 「え？　何？　かうかう…？」
<0157> 「え？　何？　かうかう…？」

//<0158> 音無
<0158> 音無

//<0159> クソ坊主
<0159> クソ坊主

//<0160> 代理人
<0160> 代理人

//<0161> 微妙すぎるイケメン
<0161> 微妙すぎるイケメン

//<0162> ロリコン
<0162> ロリコン

//<0163> メガネ仲間
<0163> メガネ仲間

//<0164> 暗算日本記録保持者
<0164> 暗算日本記録保持者

//<0165> 通り魔
<0165> 通り魔

//<0166> 記憶ナシ男
<0166> 記憶ナシ男

//<0167> 音速
<0167> 音速

//<0168> 無限
<0168> 無限

//<0169> エロ侍
<0169> エロ侍

//<0170> エロエロ団ナンバー１
<0170> エロエロ団ナンバー１

//<0171> ただのエロ少年
<0171> ただのエロ少年

//<0172> ユリブサイク
<0172> ユリブサイク

//<0173> ドピュッシー
<0173> ドピュッシー

//<0174> アメリカンエロドッグ
<0174> アメリカンエロドッグ

//<0175> ゼウス
<0175> ゼウス

//<0176> 日向markⅡ
<0176> 日向markⅡ

//<0177> 糞虫
<0177> 糞虫

//<0178> 量産型日向
<0178> 量産型日向

//<0179> ？？
<0179> ？？

//<0180> （知らずに出来たのか…すごいな、日向…）
<0180> （知らずに出来たのか…すごいな、日向…）

//<0181> nothing
<0181> nothing

//<0182> nothing
<0182> nothing

//<0183> nothing
<0183> nothing

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> ゆり
<0186> ゆり

//<0187> 女生徒
<0187> 女生徒

//<0188> ？？
<0188> ？？

//<0189> 「とにかく、仲がいいのはわかったわ。他に用は？」
<0189> 「とにかく、仲がいいのはわかったわ。他に用は？」

//<0190> 音無
<0190> 音無

//<0191> クソ坊主
<0191> クソ坊主

//<0192> 代理人
<0192> 代理人

//<0193> 微妙すぎるイケメン
<0193> 微妙すぎるイケメン

//<0194> ロリコン
<0194> ロリコン

//<0195> メガネ仲間
<0195> メガネ仲間

//<0196> 暗算日本記録保持者
<0196> 暗算日本記録保持者

//<0197> 通り魔
<0197> 通り魔

//<0198> 記憶ナシ男
<0198> 記憶ナシ男

//<0199> 音速
<0199> 音速

//<0200> 無限
<0200> 無限

//<0201> エロ侍
<0201> エロ侍

//<0202> エロエロ団ナンバー１
<0202> エロエロ団ナンバー１

//<0203> ただのエロ少年
<0203> ただのエロ少年

//<0204> ユリブサイク
<0204> ユリブサイク

//<0205> ドピュッシー
<0205> ドピュッシー

//<0206> アメリカンエロドッグ
<0206> アメリカンエロドッグ

//<0207> ゼウス
<0207> ゼウス

//<0208> 日向markⅡ
<0208> 日向markⅡ

//<0209> 糞虫
<0209> 糞虫

//<0210> 量産型日向
<0210> 量産型日向

//<0211> ？？
<0211> ？？

//<0212> 「特にない」
<0212> 「特にない」

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> nothing
<0215> nothing

//<0216> nothing
<0216> nothing

//<0217> nothing
<0217> nothing

//<0218> 日向
<0218> 日向

//<0219> 男Ｂ
<0219> 男Ｂ

//<0220> エロエロ団総帥
<0220> エロエロ団総帥

//<0221> イケチン
<0221> イケチン

//<0222> ホモ太
<0222> ホモ太

//<0223> ひなチン
<0223> ひなチン

//<0224> 秀樹
<0224> 秀樹

//<0225> 男子生徒
<0225> 男子生徒

//<0226> ？？
<0226> ？？

//<0227> 「え？　もういいの！？」
<0227> 「え？　もういいの！？」

//<0228> 音無
<0228> 音無

//<0229> クソ坊主
<0229> クソ坊主

//<0230> 代理人
<0230> 代理人

//<0231> 微妙すぎるイケメン
<0231> 微妙すぎるイケメン

//<0232> ロリコン
<0232> ロリコン

//<0233> メガネ仲間
<0233> メガネ仲間

//<0234> 暗算日本記録保持者
<0234> 暗算日本記録保持者

//<0235> 通り魔
<0235> 通り魔

//<0236> 記憶ナシ男
<0236> 記憶ナシ男

//<0237> 音速
<0237> 音速

//<0238> 無限
<0238> 無限

//<0239> エロ侍
<0239> エロ侍

//<0240> エロエロ団ナンバー１
<0240> エロエロ団ナンバー１

//<0241> ただのエロ少年
<0241> ただのエロ少年

//<0242> ユリブサイク
<0242> ユリブサイク

//<0243> ドピュッシー
<0243> ドピュッシー

//<0244> アメリカンエロドッグ
<0244> アメリカンエロドッグ

//<0245> ゼウス
<0245> ゼウス

//<0246> 日向markⅡ
<0246> 日向markⅡ

//<0247> 糞虫
<0247> 糞虫

//<0248> 量産型日向
<0248> 量産型日向

//<0249> ？？
<0249> ？？

//<0250> 「ああ。目的は済んだ」
<0250> 「ああ。目的は済んだ」

//<0251> nothing
<0251> nothing

//<0252> nothing
<0252> nothing

//<0253> nothing
<0253> nothing

//<0254> nothing
<0254> nothing

//<0255> nothing
<0255> nothing

//<0256> ゆり
<0256> ゆり

//<0257> 女生徒
<0257> 女生徒

//<0258> ？？
<0258> ？？

//<0259> 「二度とこんな用で来ないでね」
<0259> 「二度とこんな用で来ないでね」

//<0260> nothing
<0260> nothing

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> nothing
<0263> nothing

//<0264> nothing
<0264> nothing

//<0265> 日向
<0265> 日向

//<0266> 男Ｂ
<0266> 男Ｂ

//<0267> エロエロ団総帥
<0267> エロエロ団総帥

//<0268> イケチン
<0268> イケチン

//<0269> ホモ太
<0269> ホモ太

//<0270> ひなチン
<0270> ひなチン

//<0271> 秀樹
<0271> 秀樹

//<0272> 男子生徒
<0272> 男子生徒

//<0273> ？？
<0273> ？？

//<0274> 「まったくだぜ…」
<0274> 「まったくだぜ…」

//<0275> 理解は得られなかったかもしれないけど、俺は満足だ。
<0275> 理解は得られなかったかもしれないけど、俺は満足だ。

//<0276> 充実感を抱きながら、退室した。
<0276> 充実感を抱きながら、退室した。

//<0277> nothing
<0277> nothing

//<0278> nothing
<0278> nothing

//<0279> nothing
<0279> nothing

//<0280> nothing
<0280> nothing

//<0281> nothing
<0281> nothing

//<0282> ゆり
<0282> ゆり

//<0283> 女生徒
<0283> 女生徒

//<0284> ？？
<0284> ？？

//<0285> 「あら、クソ坊主くん。まだ、質問かしら？」
<0285> 「あら、クソ坊主くん。まだ、質問かしら？」

//<0286> ゆり
<0286> ゆり

//<0287> 女生徒
<0287> 女生徒

//<0288> ？？
<0288> ？？

//<0289> 「あら、代理人。まだ、質問かしら？」
<0289> 「あら、代理人。まだ、質問かしら？」

//<0290> ゆり
<0290> ゆり

//<0291> 女生徒
<0291> 女生徒

//<0292> ？？
<0292> ？？

//<0293> 「あら、微妙すぎるイケメンさん。まだ、質問かしら？」
<0293> 「あら、微妙すぎるイケメンさん。まだ、質問かしら？」

//<0294> ゆり
<0294> ゆり

//<0295> 女生徒
<0295> 女生徒

//<0296> ？？
<0296> ？？

//<0297> 「あら、ロリコンくん。まだ、質問かしら？」
<0297> 「あら、ロリコンくん。まだ、質問かしら？」

//<0298> ゆり
<0298> ゆり

//<0299> 女生徒
<0299> 女生徒

//<0300> ？？
<0300> ？？

//<0301> 「あら、メガネ仲間くん。まだ、質問かしら？」
<0301> 「あら、メガネ仲間くん。まだ、質問かしら？」

//<0302> ゆり
<0302> ゆり

//<0303> 女生徒
<0303> 女生徒

//<0304> ？？
<0304> ？？

//<0305> 「あら、暗算日本記録保持者さん。まだ、質問かしら？」
<0305> 「あら、暗算日本記録保持者さん。まだ、質問かしら？」

//<0306> ゆり
<0306> ゆり

//<0307> 女生徒
<0307> 女生徒

//<0308> ？？
<0308> ？？

//<0309> 「あら、通り魔くん。まだ、質問かしら？」
<0309> 「あら、通り魔くん。まだ、質問かしら？」

//<0310> ゆり
<0310> ゆり

//<0311> 女生徒
<0311> 女生徒

//<0312> ？？
<0312> ？？

//<0313> 「あら、記憶ナシ男くん。まだ、質問かしら？」
<0313> 「あら、記憶ナシ男くん。まだ、質問かしら？」

//<0314> ゆり
<0314> ゆり

//<0315> 女生徒
<0315> 女生徒

//<0316> ？？
<0316> ？？

//<0317> 「あら、音速くん。まだ、質問かしら？」
<0317> 「あら、音速くん。まだ、質問かしら？」

//<0318> ゆり
<0318> ゆり

//<0319> 女生徒
<0319> 女生徒

//<0320> ？？
<0320> ？？

//<0321> 「あら、音無くん。まだ、質問かしら？」
<0321> 「あら、音無くん。まだ、質問かしら？」

//<0322> ゆり
<0322> ゆり

//<0323> 女生徒
<0323> 女生徒

//<0324> ？？
<0324> ？？

//<0325> 「あら、無限くん。まだ、質問かしら？」
<0325> 「あら、無限くん。まだ、質問かしら？」

//<0326> ああ、まだ質問がある
<0326> ああ、まだ質問がある

//<0327> お前に会いに来ただけ
<0327> お前に会いに来ただけ

//<0328> selbtn : 
<0328> selbtn : 

//<0329> nothing
<0329> nothing

//<0330> nothing
<0330> nothing

//<0331> nothing
<0331> nothing

//<0332> nothing
<0332> nothing

//<0333> nothing
<0333> nothing

//<0334> ゆり
<0334> ゆり

//<0335> 女生徒
<0335> 女生徒

