// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりか…。
<0000> ゆりか…。

//<0001> それはもちろん会いたい…。
<0001> それはもちろん会いたい…。

//<0002> でも、夕べの出来事を踏まえて、今の俺がひょこひょこ会いに行っていいものだろうか…。
<0002> でも、夕べの出来事を踏まえて、今の俺がひょこひょこ会いに行っていいものだろうか…。

//<0003> 果たして、本人を前に、俺は冷静な姿をキープし続けられるのだろうか…。
<0003> 果たして、本人を前に、俺は冷静な姿をキープし続けられるのだろうか…。

//<0004> 行く
<0004> 行く

//<0005> やめておく
<0005> やめておく

//<0006> selbtn : 
<0006> selbtn : 

//<0007> 今の俺は一対一でゆりを前にしたら、どんな行動にでるかわからない…。
<0007> 今の俺は一対一でゆりを前にしたら、どんな行動にでるかわからない…。

//<0008> やめておこう…。
<0008> やめておこう…。

//<0009> 音無
<0009> 音無

//<0010> クソ坊主
<0010> クソ坊主

//<0011> 代理人
<0011> 代理人

//<0012> 微妙すぎるイケメン
<0012> 微妙すぎるイケメン

//<0013> ロリコン
<0013> ロリコン

//<0014> メガネ仲間
<0014> メガネ仲間

//<0015> 暗算日本記録保持者
<0015> 暗算日本記録保持者

//<0016> 通り魔
<0016> 通り魔

//<0017> 記憶ナシ男
<0017> 記憶ナシ男

//<0018> 音速
<0018> 音速

//<0019> 無限
<0019> 無限

//<0020> エロ侍
<0020> エロ侍

//<0021> エロエロ団ナンバー１
<0021> エロエロ団ナンバー１

//<0022> ただのエロ少年
<0022> ただのエロ少年

//<0023> ユリブサイク
<0023> ユリブサイク

//<0024> ドピュッシー
<0024> ドピュッシー

//<0025> アメリカンエロドッグ
<0025> アメリカンエロドッグ

//<0026> ゼウス
<0026> ゼウス

//<0027> 日向markⅡ
<0027> 日向markⅡ

//<0028> 糞虫
<0028> 糞虫

//<0029> 量産型日向
<0029> 量産型日向

//<0030> ？？
<0030> ？？

//<0031> （昨日は、脱ぎ立てのパンツでさえも、拒んだ俺だ…会っても大丈夫なはず！！）
<0031> （昨日は、脱ぎ立てのパンツでさえも、拒んだ俺だ…会っても大丈夫なはず！！）

//<0032> 音無
<0032> 音無

//<0033> クソ坊主
<0033> クソ坊主

//<0034> 代理人
<0034> 代理人

//<0035> 微妙すぎるイケメン
<0035> 微妙すぎるイケメン

//<0036> ロリコン
<0036> ロリコン

//<0037> メガネ仲間
<0037> メガネ仲間

//<0038> 暗算日本記録保持者
<0038> 暗算日本記録保持者

//<0039> 通り魔
<0039> 通り魔

//<0040> 記憶ナシ男
<0040> 記憶ナシ男

//<0041> 音速
<0041> 音速

//<0042> 無限
<0042> 無限

//<0043> エロ侍
<0043> エロ侍

//<0044> エロエロ団ナンバー１
<0044> エロエロ団ナンバー１

//<0045> ただのエロ少年
<0045> ただのエロ少年

//<0046> ユリブサイク
<0046> ユリブサイク

//<0047> ドピュッシー
<0047> ドピュッシー

//<0048> アメリカンエロドッグ
<0048> アメリカンエロドッグ

//<0049> ゼウス
<0049> ゼウス

//<0050> 日向markⅡ
<0050> 日向markⅡ

//<0051> 糞虫
<0051> 糞虫

//<0052> 量産型日向
<0052> 量産型日向

//<0053> ？？
<0053> ？？

//<0054> （昨日は堪えた…今日は大丈夫）
<0054> （昨日は堪えた…今日は大丈夫）

//<0055> 音無
<0055> 音無

//<0056> クソ坊主
<0056> クソ坊主

//<0057> 代理人
<0057> 代理人

//<0058> 微妙すぎるイケメン
<0058> 微妙すぎるイケメン

//<0059> ロリコン
<0059> ロリコン

//<0060> メガネ仲間
<0060> メガネ仲間

//<0061> 暗算日本記録保持者
<0061> 暗算日本記録保持者

//<0062> 通り魔
<0062> 通り魔

//<0063> 記憶ナシ男
<0063> 記憶ナシ男

//<0064> 音速
<0064> 音速

//<0065> 無限
<0065> 無限

//<0066> エロ侍
<0066> エロ侍

//<0067> エロエロ団ナンバー１
<0067> エロエロ団ナンバー１

//<0068> ただのエロ少年
<0068> ただのエロ少年

//<0069> ユリブサイク
<0069> ユリブサイク

//<0070> ドピュッシー
<0070> ドピュッシー

//<0071> アメリカンエロドッグ
<0071> アメリカンエロドッグ

//<0072> ゼウス
<0072> ゼウス

//<0073> 日向markⅡ
<0073> 日向markⅡ

//<0074> 糞虫
<0074> 糞虫

//<0075> 量産型日向
<0075> 量産型日向

//<0076> ？？
<0076> ？？

//<0077> （なはず…）
<0077> （なはず…）

//<0078> 音無
<0078> 音無

//<0079> クソ坊主
<0079> クソ坊主

//<0080> 代理人
<0080> 代理人

//<0081> 微妙すぎるイケメン
<0081> 微妙すぎるイケメン

//<0082> ロリコン
<0082> ロリコン

//<0083> メガネ仲間
<0083> メガネ仲間

//<0084> 暗算日本記録保持者
<0084> 暗算日本記録保持者

//<0085> 通り魔
<0085> 通り魔

//<0086> 記憶ナシ男
<0086> 記憶ナシ男

//<0087> 音速
<0087> 音速

//<0088> 無限
<0088> 無限

//<0089> エロ侍
<0089> エロ侍

//<0090> エロエロ団ナンバー１
<0090> エロエロ団ナンバー１

//<0091> ただのエロ少年
<0091> ただのエロ少年

//<0092> ユリブサイク
<0092> ユリブサイク

//<0093> ドピュッシー
<0093> ドピュッシー

//<0094> アメリカンエロドッグ
<0094> アメリカンエロドッグ

//<0095> ゼウス
<0095> ゼウス

//<0096> 日向markⅡ
<0096> 日向markⅡ

//<0097> 糞虫
<0097> 糞虫

//<0098> 量産型日向
<0098> 量産型日向

//<0099> ？？
<0099> ？？

//<0100> 「カミモホトケモテンシモナシ」
<0100> 「カミモホトケモテンシモナシ」

//<0101> se_key_open
<0101> se_key_open

//<0102> がちゃり、と解錠される音を確認してから、中に入る。
<0102> がちゃり、と解錠される音を確認してから、中に入る。

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> 音無
<0108> 音無

//<0109> クソ坊主
<0109> クソ坊主

//<0110> 代理人
<0110> 代理人

//<0111> 微妙すぎるイケメン
<0111> 微妙すぎるイケメン

//<0112> ロリコン
<0112> ロリコン

//<0113> メガネ仲間
<0113> メガネ仲間

//<0114> 暗算日本記録保持者
<0114> 暗算日本記録保持者

//<0115> 通り魔
<0115> 通り魔

//<0116> 記憶ナシ男
<0116> 記憶ナシ男

//<0117> 音速
<0117> 音速

//<0118> 無限
<0118> 無限

//<0119> エロ侍
<0119> エロ侍

//<0120> エロエロ団ナンバー１
<0120> エロエロ団ナンバー１

//<0121> ただのエロ少年
<0121> ただのエロ少年

//<0122> ユリブサイク
<0122> ユリブサイク

//<0123> ドピュッシー
<0123> ドピュッシー

//<0124> アメリカンエロドッグ
<0124> アメリカンエロドッグ

//<0125> ゼウス
<0125> ゼウス

//<0126> 日向markⅡ
<0126> 日向markⅡ

//<0127> 糞虫
<0127> 糞虫

//<0128> 量産型日向
<0128> 量産型日向

//<0129> ？？
<0129> ？？

//<0130> 「くっそ！　やっぱ生ゆりは強烈だーー！！」
<0130> 「くっそ！　やっぱ生ゆりは強烈だーー！！」

//<0131> nothing
<0131> nothing

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> nothing
<0134> nothing

//<0135> nothing
<0135> nothing

//<0136> nothing
<0136> nothing

//<0137> 後光が差しているように見え、思わず顔を反らしてしまう。
<0137> 後光が差しているように見え、思わず顔を反らしてしまう。

//<0138> ゆり
<0138> ゆり

//<0139> 女生徒
<0139> 女生徒

//<0140> ？？
<0140> ？？

//<0141> 「生ゆり？　その呼称はなに？　そもそも死んでるので、生でもないんですけど」
<0141> 「生ゆり？　その呼称はなに？　そもそも死んでるので、生でもないんですけど」

//<0142> nothing
<0142> nothing

//<0143> nothing
<0143> nothing

//<0144> nothing
<0144> nothing

//<0145> nothing
<0145> nothing

//<0146> nothing
<0146> nothing

//<0147> 音無
<0147> 音無

//<0148> クソ坊主
<0148> クソ坊主

//<0149> 代理人
<0149> 代理人

//<0150> 微妙すぎるイケメン
<0150> 微妙すぎるイケメン

//<0151> ロリコン
<0151> ロリコン

//<0152> メガネ仲間
<0152> メガネ仲間

//<0153> 暗算日本記録保持者
<0153> 暗算日本記録保持者

//<0154> 通り魔
<0154> 通り魔

//<0155> 記憶ナシ男
<0155> 記憶ナシ男

//<0156> 音速
<0156> 音速

//<0157> 無限
<0157> 無限

//<0158> エロ侍
<0158> エロ侍

//<0159> エロエロ団ナンバー１
<0159> エロエロ団ナンバー１

//<0160> ただのエロ少年
<0160> ただのエロ少年

//<0161> ユリブサイク
<0161> ユリブサイク

//<0162> ドピュッシー
<0162> ドピュッシー

//<0163> アメリカンエロドッグ
<0163> アメリカンエロドッグ

//<0164> ゼウス
<0164> ゼウス

//<0165> 日向markⅡ
<0165> 日向markⅡ

//<0166> 糞虫
<0166> 糞虫

//<0167> 量産型日向
<0167> 量産型日向

//<0168> ？？
<0168> ？？

//<0169> 「だよなっ、ははっ…」
<0169> 「だよなっ、ははっ…」

//<0170> 音無
<0170> 音無

//<0171> クソ坊主
<0171> クソ坊主

//<0172> 代理人
<0172> 代理人

//<0173> 微妙すぎるイケメン
<0173> 微妙すぎるイケメン

//<0174> ロリコン
<0174> ロリコン

//<0175> メガネ仲間
<0175> メガネ仲間

//<0176> 暗算日本記録保持者
<0176> 暗算日本記録保持者

//<0177> 通り魔
<0177> 通り魔

//<0178> 記憶ナシ男
<0178> 記憶ナシ男

//<0179> 音速
<0179> 音速

//<0180> 無限
<0180> 無限

//<0181> エロ侍
<0181> エロ侍

//<0182> エロエロ団ナンバー１
<0182> エロエロ団ナンバー１

//<0183> ただのエロ少年
<0183> ただのエロ少年

//<0184> ユリブサイク
<0184> ユリブサイク

//<0185> ドピュッシー
<0185> ドピュッシー

//<0186> アメリカンエロドッグ
<0186> アメリカンエロドッグ

//<0187> ゼウス
<0187> ゼウス

//<0188> 日向markⅡ
<0188> 日向markⅡ

//<0189> 糞虫
<0189> 糞虫

//<0190> 量産型日向
<0190> 量産型日向

//<0191> ？？
<0191> ？？

//<0192> （俺は夕べ、こいつのアレでアレして鼻血ブバったんだ…）
<0192> （俺は夕べ、こいつのアレでアレして鼻血ブバったんだ…）

//<0193> 音無
<0193> 音無

//<0194> クソ坊主
<0194> クソ坊主

//<0195> 代理人
<0195> 代理人

//<0196> 微妙すぎるイケメン
<0196> 微妙すぎるイケメン

//<0197> ロリコン
<0197> ロリコン

//<0198> メガネ仲間
<0198> メガネ仲間

//<0199> 暗算日本記録保持者
<0199> 暗算日本記録保持者

