// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。
<0000> 昨日の作戦で、天使の部屋で見たものがずっと気になっていた。

//<0001> Angel Player
<0001> Angel Player

//<0002> …。
<0002> …。

//<0003> ゆりも、あれを見て何かに気づいたようだった。
<0003> ゆりも、あれを見て何かに気づいたようだった。

//<0004> でも、確証が持てないでいたから、作戦終了後も詳しいことを語らなかった。
<0004> でも、確証が持てないでいたから、作戦終了後も詳しいことを語らなかった。

//<0005> 天使なら、どうして神から力を授からないのか。
<0005> 天使なら、どうして神から力を授からないのか。

//<0006> どうして
<0006> どうして

//<0007> Angel Player
<0007> Angel Player

//<0008> というアプリケーションを使って自作する必要があるのか。
<0008> というアプリケーションを使って自作する必要があるのか。

//<0009> ゆりと俺は同じことを考えている。
<0009> ゆりと俺は同じことを考えている。

//<0010> 音無
<0010> 音無

//<0011> クソ坊主
<0011> クソ坊主

//<0012> 代理人
<0012> 代理人

//<0013> 微妙すぎるイケメン
<0013> 微妙すぎるイケメン

//<0014> ロリコン
<0014> ロリコン

//<0015> メガネ仲間
<0015> メガネ仲間

//<0016> 暗算日本記録保持者
<0016> 暗算日本記録保持者

//<0017> 通り魔
<0017> 通り魔

//<0018> 記憶ナシ男
<0018> 記憶ナシ男

//<0019> 音速
<0019> 音速

//<0020> 無限
<0020> 無限

//<0021> エロ侍
<0021> エロ侍

//<0022> エロエロ団ナンバー１
<0022> エロエロ団ナンバー１

//<0023> ただのエロ少年
<0023> ただのエロ少年

//<0024> ユリブサイク
<0024> ユリブサイク

//<0025> ドピュッシー
<0025> ドピュッシー

//<0026> アメリカンエロドッグ
<0026> アメリカンエロドッグ

//<0027> ゼウス
<0027> ゼウス

//<0028> 日向markⅡ
<0028> 日向markⅡ

//<0029> 糞虫
<0029> 糞虫

//<0030> 量産型日向
<0030> 量産型日向

//<0031> ？？
<0031> ？？

//<0032> 「カミモホトケモテンシモナシ」
<0032> 「カミモホトケモテンシモナシ」

//<0033> se_key_open
<0033> se_key_open

//<0034> 本部のドアがかちゃりと音を立てて、鍵が外される。
<0034> 本部のドアがかちゃりと音を立てて、鍵が外される。

//<0035> 中に入る。
<0035> 中に入る。

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> ゆりがひとりで居た。
<0041> ゆりがひとりで居た。

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> ゆり
<0047> ゆり

//<0048> 女生徒
<0048> 女生徒

//<0049> ？？
<0049> ？？

//<0050> 「あら、音無くん。どうしたの？」
<0050> 「あら、音無くん。どうしたの？」

//<0051> 音無
<0051> 音無

//<0052> クソ坊主
<0052> クソ坊主

//<0053> 代理人
<0053> 代理人

//<0054> 微妙すぎるイケメン
<0054> 微妙すぎるイケメン

//<0055> ロリコン
<0055> ロリコン

//<0056> メガネ仲間
<0056> メガネ仲間

//<0057> 暗算日本記録保持者
<0057> 暗算日本記録保持者

//<0058> 通り魔
<0058> 通り魔

//<0059> 記憶ナシ男
<0059> 記憶ナシ男

//<0060> 音速
<0060> 音速

//<0061> 無限
<0061> 無限

//<0062> エロ侍
<0062> エロ侍

//<0063> エロエロ団ナンバー１
<0063> エロエロ団ナンバー１

//<0064> ただのエロ少年
<0064> ただのエロ少年

//<0065> ユリブサイク
<0065> ユリブサイク

//<0066> ドピュッシー
<0066> ドピュッシー

//<0067> アメリカンエロドッグ
<0067> アメリカンエロドッグ

//<0068> ゼウス
<0068> ゼウス

//<0069> 日向markⅡ
<0069> 日向markⅡ

//<0070> 糞虫
<0070> 糞虫

//<0071> 量産型日向
<0071> 量産型日向

//<0072> ？？
<0072> ？？

//<0073> 「昨日の作戦のことで訊きたいことがある」
<0073> 「昨日の作戦のことで訊きたいことがある」

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> nothing
<0077> nothing

//<0078> nothing
<0078> nothing

//<0079> ゆり
<0079> ゆり

//<0080> 女生徒
<0080> 女生徒

//<0081> ？？
<0081> ？？

//<0082> 「へぇ、なに？」
<0082> 「へぇ、なに？」

//<0083> 音無
<0083> 音無

//<0084> クソ坊主
<0084> クソ坊主

//<0085> 代理人
<0085> 代理人

//<0086> 微妙すぎるイケメン
<0086> 微妙すぎるイケメン

//<0087> ロリコン
<0087> ロリコン

//<0088> メガネ仲間
<0088> メガネ仲間

//<0089> 暗算日本記録保持者
<0089> 暗算日本記録保持者

//<0090> 通り魔
<0090> 通り魔

//<0091> 記憶ナシ男
<0091> 記憶ナシ男

//<0092> 音速
<0092> 音速

//<0093> 無限
<0093> 無限

//<0094> エロ侍
<0094> エロ侍

//<0095> エロエロ団ナンバー１
<0095> エロエロ団ナンバー１

//<0096> ただのエロ少年
<0096> ただのエロ少年

//<0097> ユリブサイク
<0097> ユリブサイク

//<0098> ドピュッシー
<0098> ドピュッシー

//<0099> アメリカンエロドッグ
<0099> アメリカンエロドッグ

//<0100> ゼウス
<0100> ゼウス

//<0101> 日向markⅡ
<0101> 日向markⅡ

//<0102> 糞虫
<0102> 糞虫

//<0103> 量産型日向
<0103> 量産型日向

//<0104> ？？
<0104> ？？

//<0105> 「昨日見た、天使の部屋のパソコン…」
<0105> 「昨日見た、天使の部屋のパソコン…」

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> ゆり
<0111> ゆり

//<0112> 女生徒
<0112> 女生徒

//<0113> ？？
<0113> ？？

//<0114> 「それが？」
<0114> 「それが？」

//<0115> 音無
<0115> 音無

//<0116> クソ坊主
<0116> クソ坊主

//<0117> 代理人
<0117> 代理人

//<0118> 微妙すぎるイケメン
<0118> 微妙すぎるイケメン

//<0119> ロリコン
<0119> ロリコン

//<0120> メガネ仲間
<0120> メガネ仲間

//<0121> 暗算日本記録保持者
<0121> 暗算日本記録保持者

//<0122> 通り魔
<0122> 通り魔

//<0123> 記憶ナシ男
<0123> 記憶ナシ男

//<0124> 音速
<0124> 音速

//<0125> 無限
<0125> 無限

//<0126> エロ侍
<0126> エロ侍

//<0127> エロエロ団ナンバー１
<0127> エロエロ団ナンバー１

//<0128> ただのエロ少年
<0128> ただのエロ少年

//<0129> ユリブサイク
<0129> ユリブサイク

//<0130> ドピュッシー
<0130> ドピュッシー

//<0131> アメリカンエロドッグ
<0131> アメリカンエロドッグ

//<0132> ゼウス
<0132> ゼウス

//<0133> 日向markⅡ
<0133> 日向markⅡ

//<0134> 糞虫
<0134> 糞虫

//<0135> 量産型日向
<0135> 量産型日向

//<0136> ？？
<0136> ？？

//<0137> 「モニターに映し出された画面…あれはなんなんだ？」
<0137> 「モニターに映し出された画面…あれはなんなんだ？」

//<0138> nothing
<0138> nothing

//<0139> nothing
<0139> nothing

//<0140> nothing
<0140> nothing

//<0141> nothing
<0141> nothing

//<0142> nothing
<0142> nothing

//<0143> ゆり
<0143> ゆり

//<0144> 女生徒
<0144> 女生徒

//<0145> ？？
<0145> ？？

//<0146> 「ふーん…」
<0146> 「ふーん…」

//<0147> nothing
<0147> nothing

//<0148> nothing
<0148> nothing

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> ゆり
<0152> ゆり

//<0153> 女生徒
<0153> 女生徒

//<0154> ？？
<0154> ？？

//<0155> 「まずは音無くん。あなたは、なんだと思ってるの？」
<0155> 「まずは音無くん。あなたは、なんだと思ってるの？」

//<0156> 逆に訊き返される。
<0156> 逆に訊き返される。

//<0157> 神とのコンタクト
<0157> 神とのコンタクト

//<0158> 天使の特殊能力
<0158> 天使の特殊能力

//<0159> パソコンゲーム
<0159> パソコンゲーム

//<0160> selbtn : 
<0160> selbtn : 

//<0161> 音無
<0161> 音無

//<0162> クソ坊主
<0162> クソ坊主

//<0163> 代理人
<0163> 代理人

//<0164> 微妙すぎるイケメン
<0164> 微妙すぎるイケメン

//<0165> ロリコン
<0165> ロリコン

//<0166> メガネ仲間
<0166> メガネ仲間

//<0167> 暗算日本記録保持者
<0167> 暗算日本記録保持者

//<0168> 通り魔
<0168> 通り魔

//<0169> 記憶ナシ男
<0169> 記憶ナシ男

//<0170> 音速
<0170> 音速

//<0171> 無限
<0171> 無限

//<0172> エロ侍
<0172> エロ侍

//<0173> エロエロ団ナンバー１
<0173> エロエロ団ナンバー１

//<0174> ただのエロ少年
<0174> ただのエロ少年

//<0175> ユリブサイク
<0175> ユリブサイク

//<0176> ドピュッシー
<0176> ドピュッシー

//<0177> アメリカンエロドッグ
<0177> アメリカンエロドッグ

//<0178> ゼウス
<0178> ゼウス

//<0179> 日向markⅡ
<0179> 日向markⅡ

//<0180> 糞虫
<0180> 糞虫

//<0181> 量産型日向
<0181> 量産型日向

//<0182> ？？
<0182> ？？

//<0183> 「恐らくだが…神とのコンタクト」
<0183> 「恐らくだが…神とのコンタクト」

//<0184> nothing
<0184> nothing

//<0185> nothing
<0185> nothing

//<0186> nothing
<0186> nothing

//<0187> nothing
<0187> nothing

//<0188> nothing
<0188> nothing

//<0189> ゆり
<0189> ゆり

//<0190> 女生徒
<0190> 女生徒

//<0191> ？？
<0191> ？？

//<0192> 「へぇー。それは新しい見解ね」
<0192> 「へぇー。それは新しい見解ね」

//<0193> 音無
<0193> 音無

//<0194> クソ坊主
<0194> クソ坊主

//<0195> 代理人
<0195> 代理人

//<0196> 微妙すぎるイケメン
<0196> 微妙すぎるイケメン

//<0197> ロリコン
<0197> ロリコン

//<0198> メガネ仲間
<0198> メガネ仲間

//<0199> 暗算日本記録保持者
<0199> 暗算日本記録保持者

//<0200> 通り魔
<0200> 通り魔

//<0201> 記憶ナシ男
<0201> 記憶ナシ男

//<0202> 音速
<0202> 音速

//<0203> 無限
<0203> 無限

//<0204> エロ侍
<0204> エロ侍

//<0205> エロエロ団ナンバー１
<0205> エロエロ団ナンバー１

//<0206> ただのエロ少年
<0206> ただのエロ少年

//<0207> ユリブサイク
<0207> ユリブサイク

//<0208> ドピュッシー
<0208> ドピュッシー

//<0209> アメリカンエロドッグ
<0209> アメリカンエロドッグ

//<0210> ゼウス
<0210> ゼウス

//<0211> 日向markⅡ
<0211> 日向markⅡ

//<0212> 糞虫
<0212> 糞虫

//<0213> 量産型日向
<0213> 量産型日向

//<0214> ？？
<0214> ？？

//<0215> 「ゆりはどう思っているんだ？」
<0215> 「ゆりはどう思っているんだ？」

//<0216> nothing
<0216> nothing

//<0217> nothing
<0217> nothing

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> ゆり
<0221> ゆり

//<0222> 女生徒
<0222> 女生徒

//<0223> ？？
<0223> ？？

//<0224> 「確信がないことは誰にも言えないわ。もし間違っていたら、戦線のみんなを振り回してしまうことになるから」
<0224> 「確信がないことは誰にも言えないわ。もし間違っていたら、戦線のみんなを振り回してしまうことになるから」

//<0225> 俺だけに答えさせて、なんだかずるく思う。
<0225> 俺だけに答えさせて、なんだかずるく思う。

//<0226> ただ、俺の考えとゆりの考えは違っているようだ。
<0226> ただ、俺の考えとゆりの考えは違っているようだ。

//<0227> nothing
<0227> nothing

//<0228> nothing
<0228> nothing

//<0229> nothing
<0229> nothing

//<0230> nothing
<0230> nothing

//<0231> nothing
<0231> nothing

//<0232> ゆり
<0232> ゆり

//<0233> 女生徒
<0233> 女生徒

//<0234> ？？
<0234> ？？

//<0235> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」
<0235> 「あなたはまだまだ新米なんだから、幹部のみんなに追いつくぐらい、体力作りと銃の練習に努めなさい」

//<0236> それ以上は何も話してくれないようだった。
<0236> それ以上は何も話してくれないようだった。

//<0237> 音無
<0237> 音無

//<0238> クソ坊主
<0238> クソ坊主

//<0239> 代理人
<0239> 代理人

//<0240> 微妙すぎるイケメン
<0240> 微妙すぎるイケメン

//<0241> ロリコン
<0241> ロリコン

//<0242> メガネ仲間
<0242> メガネ仲間

//<0243> 暗算日本記録保持者
<0243> 暗算日本記録保持者

//<0244> 通り魔
<0244> 通り魔

//<0245> 記憶ナシ男
<0245> 記憶ナシ男

//<0246> 音速
<0246> 音速

//<0247> 無限
<0247> 無限

//<0248> エロ侍
<0248> エロ侍

//<0249> エロエロ団ナンバー１
<0249> エロエロ団ナンバー１

//<0250> ただのエロ少年
<0250> ただのエロ少年

//<0251> ユリブサイク
<0251> ユリブサイク

//<0252> ドピュッシー
<0252> ドピュッシー

//<0253> アメリカンエロドッグ
<0253> アメリカンエロドッグ

//<0254> ゼウス
<0254> ゼウス

//<0255> 日向markⅡ
<0255> 日向markⅡ

//<0256> 糞虫
<0256> 糞虫

//<0257> 量産型日向
<0257> 量産型日向

//<0258> ？？
<0258> ？？

//<0259> 「パソコンゲーム」
<0259> 「パソコンゲーム」

//<0260> nothing
<0260> nothing

//<0261> nothing
<0261> nothing

//<0262> nothing
<0262> nothing

//<0263> nothing
<0263> nothing

//<0264> nothing
<0264> nothing

//<0265> ゆり
<0265> ゆり

//<0266> 女生徒
<0266> 女生徒

//<0267> ？？
<0267> ？？

//<0268> 「あら？　あたしの勘がここに来て、狂ったのかしら…」
<0268> 「あら？　あたしの勘がここに来て、狂ったのかしら…」

//<0269> どうやら、期待を裏切ったようだ。
<0269> どうやら、期待を裏切ったようだ。

//<0270> 音無
<0270> 音無

//<0271> クソ坊主
<0271> クソ坊主

//<0272> 代理人
<0272> 代理人

//<0273> 微妙すぎるイケメン
<0273> 微妙すぎるイケメン

//<0274> ロリコン
<0274> ロリコン

//<0275> メガネ仲間
<0275> メガネ仲間

//<0276> 暗算日本記録保持者
<0276> 暗算日本記録保持者

//<0277> 通り魔
<0277> 通り魔

//<0278> 記憶ナシ男
<0278> 記憶ナシ男

//<0279> 音速
<0279> 音速

//<0280> 無限
<0280> 無限

//<0281> エロ侍
<0281> エロ侍

//<0282> エロエロ団ナンバー１
<0282> エロエロ団ナンバー１

//<0283> ただのエロ少年
<0283> ただのエロ少年

//<0284> ユリブサイク
<0284> ユリブサイク

//<0285> ドピュッシー
<0285> ドピュッシー

//<0286> アメリカンエロドッグ
<0286> アメリカンエロドッグ

//<0287> ゼウス
<0287> ゼウス

//<0288> 日向markⅡ
<0288> 日向markⅡ

