// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> 
<0001> 

//<0002> 
<0002> 

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 
<0005> 

//<0006> 
<0006> 

//<0007> nothing
<0007> nothing

//<0008> 音無
<0008> 音無

//<0009> クソ坊主
<0009> クソ坊主

//<0010> 代理人
<0010> 代理人

//<0011> 微妙すぎるイケメン
<0011> 微妙すぎるイケメン

//<0012> ロリコン
<0012> ロリコン

//<0013> メガネ仲間
<0013> メガネ仲間

//<0014> 暗算日本記録保持者
<0014> 暗算日本記録保持者

//<0015> 通り魔
<0015> 通り魔

//<0016> 記憶ナシ男
<0016> 記憶ナシ男

//<0017> 音速
<0017> 音速

//<0018> 無限
<0018> 無限

//<0019> エロ侍
<0019> エロ侍

//<0020> エロエロ団ナンバー１
<0020> エロエロ団ナンバー１

//<0021> ただのエロ少年
<0021> ただのエロ少年

//<0022> ユリブサイク
<0022> ユリブサイク

//<0023> ドピュッシー
<0023> ドピュッシー

//<0024> アメリカンエロドッグ
<0024> アメリカンエロドッグ

//<0025> ゼウス
<0025> ゼウス

//<0026> 日向markⅡ
<0026> 日向markⅡ

//<0027> 糞虫
<0027> 糞虫

//<0028> 量産型日向
<0028> 量産型日向

//<0029> ？？
<0029> ？？

//<0030> 「カミモホトケモテンシモナシ」
<0030> 「カミモホトケモテンシモナシ」

//<0031> se_key_open
<0031> se_key_open

//<0032> がちゃり、と解錠される音を確認してから、中に入る。
<0032> がちゃり、と解錠される音を確認してから、中に入る。

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> 
<0039> 

//<0040> 
<0040> 

//<0041> nothing
<0041> nothing

//<0042> ゆり
<0042> ゆり

//<0043> 女生徒
<0043> 女生徒

//<0044> ？？
<0044> ？？
{2b0b} 09 // 0044

//<0045> 「またって…
<0045> 「またって…

//<0046> ええぇぇええぇぇーー！！」
<0046> ええぇぇええぇぇーー！！」

//<0047> 恐らく、俺が犬の格好で現れたので、引いているのだろう…。
<0047> 恐らく、俺が犬の格好で現れたので、引いているのだろう…。

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> 
<0054> 

//<0055> 
<0055> 

//<0056> nothing
<0056> nothing

//<0057> ゆり
<0057> ゆり

//<0058> 女生徒
<0058> 女生徒

//<0059> ？？
<0059> ？？

//<0060> 「それ、今やったんじゃなくて、午前からこの時間まで、ずっとその格好で行動してたの！？」
<0060> 「それ、今やったんじゃなくて、午前からこの時間まで、ずっとその格好で行動してたの！？」

//<0061> 音無
<0061> 音無

//<0062> クソ坊主
<0062> クソ坊主

//<0063> 代理人
<0063> 代理人

//<0064> 微妙すぎるイケメン
<0064> 微妙すぎるイケメン

//<0065> ロリコン
<0065> ロリコン

//<0066> メガネ仲間
<0066> メガネ仲間

//<0067> 暗算日本記録保持者
<0067> 暗算日本記録保持者

//<0068> 通り魔
<0068> 通り魔

//<0069> 記憶ナシ男
<0069> 記憶ナシ男

//<0070> 音速
<0070> 音速

//<0071> 無限
<0071> 無限

//<0072> エロ侍
<0072> エロ侍

//<0073> エロエロ団ナンバー１
<0073> エロエロ団ナンバー１

//<0074> ただのエロ少年
<0074> ただのエロ少年

//<0075> ユリブサイク
<0075> ユリブサイク

//<0076> ドピュッシー
<0076> ドピュッシー

//<0077> アメリカンエロドッグ
