// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場のようだった。
<0000> 駐車場のようだった。

//<0001> そんなものがこの世界に必要なのだろうか？
<0001> そんなものがこの世界に必要なのだろうか？

//<0002> それよりも、だ。
<0002> それよりも、だ。

//<0003> こんな必要とされなさそうな場所に人だかりが出来ていた。
<0003> こんな必要とされなさそうな場所に人だかりが出来ていた。

//<0004> と一緒に、歌も聞こえてくる。
<0004> と一緒に、歌も聞こえてくる。

//<0005> 誰かが路上ライブでもやっているようだ。
<0005> 誰かが路上ライブでもやっているようだ。

//<0006> となれば、陽動部隊の岩沢以外に考えられないのだが、あの時に聴いた歌声とは明らかに違う。
<0006> となれば、陽動部隊の岩沢以外に考えられないのだが、あの時に聴いた歌声とは明らかに違う。

//<0007> ひたすら元気で、ひたすらひたむきな、そんな歌声だった。
<0007> ひたすら元気で、ひたすらひたむきな、そんな歌声だった。

//<0008> 見に行く
<0008> 見に行く

//<0009> 立ち去る
<0009> 立ち去る

//<0010> selbtn : 
<0010> selbtn : 

//<0011> まぁ、歌には興味ないからいいや。
<0011> まぁ、歌には興味ないからいいや。

//<0012> se_yui_Alchemy_Gt
<0012> se_yui_Alchemy_Gt
{06ad} 0a // 0012

//<0013> nothing
<0013> nothing

//<0014> 
<0014> 

//<0015> 
<0015> 

//<0016> nothing
<0016> nothing

//<0017> 人ごみの中に割ってはいると、戦線メンバーの服を来た女生徒があぐらをかいて、アコギを弾き、歌っていた。
<0017> 人ごみの中に割ってはいると、戦線メンバーの服を来た女生徒があぐらをかいて、アコギを弾き、歌っていた。

//<0018> 見知らぬ顔。
<0018> 見知らぬ顔。

//<0019> ゆりが言っていた、他にも何十人と潜伏しているメンバーのひとりか。
<0019> ゆりが言っていた、他にも何十人と潜伏しているメンバーのひとりか。

//<0020> しかし、どうしてこんなところでひとりで陽動をしているのだろうか？
<0020> しかし、どうしてこんなところでひとりで陽動をしているのだろうか？

//<0021> そもそも今はオペレーション中ではない。
<0021> そもそも今はオペレーション中ではない。

//<0022> なのに、なぜこんなことを？
<0022> なのに、なぜこんなことを？

//<0023> 弾き語りが終わる。
<0023> 弾き語りが終わる。

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> 女生徒
<0029> 女生徒

//<0030> 「今日は以上です！　ご静聴ありがとうございましたー！」
<0030> 「今日は以上です！　ご静聴ありがとうございましたー！」

//<0031> 女生徒がそう頭を下げると、意外にも女性の黄色い声が飛び交う。
<0031> 女生徒がそう頭を下げると、意外にも女性の黄色い声が飛び交う。

//<0032> そして、一斉に舞う花吹雪。なんなんだろう、ギターケースの中に放り込まれていく。
<0032> そして、一斉に舞う花吹雪。なんなんだろう、ギターケースの中に放り込まれていく。

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> ケースから外れたその一枚を拾ってみる。
<0039> ケースから外れたその一枚を拾ってみる。

//<0040> 『チャーハン』と書かれていた。食券だ。
<0040> 『チャーハン』と書かれていた。食券だ。

//<0041> 音無
<0041> 音無

//<0042> クソ坊主
<0042> クソ坊主

//<0043> 代理人
<0043> 代理人

//<0044> 微妙すぎるイケメン
<0044> 微妙すぎるイケメン

//<0045> ロリコン
<0045> ロリコン

//<0046> メガネ仲間
<0046> メガネ仲間

//<0047> 暗算日本記録保持者
<0047> 暗算日本記録保持者

//<0048> 通り魔
<0048> 通り魔

//<0049> 記憶ナシ男
<0049> 記憶ナシ男

//<0050> 音速
<0050> 音速

//<0051> 無限
<0051> 無限

//<0052> エロ侍
<0052> エロ侍

//<0053> エロエロ団ナンバー１
<0053> エロエロ団ナンバー１

//<0054> ただのエロ少年
<0054> ただのエロ少年

//<0055> ユリブサイク
<0055> ユリブサイク

//<0056> ドピュッシー
