// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 掲示板のところで女生徒が何かをしていた。
<0005> 掲示板のところで女生徒が何かをしていた。

//<0006> 戦線の制服を着ているけど、尻尾とか、腕輪とか色々と装飾が多い。
<0006> 戦線の制服を着ているけど、尻尾とか、腕輪とか色々と装飾が多い。

//<0007> あそこは昨日、天使がフライヤーを剥がしたところだ。
<0007> あそこは昨日、天使がフライヤーを剥がしたところだ。

//<0008> 女生徒は『今夜７時』とかかれているフライヤーを貼っていた。
<0008> 女生徒は『今夜７時』とかかれているフライヤーを貼っていた。

//<0009> 声をかけようと近づいてみると…。
<0009> 声をかけようと近づいてみると…。

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> 女生徒
<0015> 女生徒

//<0016> 「これ以上やらせるかあぁぁぁぁぁ！！」
<0016> 「これ以上やらせるかあぁぁぁぁぁ！！」

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> nothing
<0019> nothing

//<0020> nothing
<0020> nothing

//<0021> nothing
<0021> nothing

//<0022> nothing
<0022> nothing

//<0023> se_kneekick
<0023> se_kneekick

//<0024> どすっ！
<0024> どすっ！

//<0025> 後ろ蹴りが鳩尾に入った。
<0025> 後ろ蹴りが鳩尾に入った。

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> 女生徒
<0031> 女生徒

//<0032> 「こちとら仕事に魂込めてんのじゃーー！　剥がされた数が散った命の数なんじゃぁぁーーー！」
<0032> 「こちとら仕事に魂込めてんのじゃーー！　剥がされた数が散った命の数なんじゃぁぁーーー！」

//<0033> そしてぶちキレてた。
<0033> そしてぶちキレてた。

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> 女生徒
<0039> 女生徒

//<0040> 「って、あれ？　戦線服？　ＮＰＣじゃない？」
<0040> 「って、あれ？　戦線服？　ＮＰＣじゃない？」

//<0041> 音無
<0041> 音無

//<0042> クソ坊主
<0042> クソ坊主

//<0043> 代理人
<0043> 代理人

//<0044> 微妙すぎるイケメン
<0044> 微妙すぎるイケメン

//<0045> ロリコン
<0045> ロリコン

//<0046> メガネ仲間
<0046> メガネ仲間

//<0047> 暗算日本記録保持者
<0047> 暗算日本記録保持者

//<0048> 通り魔
<0048> 通り魔

//<0049> 記憶ナシ男
<0049> 記憶ナシ男

//<0050> 音速
<0050> 音速

//<0051> 無限
<0051> 無限

//<0052> エロ侍
<0052> エロ侍

//<0053> エロエロ団ナンバー１
<0053> エロエロ団ナンバー１

//<0054> ただのエロ少年
<0054> ただのエロ少年

//<0055> ユリブサイク
<0055> ユリブサイク

//<0056> ドピュッシー
<0056> ドピュッシー

//<0057> アメリカンエロドッグ
<0057> アメリカンエロドッグ

//<0058> ゼウス
<0058> ゼウス

//<0059> 日向markⅡ
<0059> 日向markⅡ

//<0060> 糞虫
<0060> 糞虫

//<0061> 量産型日向
<0061> 量産型日向

//<0062> ？？
<0062> ？？

//<0063> 「ぐっ…う…」
<0063> 「ぐっ…う…」

//<0064> 呼吸困難で膝をついてうなだれていると、不思議そうに声を掛けてきた。
<0064> 呼吸困難で膝をついてうなだれていると、不思議そうに声を掛けてきた。

