// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 今日もユイは路上ライブをしているんだろうか。
<0000> 今日もユイは路上ライブをしているんだろうか。

//<0001> 様子を見に、駐車場へと足を運ぶ。
<0001> 様子を見に、駐車場へと足を運ぶ。

//<0002> 近づくにつれ、アコギの音と聞き覚えのある歌声がした。
<0002> 近づくにつれ、アコギの音と聞き覚えのある歌声がした。

//<0003> 音無
<0003> 音無

//<0004> クソ坊主
<0004> クソ坊主

//<0005> 代理人
<0005> 代理人

//<0006> 微妙すぎるイケメン
<0006> 微妙すぎるイケメン

//<0007> ロリコン
<0007> ロリコン

//<0008> メガネ仲間
<0008> メガネ仲間

//<0009> 暗算日本記録保持者
<0009> 暗算日本記録保持者

//<0010> 通り魔
<0010> 通り魔

//<0011> 記憶ナシ男
<0011> 記憶ナシ男

//<0012> 音速
<0012> 音速

//<0013> 無限
<0013> 無限

//<0014> エロ侍
<0014> エロ侍

//<0015> エロエロ団ナンバー１
<0015> エロエロ団ナンバー１

//<0016> ただのエロ少年
<0016> ただのエロ少年

//<0017> ユリブサイク
<0017> ユリブサイク

//<0018> ドピュッシー
<0018> ドピュッシー

//<0019> アメリカンエロドッグ
<0019> アメリカンエロドッグ

//<0020> ゼウス
<0020> ゼウス

//<0021> 日向markⅡ
<0021> 日向markⅡ

//<0022> 糞虫
<0022> 糞虫

//<0023> 量産型日向
<0023> 量産型日向

//<0024> ？？
<0024> ？？

//<0025> 「ん？」
<0025> 「ん？」

//<0026> 駐車場から少し離れた所で、誰かがユイのほうを見ていた。
<0026> 駐車場から少し離れた所で、誰かがユイのほうを見ていた。

//<0027> 腕を組みながら、指でリズムを取っている。
<0027> 腕を組みながら、指でリズムを取っている。

//<0028> 駐車場へと足を運ぶ。
<0028> 駐車場へと足を運ぶ。

//<0029> 近づくにつれ、アコギの音と歌声が聞こえてくる。
<0029> 近づくにつれ、アコギの音と歌声が聞こえてくる。

//<0030> 音無
<0030> 音無

//<0031> クソ坊主
<0031> クソ坊主

//<0032> 代理人
<0032> 代理人

//<0033> 微妙すぎるイケメン
<0033> 微妙すぎるイケメン

//<0034> ロリコン
<0034> ロリコン

//<0035> メガネ仲間
<0035> メガネ仲間

//<0036> 暗算日本記録保持者
<0036> 暗算日本記録保持者

//<0037> 通り魔
<0037> 通り魔

//<0038> 記憶ナシ男
<0038> 記憶ナシ男

//<0039> 音速
<0039> 音速

//<0040> 無限
<0040> 無限

//<0041> エロ侍
<0041> エロ侍

//<0042> エロエロ団ナンバー１
<0042> エロエロ団ナンバー１

//<0043> ただのエロ少年
<0043> ただのエロ少年

//<0044> ユリブサイク
<0044> ユリブサイク

//<0045> ドピュッシー
<0045> ドピュッシー

//<0046> アメリカンエロドッグ
<0046> アメリカンエロドッグ

//<0047> ゼウス
<0047> ゼウス

//<0048> 日向markⅡ
<0048> 日向markⅡ

//<0049> 糞虫
<0049> 糞虫

//<0050> 量産型日向
<0050> 量産型日向

//<0051> ？？
<0051> ？？

//<0052> （何かのイベントか…？）
<0052> （何かのイベントか…？）

//<0053> 駐車場の一角に、ＮＰＣの人だかりが出来ていた。
<0053> 駐車場の一角に、ＮＰＣの人だかりが出来ていた。

//<0054> その中心には、アコギで弾き語りをしている、戦線服を着た少女。
<0054> その中心には、アコギで弾き語りをしている、戦線服を着た少女。

//<0055> se_yui_Crowsong_Gt
<0055> se_yui_Crowsong_Gt
{152f} 0a // 0055

//<0056> nothing
<0056> nothing

//<0057> 
<0057> 

//<0058> 
<0058> 

//<0059> nothing
<0059> nothing

//<0060> 音無
<0060> 音無

//<0061> クソ坊主
<0061> クソ坊主

//<0062> 代理人
<0062> 代理人

//<0063> 微妙すぎるイケメン
<0063> 微妙すぎるイケメン

//<0064> ロリコン
<0064> ロリコン

//<0065> メガネ仲間
<0065> メガネ仲間

//<0066> 暗算日本記録保持者
<0066> 暗算日本記録保持者

//<0067> 通り魔
<0067> 通り魔

//<0068> 記憶ナシ男
<0068> 記憶ナシ男

//<0069> 音速
<0069> 音速

//<0070> 無限
<0070> 無限

//<0071> エロ侍
<0071> エロ侍

//<0072> エロエロ団ナンバー１
<0072> エロエロ団ナンバー１

//<0073> ただのエロ少年
<0073> ただのエロ少年

//<0074> ユリブサイク
<0074> ユリブサイク

//<0075> ドピュッシー
<0075> ドピュッシー

//<0076> アメリカンエロドッグ
<0076> アメリカンエロドッグ

//<0077> ゼウス
<0077> ゼウス

//<0078> 日向markⅡ
<0078> 日向markⅡ

//<0079> 糞虫
<0079> 糞虫

//<0080> 量産型日向
<0080> 量産型日向

//<0081> ？？
<0081> ？？

//<0082> （…あれはユイ？）
<0082> （…あれはユイ？）

//<0083> あいつ、あんなコトしていたのか。
<0083> あいつ、あんなコトしていたのか。

//<0084> そして少し離れた所から、その様子を眺めている人物がいた。
<0084> そして少し離れた所から、その様子を眺めている人物がいた。

//<0085> 腕を組みながら、指でリズムを取っている。
<0085> 腕を組みながら、指でリズムを取っている。

//<0086> nothing
<0086> nothing

//<0087> nothing
<0087> nothing

//<0088> nothing
<0088> nothing

//<0089> nothing
<0089> nothing

//<0090> nothing
<0090> nothing

//<0091> それはガルデモのフロントマン、岩沢だった。
<0091> それはガルデモのフロントマン、岩沢だった。

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> nothing
