// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<0000> 白

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> ユイ
<0006> ユイ

//<0007> 「仕方ないから教えてあげます。ガルデモは女の子４人で結成された、超ド級のハイスペクタルバンドなんです！」
<0007> 「仕方ないから教えてあげます。ガルデモは女の子４人で結成された、超ド級のハイスペクタルバンドなんです！」

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> ユイ
<0013> ユイ

//<0014> 「それぞれ全てが尖っていながら、完全な調和でひとつの矢になる、それが
<0014> 「それぞれ全てが尖っていながら、完全な調和でひとつの矢になる、それが

//<0015> Girls Dead Monster
<0015> Girls Dead Monster

//<0016> 、ガルデモなんです！」
<0016> 、ガルデモなんです！」

//<0017> 白
<0017> 白

//<0018> nothing
<0018> nothing

//<0019> nothing
<0019> nothing

//<0020> nothing
<0020> nothing

//<0021> nothing
<0021> nothing

//<0022> nothing
<0022> nothing

//<0023> ユイ
<0023> ユイ

//<0024> 「正式名称は、
<0024> 「正式名称は、

//<0025> Girls Dead Monster
<0025> Girls Dead Monster

//<0026> 。略してガルデモです！　ガルデモは凄いんですよ！　なんと言っても、ボーカル＆ギターの岩沢さんの存在感！」
<0026> 。略してガルデモです！　ガルデモは凄いんですよ！　なんと言っても、ボーカル＆ギターの岩沢さんの存在感！」

//<0027> nothing
<0027> nothing

//<0028> 
<0028> 

//<0029> 
<0029> 

//<0030> nothing
<0030> nothing

//<0031> 今日はＮＰＣの生徒達が居なかった。
<0031> 今日はＮＰＣの生徒達が居なかった。

//<0032> でも、ユイは居た。
<0032> でも、ユイは居た。

//<0033> いつもかき鳴らしているアコースティックギターを抱き締めながら、俯いている。
<0033> いつもかき鳴らしているアコースティックギターを抱き締めながら、俯いている。

//<0034> 音無
<0034> 音無

//<0035> クソ坊主
<0035> クソ坊主

//<0036> 代理人
<0036> 代理人

//<0037> 微妙すぎるイケメン
<0037> 微妙すぎるイケメン

//<0038> ロリコン
<0038> ロリコン

//<0039> メガネ仲間
<0039> メガネ仲間

//<0040> 暗算日本記録保持者
<0040> 暗算日本記録保持者

//<0041> 通り魔
<0041> 通り魔

//<0042> 記憶ナシ男
<0042> 記憶ナシ男

//<0043> 音速
<0043> 音速

//<0044> 無限
<0044> 無限

//<0045> エロ侍
<0045> エロ侍

//<0046> エロエロ団ナンバー１
<0046> エロエロ団ナンバー１

//<0047> ただのエロ少年
<0047> ただのエロ少年

//<0048> ユリブサイク
<0048> ユリブサイク

//<0049> ドピュッシー
<0049> ドピュッシー

//<0050> アメリカンエロドッグ
<0050> アメリカンエロドッグ

//<0051> ゼウス
<0051> ゼウス

//<0052> 日向markⅡ
<0052> 日向markⅡ

//<0053> 糞虫
<0053> 糞虫

//<0054> 量産型日向
<0054> 量産型日向

//<0055> ？？
<0055> ？？

//<0056> 「ユイ…？」
<0056> 「ユイ…？」

//<0057> ユイ
<0057> ユイ

//<0058> 「あ…先輩」
<0058> 「あ…先輩」

//<0059> 音無
<0059> 音無

//<0060> クソ坊主
<0060> クソ坊主

//<0061> 代理人
<0061> 代理人

//<0062> 微妙すぎるイケメン
<0062> 微妙すぎるイケメン

//<0063> ロリコン
<0063> ロリコン

//<0064> メガネ仲間
<0064> メガネ仲間

//<0065> 暗算日本記録保持者
<0065> 暗算日本記録保持者

//<0066> 通り魔
<0066> 通り魔

//<0067> 記憶ナシ男
<0067> 記憶ナシ男

//<0068> 音速
<0068> 音速

//<0069> 無限
<0069> 無限

//<0070> エロ侍
<0070> エロ侍

//<0071> エロエロ団ナンバー１
<0071> エロエロ団ナンバー１

//<0072> ただのエロ少年
<0072> ただのエロ少年

//<0073> ユリブサイク
<0073> ユリブサイク

//<0074> ドピュッシー
<0074> ドピュッシー

//<0075> アメリカンエロドッグ
<0075> アメリカンエロドッグ

//<0076> ゼウス
<0076> ゼウス

//<0077> 日向markⅡ
<0077> 日向markⅡ

//<0078> 糞虫
<0078> 糞虫

//<0079> 量産型日向
<0079> 量産型日向

//<0080> ？？
<0080> ？？

//<0081> 「今日はやらないのか？　路上ライブ」
<0081> 「今日はやらないのか？　路上ライブ」

//<0082> ユイ
<0082> ユイ

//<0083> 「…なんかそんな気分になれなくて」
<0083> 「…なんかそんな気分になれなくて」

//<0084> ギターを一瞥してから、すぐに視線を地面に向ける。
<0084> ギターを一瞥してから、すぐに視線を地面に向ける。

//<0085> 憧れていた岩沢が突然消えてしまったことがショックなんだろう。
<0085> 憧れていた岩沢が突然消えてしまったことがショックなんだろう。

//<0086> ユイ
<0086> ユイ

//<0087> 「…岩沢さん、どうしていなくなってしまったんでしょうか…」
<0087> 「…岩沢さん、どうしていなくなってしまったんでしょうか…」

//<0088> 音無
<0088> 音無

//<0089> クソ坊主
<0089> クソ坊主

//<0090> 代理人
<0090> 代理人

//<0091> 微妙すぎるイケメン
<0091> 微妙すぎるイケメン

//<0092> ロリコン
<0092> ロリコン

//<0093> メガネ仲間
<0093> メガネ仲間

//<0094> 暗算日本記録保持者
<0094> 暗算日本記録保持者

//<0095> 通り魔
<0095> 通り魔

//<0096> 記憶ナシ男
<0096> 記憶ナシ男

//<0097> 音速
<0097> 音速

//<0098> 無限
<0098> 無限

//<0099> エロ侍
<0099> エロ侍

//<0100> エロエロ団ナンバー１
<0100> エロエロ団ナンバー１

//<0101> ただのエロ少年
<0101> ただのエロ少年

//<0102> ユリブサイク
<0102> ユリブサイク

//<0103> ドピュッシー
<0103> ドピュッシー

//<0104> アメリカンエロドッグ
<0104> アメリカンエロドッグ

//<0105> ゼウス
<0105> ゼウス

//<0106> 日向markⅡ
<0106> 日向markⅡ

//<0107> 糞虫
