// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 駐車場に行くと、腕立て伏せをしているユイがいた。
<0000> 駐車場に行くと、腕立て伏せをしているユイがいた。

//<0001> それとその隣に…。
<0001> それとその隣に…。

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> 音無
<0007> 音無

//<0008> クソ坊主
<0008> クソ坊主

//<0009> 代理人
<0009> 代理人

//<0010> 微妙すぎるイケメン
<0010> 微妙すぎるイケメン

//<0011> ロリコン
<0011> ロリコン

//<0012> メガネ仲間
<0012> メガネ仲間

//<0013> 暗算日本記録保持者
<0013> 暗算日本記録保持者

//<0014> 通り魔
<0014> 通り魔

//<0015> 記憶ナシ男
<0015> 記憶ナシ男

//<0016> 音速
<0016> 音速

//<0017> 無限
<0017> 無限

//<0018> エロ侍
<0018> エロ侍

//<0019> エロエロ団ナンバー１
<0019> エロエロ団ナンバー１

//<0020> ただのエロ少年
<0020> ただのエロ少年

//<0021> ユリブサイク
<0021> ユリブサイク

//<0022> ドピュッシー
<0022> ドピュッシー

//<0023> アメリカンエロドッグ
<0023> アメリカンエロドッグ

//<0024> ゼウス
<0024> ゼウス

//<0025> 日向markⅡ
<0025> 日向markⅡ

//<0026> 糞虫
<0026> 糞虫

//<0027> 量産型日向
<0027> 量産型日向

//<0028> ？？
<0028> ？？

//<0029> （日向？）
<0029> （日向？）

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> 日向
<0035> 日向

//<0036> 男Ｂ
<0036> 男Ｂ

//<0037> エロエロ団総帥
<0037> エロエロ団総帥

//<0038> イケチン
<0038> イケチン

//<0039> ホモ太
<0039> ホモ太

//<0040> ひなチン
<0040> ひなチン

//<0041> 秀樹
<0041> 秀樹

//<0042> 男子生徒
<0042> 男子生徒

//<0043> ？？
<0043> ？？

//<0044> 「どうしたぁ！　もうへばったかこの能無し！」
<0044> 「どうしたぁ！　もうへばったかこの能無し！」

//<0045> ユイ
<0045> ユイ

//<0046> 「の、ノー！　サー！」
<0046> 「の、ノー！　サー！」

//<0047> 音無
<0047> 音無

//<0048> クソ坊主
<0048> クソ坊主

//<0049> 代理人
<0049> 代理人

//<0050> 微妙すぎるイケメン
<0050> 微妙すぎるイケメン

//<0051> ロリコン
<0051> ロリコン

//<0052> メガネ仲間
<0052> メガネ仲間

//<0053> 暗算日本記録保持者
<0053> 暗算日本記録保持者

//<0054> 通り魔
<0054> 通り魔

//<0055> 記憶ナシ男
<0055> 記憶ナシ男

//<0056> 音速
<0056> 音速

//<0057> 無限
<0057> 無限

//<0058> エロ侍
<0058> エロ侍

//<0059> エロエロ団ナンバー１
<0059> エロエロ団ナンバー１

//<0060> ただのエロ少年
<0060> ただのエロ少年

//<0061> ユリブサイク
<0061> ユリブサイク

//<0062> ドピュッシー
<0062> ドピュッシー

//<0063> アメリカンエロドッグ
<0063> アメリカンエロドッグ

//<0064> ゼウス
<0064> ゼウス

//<0065> 日向markⅡ
<0065> 日向markⅡ

//<0066> 糞虫
<0066> 糞虫

//<0067> 量産型日向
<0067> 量産型日向

//<0068> ？？
<0068> ？？

//<0069> （……？？）
<0069> （……？？）

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> 日向
<0075> 日向

//<0076> 男Ｂ
<0076> 男Ｂ

//<0077> エロエロ団総帥
<0077> エロエロ団総帥

//<0078> イケチン
<0078> イケチン

//<0079> ホモ太
<0079> ホモ太

//<0080> ひなチン
<0080> ひなチン

//<0081> 秀樹
<0081> 秀樹

//<0082> 男子生徒
<0082> 男子生徒

//<0083> ？？
<0083> ？？

//<0084> 「なんだ、まだ返事する元気が残ってたか！　この豚野郎！　じゃああと１０回追加だ！」
<0084> 「なんだ、まだ返事する元気が残ってたか！　この豚野郎！　じゃああと１０回追加だ！」

//<0085> ユイ
<0085> ユイ

//<0086> 「サー！　イエッサー！」
<0086> 「サー！　イエッサー！」

//<0087> nothing
<0087> nothing

//<0088> nothing
<0088> nothing

//<0089> nothing
<0089> nothing

//<0090> nothing
<0090> nothing

//<0091> nothing
<0091> nothing

//<0092> 日向
<0092> 日向

//<0093> 男Ｂ
<0093> 男Ｂ

//<0094> エロエロ団総帥
<0094> エロエロ団総帥

//<0095> イケチン
<0095> イケチン

//<0096> ホモ太
<0096> ホモ太

//<0097> ひなチン
<0097> ひなチン

//<0098> 秀樹
<0098> 秀樹

//<0099> 男子生徒
