// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音無
<0000> 音無

//<0001> クソ坊主
<0001> クソ坊主

//<0002> 代理人
<0002> 代理人

//<0003> 微妙すぎるイケメン
<0003> 微妙すぎるイケメン

//<0004> ロリコン
<0004> ロリコン

//<0005> メガネ仲間
<0005> メガネ仲間

//<0006> 暗算日本記録保持者
<0006> 暗算日本記録保持者

//<0007> 通り魔
<0007> 通り魔

//<0008> 記憶ナシ男
<0008> 記憶ナシ男

//<0009> 音速
<0009> 音速

//<0010> 無限
<0010> 無限

//<0011> エロ侍
<0011> エロ侍

//<0012> エロエロ団ナンバー１
<0012> エロエロ団ナンバー１

//<0013> ただのエロ少年
<0013> ただのエロ少年

//<0014> ユリブサイク
<0014> ユリブサイク

//<0015> ドピュッシー
<0015> ドピュッシー

//<0016> アメリカンエロドッグ
<0016> アメリカンエロドッグ

//<0017> ゼウス
<0017> ゼウス

//<0018> 日向markⅡ
<0018> 日向markⅡ

//<0019> 糞虫
<0019> 糞虫

//<0020> 量産型日向
<0020> 量産型日向

//<0021> ？？
<0021> ？？

//<0022> 「うん？」
<0022> 「うん？」

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> 駐車場に行くと、仁王立ちしている日向の足下でユイが土下座をしていた。
<0028> 駐車場に行くと、仁王立ちしている日向の足下でユイが土下座をしていた。

//<0029> …違う、腕立て伏せだ。
<0029> …違う、腕立て伏せだ。

//<0030> 音無
<0030> 音無

//<0031> クソ坊主
<0031> クソ坊主

//<0032> 代理人
<0032> 代理人

//<0033> 微妙すぎるイケメン
<0033> 微妙すぎるイケメン

//<0034> ロリコン
<0034> ロリコン

//<0035> メガネ仲間
<0035> メガネ仲間

//<0036> 暗算日本記録保持者
<0036> 暗算日本記録保持者

//<0037> 通り魔
<0037> 通り魔

//<0038> 記憶ナシ男
<0038> 記憶ナシ男

//<0039> 音速
<0039> 音速

//<0040> 無限
<0040> 無限

//<0041> エロ侍
<0041> エロ侍

//<0042> エロエロ団ナンバー１
<0042> エロエロ団ナンバー１

//<0043> ただのエロ少年
<0043> ただのエロ少年

//<0044> ユリブサイク
<0044> ユリブサイク

//<0045> ドピュッシー
<0045> ドピュッシー

//<0046> アメリカンエロドッグ
<0046> アメリカンエロドッグ

//<0047> ゼウス
<0047> ゼウス

//<0048> 日向markⅡ
<0048> 日向markⅡ

//<0049> 糞虫
<0049> 糞虫

//<0050> 量産型日向
<0050> 量産型日向

//<0051> ？？
<0051> ？？

//<0052> （また戦線流訓練か…？）
<0052> （また戦線流訓練か…？）

//<0053> 音無
<0053> 音無

//<0054> クソ坊主
<0054> クソ坊主

//<0055> 代理人
<0055> 代理人

//<0056> 微妙すぎるイケメン
<0056> 微妙すぎるイケメン

//<0057> ロリコン
<0057> ロリコン

//<0058> メガネ仲間
<0058> メガネ仲間

//<0059> 暗算日本記録保持者
<0059> 暗算日本記録保持者

//<0060> 通り魔
<0060> 通り魔

//<0061> 記憶ナシ男
<0061> 記憶ナシ男

//<0062> 音速
<0062> 音速

//<0063> 無限
<0063> 無限

//<0064> エロ侍
<0064> エロ侍

//<0065> エロエロ団ナンバー１
<0065> エロエロ団ナンバー１

//<0066> ただのエロ少年
<0066> ただのエロ少年

//<0067> ユリブサイク
<0067> ユリブサイク

//<0068> ドピュッシー
<0068> ドピュッシー

//<0069> アメリカンエロドッグ
<0069> アメリカンエロドッグ

//<0070> ゼウス
<0070> ゼウス

//<0071> 日向markⅡ
<0071> 日向markⅡ

//<0072> 糞虫
<0072> 糞虫

//<0073> 量産型日向
<0073> 量産型日向

//<0074> ？？
<0074> ？？

//<0075> （筋トレ、日向が見てやってるのか…？）
<0075> （筋トレ、日向が見てやってるのか…？）

//<0076> 音無
<0076> 音無

//<0077> クソ坊主
<0077> クソ坊主

//<0078> 代理人
<0078> 代理人

//<0079> 微妙すぎるイケメン
<0079> 微妙すぎるイケメン

//<0080> ロリコン
<0080> ロリコン

//<0081> メガネ仲間
<0081> メガネ仲間

//<0082> 暗算日本記録保持者
<0082> 暗算日本記録保持者

//<0083> 通り魔
<0083> 通り魔

//<0084> 記憶ナシ男
<0084> 記憶ナシ男

//<0085> 音速
<0085> 音速

//<0086> 無限
<0086> 無限

//<0087> エロ侍
<0087> エロ侍

//<0088> エロエロ団ナンバー１
<0088> エロエロ団ナンバー１

//<0089> ただのエロ少年
<0089> ただのエロ少年

//<0090> ユリブサイク
<0090> ユリブサイク

//<0091> ドピュッシー
<0091> ドピュッシー

//<0092> アメリカンエロドッグ
<0092> アメリカンエロドッグ

//<0093> ゼウス
<0093> ゼウス

//<0094> 日向markⅡ
<0094> 日向markⅡ

//<0095> 糞虫
<0095> 糞虫

//<0096> 量産型日向
<0096> 量産型日向

//<0097> ？？
<0097> ？？

//<0098> （なにかの罰ゲームだろうか…？）
<0098> （なにかの罰ゲームだろうか…？）

//<0099> すでにユイの腕はブルブルと震えているし、顎が上がっている。
<0099> すでにユイの腕はブルブルと震えているし、顎が上がっている。

//<0100> もうかなりの数をこなしたということだろう。
<0100> もうかなりの数をこなしたということだろう。

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> そんなユイに対して、日向が何かを言っていた。
<0106> そんなユイに対して、日向が何かを言っていた。

//<0107> …あ、卍固め食らわされてる。
<0107> …あ、卍固め食らわされてる。

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> nothing
<0111> nothing

//<0112> nothing
<0112> nothing

//<0113> nothing
<0113> nothing

