// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 日向
<0005> 日向

//<0006> 男Ｂ
<0006> 男Ｂ

//<0007> エロエロ団総帥
<0007> エロエロ団総帥

//<0008> イケチン
<0008> イケチン

//<0009> ホモ太
<0009> ホモ太

//<0010> ひなチン
<0010> ひなチン

//<0011> 秀樹
<0011> 秀樹

//<0012> 男子生徒
<0012> 男子生徒

//<0013> ？？
<0013> ？？

//<0014> 「岩沢に会いたいのか？」
<0014> 「岩沢に会いたいのか？」

//<0015> 音無
<0015> 音無

//<0016> クソ坊主
<0016> クソ坊主

//<0017> 代理人
<0017> 代理人

//<0018> 微妙すぎるイケメン
<0018> 微妙すぎるイケメン

//<0019> ロリコン
<0019> ロリコン

//<0020> メガネ仲間
<0020> メガネ仲間

//<0021> 暗算日本記録保持者
<0021> 暗算日本記録保持者

//<0022> 通り魔
<0022> 通り魔

//<0023> 記憶ナシ男
<0023> 記憶ナシ男

//<0024> 音速
<0024> 音速

//<0025> 無限
<0025> 無限

//<0026> エロ侍
<0026> エロ侍

//<0027> エロエロ団ナンバー１
<0027> エロエロ団ナンバー１

//<0028> ただのエロ少年
<0028> ただのエロ少年

//<0029> ユリブサイク
<0029> ユリブサイク

//<0030> ドピュッシー
<0030> ドピュッシー

//<0031> アメリカンエロドッグ
<0031> アメリカンエロドッグ

//<0032> ゼウス
<0032> ゼウス

//<0033> 日向markⅡ
<0033> 日向markⅡ

//<0034> 糞虫
<0034> 糞虫

//<0035> 量産型日向
<0035> 量産型日向

//<0036> ？？
<0036> ？？

//<0037> 「ああ」
<0037> 「ああ」

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> 日向
<0043> 日向

//<0044> 男Ｂ
<0044> 男Ｂ

//<0045> エロエロ団総帥
<0045> エロエロ団総帥

//<0046> イケチン
<0046> イケチン

//<0047> ホモ太
<0047> ホモ太

//<0048> ひなチン
<0048> ひなチン

//<0049> 秀樹
<0049> 秀樹

//<0050> 男子生徒
<0050> 男子生徒

//<0051> ？？
<0051> ？？

//<0052> 「午後は部室で練習してるから、邪魔しないほうがいいぜ？」
<0052> 「午後は部室で練習してるから、邪魔しないほうがいいぜ？」

//<0053> 音無
<0053> 音無

//<0054> クソ坊主
<0054> クソ坊主

//<0055> 代理人
<0055> 代理人

//<0056> 微妙すぎるイケメン
<0056> 微妙すぎるイケメン

//<0057> ロリコン
<0057> ロリコン

//<0058> メガネ仲間
<0058> メガネ仲間

//<0059> 暗算日本記録保持者
<0059> 暗算日本記録保持者

//<0060> 通り魔
<0060> 通り魔

//<0061> 記憶ナシ男
<0061> 記憶ナシ男

//<0062> 音速
<0062> 音速

//<0063> 無限
<0063> 無限

//<0064> エロ侍
<0064> エロ侍

//<0065> エロエロ団ナンバー１
<0065> エロエロ団ナンバー１

//<0066> ただのエロ少年
<0066> ただのエロ少年

//<0067> ユリブサイク
<0067> ユリブサイク

//<0068> ドピュッシー
<0068> ドピュッシー

//<0069> アメリカンエロドッグ
<0069> アメリカンエロドッグ

//<0070> ゼウス
<0070> ゼウス

//<0071> 日向markⅡ
<0071> 日向markⅡ

//<0072> 糞虫
<0072> 糞虫

//<0073> 量産型日向
<0073> 量産型日向

//<0074> ？？
<0074> ？？

//<0075> 「午前は？」
<0075> 「午前は？」

//<0076> nothing
<0076> nothing

//<0077> nothing
<0077> nothing

//<0078> nothing
<0078> nothing

