// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 窓越しに覗き込む。
<0000> 窓越しに覗き込む。

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> 日向から聞いていた通りだ。
<0006> 日向から聞いていた通りだ。

//<0007> 岩沢が鼻歌を歌いながら、アコースティックギターをつま弾いていた。
<0007> 岩沢が鼻歌を歌いながら、アコースティックギターをつま弾いていた。

//<0008> たまに、ノートにペンを走らせる。
<0008> たまに、ノートにペンを走らせる。

//<0009> 空き教室でひとり、アコースティックギターを持って、作曲のご様子。
<0009> 空き教室でひとり、アコースティックギターを持って、作曲のご様子。

//<0010> 空き教室へと足を運ぶ。
<0010> 空き教室へと足を運ぶ。

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> 岩沢が鼻歌を歌いながら、アコースティックギターをつま弾いていた。
<0016> 岩沢が鼻歌を歌いながら、アコースティックギターをつま弾いていた。

//<0017> たまに、ノートにペンを走らせる。
<0017> たまに、ノートにペンを走らせる。

//<0018> 話しかけてみる
<0018> 話しかけてみる

//<0019> そっとしておく
<0019> そっとしておく

//<0020> selbtn : 
<0020> selbtn : 

//<0021> nothing
<0021> nothing

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> 日向に言われた通り、邪魔はしないでおくか…。
<0027> 日向に言われた通り、邪魔はしないでおくか…。

//<0028> 邪魔になるだろう。そっとしておこう。
<0028> 邪魔になるだろう。そっとしておこう。

//<0029> その場を立ち去った。
<0029> その場を立ち去った。

//<0030> se_wooddoor_open2
<0030> se_wooddoor_open2

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> 俺はドアを開け、教室内に踏み入る。
<0036> 俺はドアを開け、教室内に踏み入る。

//<0037> 音無
<0037> 音無

//<0038> クソ坊主
<0038> クソ坊主

//<0039> 代理人
<0039> 代理人

//<0040> 微妙すぎるイケメン
<0040> 微妙すぎるイケメン

//<0041> ロリコン
<0041> ロリコン

//<0042> メガネ仲間
<0042> メガネ仲間

//<0043> 暗算日本記録保持者
<0043> 暗算日本記録保持者

//<0044> 通り魔
<0044> 通り魔

//<0045> 記憶ナシ男
<0045> 記憶ナシ男

//<0046> 音速
<0046> 音速

//<0047> 無限
<0047> 無限

//<0048> エロ侍
<0048> エロ侍

//<0049> エロエロ団ナンバー１
<0049> エロエロ団ナンバー１

//<0050> ただのエロ少年
<0050> ただのエロ少年

//<0051> ユリブサイク
<0051> ユリブサイク

//<0052> ドピュッシー
<0052> ドピュッシー

//<0053> アメリカンエロドッグ
<0053> アメリカンエロドッグ

//<0054> ゼウス
<0054> ゼウス

//<0055> 日向markⅡ
<0055> 日向markⅡ

//<0056> 糞虫
<0056> 糞虫

//<0057> 量産型日向
<0057> 量産型日向

//<0058> ？？
<0058> ？？

//<0059> 「こんなところで鍵もかけずに曲書いてんのかよ…」
<0059> 「こんなところで鍵もかけずに曲書いてんのかよ…」

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> 岩沢
<0065> 岩沢

//<0066> 「…ふふ～ん…ふふ～ん…うん、悪くない」
<0066> 「…ふふ～ん…ふふ～ん…うん、悪くない」

//<0067> 音無
<0067> 音無

//<0068> クソ坊主
<0068> クソ坊主

//<0069> 代理人
<0069> 代理人

//<0070> 微妙すぎるイケメン
<0070> 微妙すぎるイケメン

//<0071> ロリコン
