// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_wooddoor_open2
<0000> se_wooddoor_open2

//<0001> 音無
<0001> 音無

//<0002> クソ坊主
<0002> クソ坊主

//<0003> 代理人
<0003> 代理人

//<0004> 微妙すぎるイケメン
<0004> 微妙すぎるイケメン

//<0005> ロリコン
<0005> ロリコン

//<0006> メガネ仲間
<0006> メガネ仲間

//<0007> 暗算日本記録保持者
<0007> 暗算日本記録保持者

//<0008> 通り魔
<0008> 通り魔

//<0009> 記憶ナシ男
<0009> 記憶ナシ男

//<0010> 音速
<0010> 音速

//<0011> 無限
<0011> 無限

//<0012> エロ侍
<0012> エロ侍

//<0013> エロエロ団ナンバー１
<0013> エロエロ団ナンバー１

//<0014> ただのエロ少年
<0014> ただのエロ少年

//<0015> ユリブサイク
<0015> ユリブサイク

//<0016> ドピュッシー
<0016> ドピュッシー

//<0017> アメリカンエロドッグ
<0017> アメリカンエロドッグ

//<0018> ゼウス
<0018> ゼウス

//<0019> 日向markⅡ
<0019> 日向markⅡ

//<0020> 糞虫
<0020> 糞虫

//<0021> 量産型日向
<0021> 量産型日向

//<0022> ？？
<0022> ？？

//<0023> 「よう」
<0023> 「よう」

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> 岩沢
<0029> 岩沢

//<0030> 「またお前か」
<0030> 「またお前か」

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> 岩沢
<0036> 岩沢

//<0037> 「よくまあ、ここまで熱心に通い続けられるな」
<0037> 「よくまあ、ここまで熱心に通い続けられるな」

//<0038> 音無
<0038> 音無

//<0039> クソ坊主
<0039> クソ坊主

//<0040> 代理人
<0040> 代理人

//<0041> 微妙すぎるイケメン
<0041> 微妙すぎるイケメン

//<0042> ロリコン
<0042> ロリコン

//<0043> メガネ仲間
<0043> メガネ仲間

//<0044> 暗算日本記録保持者
<0044> 暗算日本記録保持者

//<0045> 通り魔
<0045> 通り魔

//<0046> 記憶ナシ男
<0046> 記憶ナシ男

//<0047> 音速
<0047> 音速

//<0048> 無限
<0048> 無限

//<0049> エロ侍
<0049> エロ侍

//<0050> エロエロ団ナンバー１
<0050> エロエロ団ナンバー１

//<0051> ただのエロ少年
<0051> ただのエロ少年

//<0052> ユリブサイク
<0052> ユリブサイク

//<0053> ドピュッシー
<0053> ドピュッシー

//<0054> アメリカンエロドッグ
<0054> アメリカンエロドッグ

//<0055> ゼウス
<0055> ゼウス

//<0056> 日向markⅡ
<0056> 日向markⅡ

//<0057> 糞虫
<0057> 糞虫

//<0058> 量産型日向
<0058> 量産型日向

//<0059> ？？
<0059> ？？

//<0060> 「だから、俺はお前に興味を覚えてるんだよ」
<0060> 「だから、俺はお前に興味を覚えてるんだよ」

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> 岩沢
<0066> 岩沢

//<0067> 「こんな音楽キチにかよ」
<0067> 「こんな音楽キチにかよ」

//<0068> 音無
<0068> 音無

//<0069> クソ坊主
<0069> クソ坊主

//<0070> 代理人
<0070> 代理人

//<0071> 微妙すぎるイケメン
<0071> 微妙すぎるイケメン

//<0072> ロリコン
<0072> ロリコン

//<0073> メガネ仲間
<0073> メガネ仲間

//<0074> 暗算日本記録保持者
<0074> 暗算日本記録保持者

//<0075> 通り魔
<0075> 通り魔

//<0076> 記憶ナシ男
<0076> 記憶ナシ男

//<0077> 音速
<0077> 音速

//<0078> 無限
<0078> 無限

//<0079> エロ侍
<0079> エロ侍

//<0080> エロエロ団ナンバー１
<0080> エロエロ団ナンバー１

//<0081> ただのエロ少年
<0081> ただのエロ少年

//<0082> ユリブサイク
<0082> ユリブサイク

//<0083> ドピュッシー
<0083> ドピュッシー

//<0084> アメリカンエロドッグ
<0084> アメリカンエロドッグ

//<0085> ゼウス
<0085> ゼウス

//<0086> 日向markⅡ
<0086> 日向markⅡ

//<0087> 糞虫
<0087> 糞虫

//<0088> 量産型日向
<0088> 量産型日向

//<0089> ？？
<0089> ？？

//<0090> 「それだけじゃない」
<0090> 「それだけじゃない」

//<0091> 女性としても魅力的だ
<0091> 女性としても魅力的だ

//<0092> 自己練がきついので暇つぶし
<0092> 自己練がきついので暇つぶし

//<0093> selbtn : 
<0093> selbtn : 

//<0094> 音無
<0094> 音無

//<0095> クソ坊主
<0095> クソ坊主

//<0096> 代理人
<0096> 代理人

//<0097> 微妙すぎるイケメン
<0097> 微妙すぎるイケメン

//<0098> ロリコン
<0098> ロリコン

//<0099> メガネ仲間
<0099> メガネ仲間

//<0100> 暗算日本記録保持者
<0100> 暗算日本記録保持者

//<0101> 通り魔
<0101> 通り魔

//<0102> 記憶ナシ男
<0102> 記憶ナシ男

//<0103> 音速
<0103> 音速

//<0104> 無限
<0104> 無限

//<0105> エロ侍
<0105> エロ侍

//<0106> エロエロ団ナンバー１
<0106> エロエロ団ナンバー１

//<0107> ただのエロ少年
<0107> ただのエロ少年

//<0108> ユリブサイク
<0108> ユリブサイク

//<0109> ドピュッシー
<0109> ドピュッシー

//<0110> アメリカンエロドッグ
<0110> アメリカンエロドッグ

//<0111> ゼウス
<0111> ゼウス

//<0112> 日向markⅡ
<0112> 日向markⅡ

//<0113> 糞虫
<0113> 糞虫

//<0114> 量産型日向
<0114> 量産型日向

//<0115> ？？
<0115> ？？

//<0116> 「女性としても魅力的だ」
<0116> 「女性としても魅力的だ」

//<0117> nothing
<0117> nothing

//<0118> nothing
<0118> nothing

//<0119> nothing
<0119> nothing

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> 岩沢
<0122> 岩沢

//<0123> 「へぇ、こんな音楽キチがいいのかい」
<0123> 「へぇ、こんな音楽キチがいいのかい」

//<0124> 音無
<0124> 音無

//<0125> クソ坊主
<0125> クソ坊主

//<0126> 代理人
<0126> 代理人

//<0127> 微妙すぎるイケメン
<0127> 微妙すぎるイケメン

//<0128> ロリコン
<0128> ロリコン

//<0129> メガネ仲間
<0129> メガネ仲間

//<0130> 暗算日本記録保持者
<0130> 暗算日本記録保持者

//<0131> 通り魔
<0131> 通り魔

//<0132> 記憶ナシ男
<0132> 記憶ナシ男

//<0133> 音速
<0133> 音速

//<0134> 無限
<0134> 無限

//<0135> エロ侍
<0135> エロ侍

//<0136> エロエロ団ナンバー１
<0136> エロエロ団ナンバー１

//<0137> ただのエロ少年
<0137> ただのエロ少年

//<0138> ユリブサイク
<0138> ユリブサイク

//<0139> ドピュッシー
<0139> ドピュッシー

//<0140> アメリカンエロドッグ
<0140> アメリカンエロドッグ

//<0141> ゼウス
<0141> ゼウス

//<0142> 日向markⅡ
<0142> 日向markⅡ

//<0143> 糞虫
<0143> 糞虫

//<0144> 量産型日向
<0144> 量産型日向

//<0145> ？？
<0145> ？？

//<0146> 「だって、お前は立ってるだけで絵になる」
<0146> 「だって、お前は立ってるだけで絵になる」

//<0147> nothing
<0147> nothing

//<0148> nothing
<0148> nothing

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> 岩沢
<0152> 岩沢

//<0153> 「中身はどーあれ、見た目はイケてるってことか…」
<0153> 「中身はどーあれ、見た目はイケてるってことか…」

//<0154> ああ
<0154> ああ

//<0155> 違う
<0155> 違う

//<0156> selbtn : 
<0156> selbtn : 

//<0157> 音無
<0157> 音無

//<0158> クソ坊主
<0158> クソ坊主

//<0159> 代理人
<0159> 代理人

//<0160> 微妙すぎるイケメン
<0160> 微妙すぎるイケメン

//<0161> ロリコン
<0161> ロリコン

//<0162> メガネ仲間
<0162> メガネ仲間

//<0163> 暗算日本記録保持者
<0163> 暗算日本記録保持者

//<0164> 通り魔
<0164> 通り魔

//<0165> 記憶ナシ男
<0165> 記憶ナシ男

//<0166> 音速
<0166> 音速

//<0167> 無限
<0167> 無限

//<0168> エロ侍
<0168> エロ侍

//<0169> エロエロ団ナンバー１
<0169> エロエロ団ナンバー１

//<0170> ただのエロ少年
<0170> ただのエロ少年

//<0171> ユリブサイク
<0171> ユリブサイク

//<0172> ドピュッシー
<0172> ドピュッシー

//<0173> アメリカンエロドッグ
<0173> アメリカンエロドッグ

//<0174> ゼウス
<0174> ゼウス

//<0175> 日向markⅡ
<0175> 日向markⅡ

//<0176> 糞虫
<0176> 糞虫

//<0177> 量産型日向
<0177> 量産型日向

//<0178> ？？
<0178> ？？

//<0179> 「ああ」
<0179> 「ああ」

//<0180> nothing
<0180> nothing

//<0181> nothing
<0181> nothing

//<0182> nothing
<0182> nothing

//<0183> nothing
<0183> nothing

//<0184> nothing
<0184> nothing

//<0185> 岩沢
<0185> 岩沢

//<0186> 「驚くほど、素直に認めてくれるんだな」
<0186> 「驚くほど、素直に認めてくれるんだな」

//<0187> 音無
<0187> 音無

//<0188> クソ坊主
<0188> クソ坊主

//<0189> 代理人
<0189> 代理人

//<0190> 微妙すぎるイケメン
<0190> 微妙すぎるイケメン

//<0191> ロリコン
<0191> ロリコン

//<0192> メガネ仲間
<0192> メガネ仲間

//<0193> 暗算日本記録保持者
<0193> 暗算日本記録保持者

//<0194> 通り魔
<0194> 通り魔

//<0195> 記憶ナシ男
<0195> 記憶ナシ男

//<0196> 音速
<0196> 音速

//<0197> 無限
<0197> 無限

//<0198> エロ侍
<0198> エロ侍

//<0199> エロエロ団ナンバー１
<0199> エロエロ団ナンバー１

//<0200> ただのエロ少年
<0200> ただのエロ少年

//<0201> ユリブサイク
<0201> ユリブサイク

//<0202> ドピュッシー
<0202> ドピュッシー

//<0203> アメリカンエロドッグ
<0203> アメリカンエロドッグ

//<0204> ゼウス
<0204> ゼウス

//<0205> 日向markⅡ
<0205> 日向markⅡ

//<0206> 糞虫
<0206> 糞虫

//<0207> 量産型日向
<0207> 量産型日向

//<0208> ？？
<0208> ？？

//<0209> 「だって、実際そうだし」
<0209> 「だって、実際そうだし」

//<0210> nothing
<0210> nothing

//<0211> nothing
<0211> nothing

//<0212> nothing
<0212> nothing

//<0213> nothing
<0213> nothing

//<0214> nothing
<0214> nothing

//<0215> 岩沢
<0215> 岩沢

//<0216> 「はっ、やめてくれよ…」
<0216> 「はっ、やめてくれよ…」

//<0217> nothing
<0217> nothing

//<0218> nothing
<0218> nothing

//<0219> nothing
<0219> nothing

//<0220> nothing
<0220> nothing

//<0221> nothing
<0221> nothing

//<0222> 岩沢
<0222> 岩沢

//<0223> 「これまでこの学校で何十年も過ごしてきてるけど、そんなことを堂々と言ってのける奴なんて、初めてだぜ…」
<0223> 「これまでこの学校で何十年も過ごしてきてるけど、そんなことを堂々と言ってのける奴なんて、初めてだぜ…」

//<0224> 音無
<0224> 音無

//<0225> クソ坊主
<0225> クソ坊主

//<0226> 代理人
<0226> 代理人

//<0227> 微妙すぎるイケメン
<0227> 微妙すぎるイケメン

//<0228> ロリコン
<0228> ロリコン

//<0229> メガネ仲間
<0229> メガネ仲間

//<0230> 暗算日本記録保持者
