// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 生活指導室で、ガルデモバンドメンバーと共に、みっちりと教師に絞られた。
<0000> 生活指導室で、ガルデモバンドメンバーと共に、みっちりと教師に絞られた。

//<0001> 楽器の没収は免れた。
<0001> 楽器の没収は免れた。

//<0002> 二度と許可のないライブはしない約束と交換条件に。
<0002> 二度と許可のないライブはしない約束と交換条件に。

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> 関根
<0008> 関根
{075f} 33 // 0008

//<0009> 「まー、あたしらにとっては約束なんてあってないようなもんですよっ、げっへっへ」
<0009> 「まー、あたしらにとっては約束なんてあってないようなもんですよっ、げっへっへ」

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> ひさ子
<0019> ひさ子

//<0020> 「いや、今回ばかりはちっとは自重したほうがいいと思うぜ。な、岩沢」
<0020> 「いや、今回ばかりはちっとは自重したほうがいいと思うぜ。な、岩沢」

//<0021> nothing
<0021> nothing

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> 岩沢
<0026> 岩沢

//<0027> 「………」
<0027> 「………」

//<0028> 返事がない。別のことを考えてるようだ。
<0028> 返事がない。別のことを考えてるようだ。

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> ひさ子
<0033> ひさ子

//<0034> 「岩沢？」
<0034> 「岩沢？」

//<0035> ひさ子がもう一度呼ぶ。視界にひさ子が入ったところで、我に返る。
<0035> ひさ子がもう一度呼ぶ。視界にひさ子が入ったところで、我に返る。

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> 岩沢
<0039> 岩沢

