// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> nothing
<0000> nothing

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> 岩沢はバンド練習中、か。
<0005> 岩沢はバンド練習中、か。

//<0006> 窓から覗き見る。
<0006> 窓から覗き見る。

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> 俺は作戦実行班で、岩沢はその陽動部隊。
<0012> 俺は作戦実行班で、岩沢はその陽動部隊。

//<0013> 実際のライブは見たことがなかった。
<0013> 実際のライブは見たことがなかった。

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> 汗をかいて必死に歌う、その姿はとても綺麗だと思った。
<0019> 汗をかいて必死に歌う、その姿はとても綺麗だと思った。

//<0020> いつか観客として見られたらいいな。
<0020> いつか観客として見られたらいいな。

//<0021> nothing
<0021> nothing

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> その演奏が突然止んだ。
<0027> その演奏が突然止んだ。

//<0028> 岩沢が出てくるようだ。
<0028> 岩沢が出てくるようだ。

//<0029> もしかして俺を見つけて、演奏をやめたってことか？
<0029> もしかして俺を見つけて、演奏をやめたってことか？

//<0030> じゃ、その理由は？
<0030> じゃ、その理由は？

//<0031> 俺と会いたいから
<0031> 俺と会いたいから

//<0032> 単なる休憩
<0032> 単なる休憩

//<0033> selbtn : 
<0033> selbtn : 

//<0034> 音無
<0034> 音無

//<0035> クソ坊主
<0035> クソ坊主

//<0036> 代理人
<0036> 代理人

//<0037> 微妙すぎるイケメン
<0037> 微妙すぎるイケメン

//<0038> ロリコン
<0038> ロリコン

//<0039> メガネ仲間
<0039> メガネ仲間

//<0040> 暗算日本記録保持者
<0040> 暗算日本記録保持者

//<0041> 通り魔
<0041> 通り魔

//<0042> 記憶ナシ男
<0042> 記憶ナシ男

//<0043> 音速
<0043> 音速

//<0044> 無限
<0044> 無限

//<0045> エロ侍
<0045> エロ侍

//<0046> エロエロ団ナンバー１
<0046> エロエロ団ナンバー１

//<0047> ただのエロ少年
<0047> ただのエロ少年

//<0048> ユリブサイク
<0048> ユリブサイク

//<0049> ドピュッシー
<0049> ドピュッシー

//<0050> アメリカンエロドッグ
<0050> アメリカンエロドッグ

//<0051> ゼウス
<0051> ゼウス

//<0052> 日向markⅡ
<0052> 日向markⅡ

//<0053> 糞虫
<0053> 糞虫

//<0054> 量産型日向
<0054> 量産型日向

//<0055> ？？
<0055> ？？

//<0056> （マジかよ…そこまで俺は…岩沢にとってそういう男に…）
<0056> （マジかよ…そこまで俺は…岩沢にとってそういう男に…）

//<0057> se_wooddoor_open2
<0057> se_wooddoor_open2

//<0058> ドアが開く。
<0058> ドアが開く。

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> 岩沢
<0064> 岩沢

//<0065> 「よう、遊佐。もうそんな時間だったか」
<0065> 「よう、遊佐。もうそんな時間だったか」

//<0066> 音無
<0066> 音無

//<0067> クソ坊主
<0067> クソ坊主

//<0068> 代理人
<0068> 代理人

//<0069> 微妙すぎるイケメン
<0069> 微妙すぎるイケメン

//<0070> ロリコン
<0070> ロリコン

//<0071> メガネ仲間
<0071> メガネ仲間

