// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 素っ気なく本部を後にする岩沢を追う。
<0000> 素っ気なく本部を後にする岩沢を追う。

//<0001> 音無
<0001> 音無

//<0002> クソ坊主
<0002> クソ坊主

//<0003> 代理人
<0003> 代理人

//<0004> 微妙すぎるイケメン
<0004> 微妙すぎるイケメン

//<0005> ロリコン
<0005> ロリコン

//<0006> メガネ仲間
<0006> メガネ仲間

//<0007> 暗算日本記録保持者
<0007> 暗算日本記録保持者

//<0008> 通り魔
<0008> 通り魔

//<0009> 記憶ナシ男
<0009> 記憶ナシ男

//<0010> 音速
<0010> 音速

//<0011> 無限
<0011> 無限

//<0012> エロ侍
<0012> エロ侍

//<0013> エロエロ団ナンバー１
<0013> エロエロ団ナンバー１

//<0014> ただのエロ少年
<0014> ただのエロ少年

//<0015> ユリブサイク
<0015> ユリブサイク

//<0016> ドピュッシー
<0016> ドピュッシー

//<0017> アメリカンエロドッグ
<0017> アメリカンエロドッグ

//<0018> ゼウス
<0018> ゼウス

//<0019> 日向markⅡ
<0019> 日向markⅡ

//<0020> 糞虫
<0020> 糞虫

//<0021> 量産型日向
<0021> 量産型日向

//<0022> ？？
<0022> ？？

//<0023> 「なあ、ガルデモチームの残りのメンバーはどんな基準で選ぶんだ？」
<0023> 「なあ、ガルデモチームの残りのメンバーはどんな基準で選ぶんだ？」

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> 岩沢は足を止め、振り返る。その表情は至って冷静。
<0029> 岩沢は足を止め、振り返る。その表情は至って冷静。

//<0030> nothing
<0030> nothing

//<0031> nothing
<0031> nothing

//<0032> nothing
<0032> nothing

//<0033> nothing
<0033> nothing

//<0034> nothing
<0034> nothing

//<0035> 岩沢
<0035> 岩沢

//<0036> 「そんな真剣に考えんなよ。あたしらはあくまでも陽動部隊。つまり勝ち残ることは不可能」
<0036> 「そんな真剣に考えんなよ。あたしらはあくまでも陽動部隊。つまり勝ち残ることは不可能」

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> 岩沢
<0042> 岩沢

//<0043> 「とりあえず９人集めて、参戦して、１回でも勝ったらラッキーぐらいでいいんだよ」
<0043> 「とりあえず９人集めて、参戦して、１回でも勝ったらラッキーぐらいでいいんだよ」

//<0044> 音無
<0044> 音無

//<0045> クソ坊主
<0045> クソ坊主

//<0046> 代理人
<0046> 代理人

//<0047> 微妙すぎるイケメン
<0047> 微妙すぎるイケメン

//<0048> ロリコン
<0048> ロリコン

//<0049> メガネ仲間
<0049> メガネ仲間

//<0050> 暗算日本記録保持者
<0050> 暗算日本記録保持者

//<0051> 通り魔
<0051> 通り魔

//<0052> 記憶ナシ男
<0052> 記憶ナシ男

//<0053> 音速
<0053> 音速

//<0054> 無限
<0054> 無限

//<0055> エロ侍
<0055> エロ侍

//<0056> エロエロ団ナンバー１
<0056> エロエロ団ナンバー１

//<0057> ただのエロ少年
<0057> ただのエロ少年

//<0058> ユリブサイク
<0058> ユリブサイク

//<0059> ドピュッシー
<0059> ドピュッシー

//<0060> アメリカンエロドッグ
<0060> アメリカンエロドッグ

//<0061> ゼウス
<0061> ゼウス

//<0062> 日向markⅡ
<0062> 日向markⅡ

//<0063> 糞虫
<0063> 糞虫

//<0064> 量産型日向
<0064> 量産型日向

//<0065> ？？
<0065> ？？

//<0066> 「それは、このゲリラ作戦でガルデモチームは勝ったことがないってことか？」
<0066> 「それは、このゲリラ作戦でガルデモチームは勝ったことがないってことか？」

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> 岩沢
<0072> 岩沢

//<0073> 「ああ。一度もな」
<0073> 「ああ。一度もな」

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> nothing
<0077> nothing

//<0078> nothing
<0078> nothing

//<0079> 岩沢
<0079> 岩沢

//<0080> 「でも、永遠に続くこの世界で何度も球技大会を繰り返してきたから、うちら四人は、徐々には上手くなってるかもな」
<0080> 「でも、永遠に続くこの世界で何度も球技大会を繰り返してきたから、うちら四人は、徐々には上手くなってるかもな」

//<0081> そうか…途方もない年数をかけ、今に至るのか。
<0081> そうか…途方もない年数をかけ、今に至るのか。

//<0082> ガルデモのメンバーは、記憶がない俺よりも頼りになるんだ。
<0082> ガルデモのメンバーは、記憶がない俺よりも頼りになるんだ。

//<0083> se_wooddoor_open2
<0083> se_wooddoor_open2

//<0084> ついていくと、部室に。岩沢に続いて中に入る。
<0084> ついていくと、部室に。岩沢に続いて中に入る。

//<0085> nothing
<0085> nothing

//<0086> nothing
<0086> nothing

//<0087> nothing
<0087> nothing

//<0088> ひさ子
<0088> ひさ子

//<0089> 「なんだったんだ？」
<0089> 「なんだったんだ？」

//<0090> 岩沢
<0090> 岩沢

//<0091> 「恒例の球技大会に参戦せよ、とのことだ」
<0091> 「恒例の球技大会に参戦せよ、とのことだ」

//<0092> nothing
<0092> nothing

//<0093> nothing
<0093> nothing

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> nothing
<0096> nothing

//<0097> 入江
<0097> 入江

//<0098> 「またそんな時期になってたんですね」
<0098> 「またそんな時期になってたんですね」

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> ひさ子
<0104> ひさ子

//<0105> 「で、そいつが居るってことは、メンバーに入るのか？」
<0105> 「で、そいつが居るってことは、メンバーに入るのか？」

//<0106> 音無
<0106> 音無

//<0107> クソ坊主
<0107> クソ坊主

//<0108> 代理人
<0108> 代理人

//<0109> 微妙すぎるイケメン
<0109> 微妙すぎるイケメン

//<0110> ロリコン
<0110> ロリコン

//<0111> メガネ仲間
<0111> メガネ仲間

//<0112> 暗算日本記録保持者
<0112> 暗算日本記録保持者

//<0113> 通り魔
<0113> 通り魔

//<0114> 記憶ナシ男
<0114> 記憶ナシ男

//<0115> 音速
<0115> 音速

//<0116> 無限
<0116> 無限

//<0117> エロ侍
<0117> エロ侍

//<0118> エロエロ団ナンバー１
<0118> エロエロ団ナンバー１

//<0119> ただのエロ少年
<0119> ただのエロ少年

//<0120> ユリブサイク
<0120> ユリブサイク

//<0121> ドピュッシー
<0121> ドピュッシー

//<0122> アメリカンエロドッグ
<0122> アメリカンエロドッグ

//<0123> ゼウス
<0123> ゼウス

//<0124> 日向markⅡ
<0124> 日向markⅡ

//<0125> 糞虫
<0125> 糞虫

//<0126> 量産型日向
<0126> 量産型日向

//<0127> ？？
<0127> ？？

//<0128> 「ああ」
<0128> 「ああ」

//<0129> nothing
<0129> nothing

//<0130> nothing
<0130> nothing

//<0131> nothing
<0131> nothing

//<0132> nothing
<0132> nothing

//<0133> nothing
<0133> nothing

//<0134> ひさ子
<0134> ひさ子

//<0135> 「噂を小耳に挟んだんだけどさ…お前、ギルド降下作戦の途中で死んだろ？」
<0135> 「噂を小耳に挟んだんだけどさ…お前、ギルド降下作戦の途中で死んだろ？」

//<0136> 音無
<0136> 音無

//<0137> クソ坊主
<0137> クソ坊主

//<0138> 代理人
<0138> 代理人

//<0139> 微妙すぎるイケメン
<0139> 微妙すぎるイケメン

//<0140> ロリコン
<0140> ロリコン

//<0141> メガネ仲間
<0141> メガネ仲間

//<0142> 暗算日本記録保持者
<0142> 暗算日本記録保持者

//<0143> 通り魔
<0143> 通り魔

//<0144> 記憶ナシ男
<0144> 記憶ナシ男

//<0145> 音速
<0145> 音速

//<0146> 無限
<0146> 無限

//<0147> エロ侍
<0147> エロ侍

//<0148> エロエロ団ナンバー１
<0148> エロエロ団ナンバー１

//<0149> ただのエロ少年
<0149> ただのエロ少年

//<0150> ユリブサイク
<0150> ユリブサイク

//<0151> ドピュッシー
<0151> ドピュッシー

//<0152> アメリカンエロドッグ
<0152> アメリカンエロドッグ

//<0153> ゼウス
<0153> ゼウス

//<0154> 日向markⅡ
<0154> 日向markⅡ

//<0155> 糞虫
<0155> 糞虫

//<0156> 量産型日向
<0156> 量産型日向

//<0157> ？？
<0157> ？？

//<0158> 「それ、結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」
<0158> 「それ、結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」

//<0159> 音無
<0159> 音無

//<0160> クソ坊主
<0160> クソ坊主

//<0161> 代理人
<0161> 代理人

//<0162> 微妙すぎるイケメン
<0162> 微妙すぎるイケメン

//<0163> ロリコン
<0163> ロリコン

//<0164> メガネ仲間
<0164> メガネ仲間

//<0165> 暗算日本記録保持者
<0165> 暗算日本記録保持者

//<0166> 通り魔
<0166> 通り魔

//<0167> 記憶ナシ男
<0167> 記憶ナシ男

//<0168> 音速
<0168> 音速

//<0169> 無限
<0169> 無限

//<0170> エロ侍
<0170> エロ侍

//<0171> エロエロ団ナンバー１
<0171> エロエロ団ナンバー１

//<0172> ただのエロ少年
<0172> ただのエロ少年

//<0173> ユリブサイク
<0173> ユリブサイク

//<0174> ドピュッシー
<0174> ドピュッシー

//<0175> アメリカンエロドッグ
<0175> アメリカンエロドッグ

//<0176> ゼウス
<0176> ゼウス

//<0177> 日向markⅡ
<0177> 日向markⅡ

//<0178> 糞虫
<0178> 糞虫

//<0179> 量産型日向
<0179> 量産型日向

//<0180> ？？
<0180> ？？

//<0181> 「えーと、それは…結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」
<0181> 「えーと、それは…結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」

//<0182> 実際は最初のトラップで死んでるので、少し声が震えてしまった…。
<0182> 実際は最初のトラップで死んでるので、少し声が震えてしまった…。

//<0183> 音無
<0183> 音無

//<0184> クソ坊主
<0184> クソ坊主

//<0185> 代理人
<0185> 代理人

//<0186> 微妙すぎるイケメン
<0186> 微妙すぎるイケメン

//<0187> ロリコン
<0187> ロリコン

//<0188> メガネ仲間
<0188> メガネ仲間

//<0189> 暗算日本記録保持者
<0189> 暗算日本記録保持者

//<0190> 通り魔
<0190> 通り魔

//<0191> 記憶ナシ男
<0191> 記憶ナシ男

//<0192> 音速
<0192> 音速

//<0193> 無限
<0193> 無限

//<0194> エロ侍
<0194> エロ侍

//<0195> エロエロ団ナンバー１
<0195> エロエロ団ナンバー１

//<0196> ただのエロ少年
<0196> ただのエロ少年

//<0197> ユリブサイク
<0197> ユリブサイク

//<0198> ドピュッシー
<0198> ドピュッシー

//<0199> アメリカンエロドッグ
<0199> アメリカンエロドッグ

//<0200> ゼウス
<0200> ゼウス

//<0201> 日向markⅡ
<0201> 日向markⅡ

//<0202> 糞虫
<0202> 糞虫

//<0203> 量産型日向
<0203> 量産型日向

//<0204> ？？
<0204> ？？

//<0205> 「そ、それは…結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」
<0205> 「そ、それは…結果だけしか知らないだろ。俺は他の幹部より、頑張ったほうなんだぜ？」
