// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。
<0000> 俺は顔を洗った後、部屋に戻ってくる。まだ日向は寝ている。

//<0001> 今日は球技大会だが、戦線の制服で行くべきか、動きやすいジャージで行くべきか迷った。
<0001> 今日は球技大会だが、戦線の制服で行くべきか、動きやすいジャージで行くべきか迷った。

//<0002> 戦線としてゲリラ参加するわけだし、やっぱり制服の方がいいだろう。
<0002> 戦線としてゲリラ参加するわけだし、やっぱり制服の方がいいだろう。

//<0003> 着替えると、軽音学部の部室まで赴く。
<0003> 着替えると、軽音学部の部室まで赴く。

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> すでにガルデモの四人が集まっていた。全員、戦線の制服だった。
<0006> すでにガルデモの四人が集まっていた。全員、戦線の制服だった。

//<0007> 初めての俺からすると、どっきどきだったが、合っていてよかった…。
<0007> 初めての俺からすると、どっきどきだったが、合っていてよかった…。

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> ひさ子
<0013> ひさ子

//<0014> 「おはよ。じゃ、連中と合流するか」
<0014> 「おはよ。じゃ、連中と合流するか」

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> nothing
<0019> nothing

//<0020> 岩沢
<0020> 岩沢

//<0021> 「ああ」
<0021> 「ああ」

//<0022> みんなに続いて、外に出る。
<0022> みんなに続いて、外に出る。

//<0023> ひさ子
<0023> ひさ子

//<0024> 「雲もない晴れ渡った空。絶好の球技大会日和だなぁ…」
<0024> 「雲もない晴れ渡った空。絶好の球技大会日和だなぁ…」

//<0025> あまり嬉しくなさそうにひさ子が言う。すでに勝とういう士気がない。
<0025> あまり嬉しくなさそうにひさ子が言う。すでに勝とういう士気がない。

//<0026> 大階段の上に、山倉を始めとするＮＰＣたちが待っていた。
<0026> 大階段の上に、山倉を始めとするＮＰＣたちが待っていた。

//<0027> おはようございます！と一斉に挨拶してきた。
<0027> おはようございます！と一斉に挨拶してきた。

//<0028> 山倉
<0028> 山倉

//<0029> 「天候にも恵まれました。気合いを入れていきましょう！」
<0029> 「天候にも恵まれました。気合いを入れていきましょう！」

//<0030> ファン全員
<0030> ファン全員

//<0031> 「おう！！」
<0031> 「おう！！」

//<0032> 山倉を始めとするＮＰＣたちだけが、真剣モードになっていた。
<0032> 山倉を始めとするＮＰＣたちだけが、真剣モードになっていた。

//<0033> 山倉
<0033> 山倉

//<0034> 「では行きましょう！」
<0034> 「では行きましょう！」

//<0035> 野球場へと近づくにつれ、歓声が大きく聞こえてくる。
<0035> 野球場へと近づくにつれ、歓声が大きく聞こえてくる。

//<0036> 音無
<0036> 音無

//<0037> クソ坊主
<0037> クソ坊主

//<0038> 代理人
<0038> 代理人

//<0039> 微妙すぎるイケメン
<0039> 微妙すぎるイケメン

//<0040> ロリコン
<0040> ロリコン

//<0041> メガネ仲間
<0041> メガネ仲間

//<0042> 暗算日本記録保持者
<0042> 暗算日本記録保持者

//<0043> 通り魔
<0043> 通り魔

//<0044> 記憶ナシ男
<0044> 記憶ナシ男

//<0045> 音速
<0045> 音速

//<0046> 無限
<0046> 無限

//<0047> エロ侍
<0047> エロ侍

//<0048> エロエロ団ナンバー１
<0048> エロエロ団ナンバー１

//<0049> ただのエロ少年
<0049> ただのエロ少年

//<0050> ユリブサイク
<0050> ユリブサイク

//<0051> ドピュッシー
<0051> ドピュッシー

//<0052> アメリカンエロドッグ
<0052> アメリカンエロドッグ

//<0053> ゼウス
<0053> ゼウス

//<0054> 日向markⅡ
<0054> 日向markⅡ

//<0055> 糞虫
<0055> 糞虫

//<0056> 量産型日向
<0056> 量産型日向

//<0057> ？？
<0057> ？？

//<0058> 「すげー盛り上がってんな」
<0058> 「すげー盛り上がってんな」

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> ひさ子
<0064> ひさ子

//<0065> 「そりゃ、一般生徒たちが自分のクラスを応援するために集まってんだからな」
<0065> 「そりゃ、一般生徒たちが自分のクラスを応援するために集まってんだからな」

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> ひさ子
<0071> ひさ子

//<0072> 「マンモス校だから、一日で球技大会を終わらせるために、野球はグラウンドと野球場に分けられてるんだ」
<0072> 「マンモス校だから、一日で球技大会を終わらせるために、野球はグラウンドと野球場に分けられてるんだ」

//<0073> 音無
<0073> 音無

//<0074> クソ坊主
<0074> クソ坊主

//<0075> 代理人
<0075> 代理人

//<0076> 微妙すぎるイケメン
<0076> 微妙すぎるイケメン

//<0077> ロリコン
<0077> ロリコン

//<0078> メガネ仲間
<0078> メガネ仲間

//<0079> 暗算日本記録保持者
<0079> 暗算日本記録保持者

//<0080> 通り魔
<0080> 通り魔

//<0081> 記憶ナシ男
<0081> 記憶ナシ男

//<0082> 音速
<0082> 音速

//<0083> 無限
<0083> 無限

//<0084> エロ侍
<0084> エロ侍

//<0085> エロエロ団ナンバー１
<0085> エロエロ団ナンバー１

//<0086> ただのエロ少年
<0086> ただのエロ少年

//<0087> ユリブサイク
<0087> ユリブサイク

//<0088> ドピュッシー
<0088> ドピュッシー

//<0089> アメリカンエロドッグ
<0089> アメリカンエロドッグ

//<0090> ゼウス
<0090> ゼウス

//<0091> 日向markⅡ
<0091> 日向markⅡ

//<0092> 糞虫
<0092> 糞虫

//<0093> 量産型日向
<0093> 量産型日向

//<0094> ？？
<0094> ？？

//<0095> 「へぇ…」
<0095> 「へぇ…」

//<0096> nothing
<0096> nothing

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> ひさ子
<0101> ひさ子

//<0102> 「勝ち続けていれば、野球場のほうでプレイし続けられる。ようは、野球場のほうが対戦チームが強い」
<0102> 「勝ち続けていれば、野球場のほうでプレイし続けられる。ようは、野球場のほうが対戦チームが強い」

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
