// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> この時間は、作曲中のはず。
<0000> この時間は、作曲中のはず。

//<0001> やっぱり、そっとしておこう…。
<0001> やっぱり、そっとしておこう…。

//<0002> 音無
<0002> 音無

//<0003> クソ坊主
<0003> クソ坊主

//<0004> 代理人
<0004> 代理人

//<0005> 微妙すぎるイケメン
<0005> 微妙すぎるイケメン

//<0006> ロリコン
<0006> ロリコン

//<0007> メガネ仲間
<0007> メガネ仲間

//<0008> 暗算日本記録保持者
<0008> 暗算日本記録保持者

//<0009> 通り魔
<0009> 通り魔

//<0010> 記憶ナシ男
<0010> 記憶ナシ男

//<0011> 音速
<0011> 音速

//<0012> 無限
<0012> 無限

//<0013> エロ侍
<0013> エロ侍

//<0014> エロエロ団ナンバー１
<0014> エロエロ団ナンバー１

//<0015> ただのエロ少年
<0015> ただのエロ少年

//<0016> ユリブサイク
<0016> ユリブサイク

//<0017> ドピュッシー
<0017> ドピュッシー

//<0018> アメリカンエロドッグ
<0018> アメリカンエロドッグ

//<0019> ゼウス
<0019> ゼウス

//<0020> 日向markⅡ
<0020> 日向markⅡ

//<0021> 糞虫
<0021> 糞虫

//<0022> 量産型日向
<0022> 量産型日向

//<0023> ？？
<0023> ？？

//<0024> （でも、俺は岩沢からギターを借りて、記憶にない超技巧派ギタリストだった記憶を取り戻すんだ！）
<0024> （でも、俺は岩沢からギターを借りて、記憶にない超技巧派ギタリストだった記憶を取り戻すんだ！）

//<0025> 部屋に入る。
<0025> 部屋に入る。

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> nothing
<0030> nothing

//<0031> 岩沢
<0031> 岩沢

//<0032> 「ふんふんふ～ん…」
<0032> 「ふんふんふ～ん…」

//<0033> 相変わらず、作曲に夢中で俺に気づかない。
<0033> 相変わらず、作曲に夢中で俺に気づかない。

//<0034> 横に座り、その肩をぽんと叩く。
<0034> 横に座り、その肩をぽんと叩く。

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> 岩沢
<0040> 岩沢

//<0041> 「っ！？」
<0041> 「っ！？」

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> 岩沢
<0047> 岩沢

//<0048> 「て、またあんたか…」
<0048> 「て、またあんたか…」

//<0049> 音無
<0049> 音無

//<0050> クソ坊主
<0050> クソ坊主

//<0051> 代理人
<0051> 代理人

//<0052> 微妙すぎるイケメン
<0052> 微妙すぎるイケメン

//<0053> ロリコン
<0053> ロリコン

//<0054> メガネ仲間
<0054> メガネ仲間

//<0055> 暗算日本記録保持者
<0055> 暗算日本記録保持者

//<0056> 通り魔
<0056> 通り魔

//<0057> 記憶ナシ男
<0057> 記憶ナシ男

//<0058> 音速
<0058> 音速

//<0059> 無限
<0059> 無限

//<0060> エロ侍
<0060> エロ侍

//<0061> エロエロ団ナンバー１
<0061> エロエロ団ナンバー１

//<0062> ただのエロ少年
<0062> ただのエロ少年

//<0063> ユリブサイク
<0063> ユリブサイク

//<0064> ドピュッシー
<0064> ドピュッシー

//<0065> アメリカンエロドッグ
<0065> アメリカンエロドッグ

//<0066> ゼウス
<0066> ゼウス

//<0067> 日向markⅡ
<0067> 日向markⅡ

//<0068> 糞虫
<0068> 糞虫

//<0069> 量産型日向
<0069> 量産型日向

//<0070> ？？
<0070> ？？

//<0071> 「邪魔してわりぃーな」
<0071> 「邪魔してわりぃーな」

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> 岩沢
<0077> 岩沢

//<0078> 「別にいいけどさ、何か用か？」
<0078> 「別にいいけどさ、何か用か？」

//<0079> 音無
<0079> 音無

//<0080> クソ坊主
<0080> クソ坊主

//<0081> 代理人
<0081> 代理人

//<0082> 微妙すぎるイケメン
<0082> 微妙すぎるイケメン

//<0083> ロリコン
<0083> ロリコン

//<0084> メガネ仲間
<0084> メガネ仲間

//<0085> 暗算日本記録保持者
<0085> 暗算日本記録保持者

//<0086> 通り魔
<0086> 通り魔

//<0087> 記憶ナシ男
<0087> 記憶ナシ男

//<0088> 音速
<0088> 音速

//<0089> 無限
<0089> 無限

//<0090> エロ侍
<0090> エロ侍

//<0091> エロエロ団ナンバー１
<0091> エロエロ団ナンバー１

//<0092> ただのエロ少年
<0092> ただのエロ少年

//<0093> ユリブサイク
<0093> ユリブサイク

//<0094> ドピュッシー
<0094> ドピュッシー

//<0095> アメリカンエロドッグ
<0095> アメリカンエロドッグ

//<0096> ゼウス
<0096> ゼウス

//<0097> 日向markⅡ
<0097> 日向markⅡ

//<0098> 糞虫
<0098> 糞虫

//<0099> 量産型日向
<0099> 量産型日向

//<0100> ？？
<0100> ？？

//<0101> 「そのギター、借りていいか」
<0101> 「そのギター、借りていいか」

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> 岩沢
