// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。
<0000> ようやく、オペレーションも終わり、これで何の気兼ねなく岩沢とまた会えるはずだ。

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> 空き教室に赴くと、それまでのように、ギターをつま弾きながら作曲をしていた。
<0006> 空き教室に赴くと、それまでのように、ギターをつま弾きながら作曲をしていた。

//<0007> その姿を見るだけで、俺は緊張してしまう。
<0007> その姿を見るだけで、俺は緊張してしまう。

//<0008> 関根の言葉が思い出されるからだ。
<0008> 関根の言葉が思い出されるからだ。

//<0009> 白
<0009> 白

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> 関根
<0014> 関根

//<0015> 「いいデートスポットをお教えしやしょう」
<0015> 「いいデートスポットをお教えしやしょう」

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> nothing
<0018> nothing

//<0019> nothing
<0019> nothing

//<0020> nothing
<0020> nothing

//<0021> 関根
<0021> 関根

//<0022> 「学習棟と食堂の間、橋を渡った先にお花畑があるんですよ」
<0022> 「学習棟と食堂の間、橋を渡った先にお花畑があるんですよ」

//<0023> そう。今日はデートに誘うんだ。
<0023> そう。今日はデートに誘うんだ。

//<0024> しかし、オペレーションの結果がどうなったのかはまだわかっていない。
<0024> しかし、オペレーションの結果がどうなったのかはまだわかっていない。

//<0025> いいのだろうか、こんな時にそんな浮かれた行動を取って…。
<0025> いいのだろうか、こんな時にそんな浮かれた行動を取って…。

//<0026> でも、この時を逃したら、次のオペレーションでまた岩沢としばらく会えなくなるかもしれない。
<0026> でも、この時を逃したら、次のオペレーションでまた岩沢としばらく会えなくなるかもしれない。

//<0027> 音無
<0027> 音無

//<0028> クソ坊主
<0028> クソ坊主

//<0029> 代理人
<0029> 代理人

//<0030> 微妙すぎるイケメン
<0030> 微妙すぎるイケメン

//<0031> ロリコン
<0031> ロリコン

//<0032> メガネ仲間
<0032> メガネ仲間

//<0033> 暗算日本記録保持者
<0033> 暗算日本記録保持者

//<0034> 通り魔
<0034> 通り魔

//<0035> 記憶ナシ男
<0035> 記憶ナシ男

//<0036> 音速
<0036> 音速

//<0037> 無限
<0037> 無限

//<0038> エロ侍
<0038> エロ侍

//<0039> エロエロ団ナンバー１
<0039> エロエロ団ナンバー１

//<0040> ただのエロ少年
<0040> ただのエロ少年

//<0041> ユリブサイク
<0041> ユリブサイク

//<0042> ドピュッシー
<0042> ドピュッシー

//<0043> アメリカンエロドッグ
<0043> アメリカンエロドッグ

//<0044> ゼウス
<0044> ゼウス

//<0045> 日向markⅡ
<0045> 日向markⅡ

//<0046> 糞虫
<0046> 糞虫

//<0047> 量産型日向
<0047> 量産型日向

//<0048> ？？
<0048> ？？

//<0049> （行こう）
<0049> （行こう）

//<0050> se_wooddoor_open2
<0050> se_wooddoor_open2

//<0051> そう決心し、俺はそっと教室に入っていき、椅子を引いて、隣に座った。
<0051> そう決心し、俺はそっと教室に入っていき、椅子を引いて、隣に座った。

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> nothing
<0054> nothing

//<0055> nothing
<0055> nothing

//<0056> nothing
<0056> nothing

//<0057> 気づいた岩沢がギターを弾く手を止めた。
<0057> 気づいた岩沢がギターを弾く手を止めた。

//<0058> 音無
<0058> 音無

//<0059> クソ坊主
<0059> クソ坊主

//<0060> 代理人
<0060> 代理人

//<0061> 微妙すぎるイケメン
<0061> 微妙すぎるイケメン

//<0062> ロリコン
<0062> ロリコン

//<0063> メガネ仲間
<0063> メガネ仲間

//<0064> 暗算日本記録保持者
<0064> 暗算日本記録保持者

//<0065> 通り魔
<0065> 通り魔

