// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 食べ物の話題
<0000> 食べ物の話題

//<0001> 音の話題
<0001> 音の話題

//<0002> 動物の話題
<0002> 動物の話題

//<0003> 大人の話題
<0003> 大人の話題

//<0004> メンタルヘルスの話題
<0004> メンタルヘルスの話題

//<0005> 医学の話題
<0005> 医学の話題

//<0006> 生理作用の話題
<0006> 生理作用の話題

//<0007> 音速の話題
<0007> 音速の話題

//<0008> 植物の話
<0008> 植物の話

//<0009> 滑らない話
<0009> 滑らない話

//<0010> 
<0010> 

//<0011> selbtn : 
<0011> selbtn : 

//<0012> 音無
<0012> 音無

//<0013> クソ坊主
<0013> クソ坊主

//<0014> 代理人
<0014> 代理人

//<0015> 微妙すぎるイケメン
<0015> 微妙すぎるイケメン

//<0016> ロリコン
<0016> ロリコン

//<0017> メガネ仲間
<0017> メガネ仲間

//<0018> 暗算日本記録保持者
<0018> 暗算日本記録保持者

//<0019> 通り魔
<0019> 通り魔

//<0020> 記憶ナシ男
<0020> 記憶ナシ男

//<0021> 音速
<0021> 音速

//<0022> 無限
<0022> 無限

//<0023> エロ侍
<0023> エロ侍

//<0024> エロエロ団ナンバー１
<0024> エロエロ団ナンバー１

//<0025> ただのエロ少年
<0025> ただのエロ少年

//<0026> ユリブサイク
<0026> ユリブサイク

//<0027> ドピュッシー
<0027> ドピュッシー

//<0028> アメリカンエロドッグ
<0028> アメリカンエロドッグ

//<0029> ゼウス
<0029> ゼウス

//<0030> 日向markⅡ
<0030> 日向markⅡ

//<0031> 糞虫
<0031> 糞虫

//<0032> 量産型日向
<0032> 量産型日向

//<0033> ？？
<0033> ？？

//<0034> 「岩沢は、好物ってあるか？」
<0034> 「岩沢は、好物ってあるか？」

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> 岩沢
<0040> 岩沢

//<0041> 「食べ物かい？　特にはないね」
<0041> 「食べ物かい？　特にはないね」

//<0042> 音無
<0042> 音無

//<0043> クソ坊主
<0043> クソ坊主

//<0044> 代理人
<0044> 代理人

//<0045> 微妙すぎるイケメン
<0045> 微妙すぎるイケメン

//<0046> ロリコン
<0046> ロリコン

//<0047> メガネ仲間
<0047> メガネ仲間

//<0048> 暗算日本記録保持者
<0048> 暗算日本記録保持者

//<0049> 通り魔
<0049> 通り魔

//<0050> 記憶ナシ男
<0050> 記憶ナシ男

//<0051> 音速
<0051> 音速

//<0052> 無限
<0052> 無限

//<0053> エロ侍
<0053> エロ侍

//<0054> エロエロ団ナンバー１
<0054> エロエロ団ナンバー１

//<0055> ただのエロ少年
<0055> ただのエロ少年

//<0056> ユリブサイク
<0056> ユリブサイク

//<0057> ドピュッシー
<0057> ドピュッシー

//<0058> アメリカンエロドッグ
<0058> アメリカンエロドッグ

//<0059> ゼウス
<0059> ゼウス

//<0060> 日向markⅡ
<0060> 日向markⅡ

//<0061> 糞虫
<0061> 糞虫

//<0062> 量産型日向
<0062> 量産型日向

//<0063> ？？
<0063> ？？

//<0064> （え…？　まったく食いついてこない…この話題で大丈夫か？）
<0064> （え…？　まったく食いついてこない…この話題で大丈夫か？）

//<0065> とりあえず話を進めることにする。
<0065> とりあえず話を進めることにする。

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> 音無
<0071> 音無

//<0072> クソ坊主
<0072> クソ坊主

//<0073> 代理人
<0073> 代理人

//<0074> 微妙すぎるイケメン
<0074> 微妙すぎるイケメン

//<0075> ロリコン
<0075> ロリコン

//<0076> メガネ仲間
<0076> メガネ仲間

//<0077> 暗算日本記録保持者
<0077> 暗算日本記録保持者

//<0078> 通り魔
<0078> 通り魔

//<0079> 記憶ナシ男
<0079> 記憶ナシ男

//<0080> 音速
<0080> 音速

//<0081> 無限
<0081> 無限

//<0082> エロ侍
<0082> エロ侍

//<0083> エロエロ団ナンバー１
<0083> エロエロ団ナンバー１

//<0084> ただのエロ少年
<0084> ただのエロ少年

//<0085> ユリブサイク
<0085> ユリブサイク

//<0086> ドピュッシー
<0086> ドピュッシー

//<0087> アメリカンエロドッグ
<0087> アメリカンエロドッグ

//<0088> ゼウス
<0088> ゼウス

//<0089> 日向markⅡ
<0089> 日向markⅡ

//<0090> 糞虫
<0090> 糞虫

//<0091> 量産型日向
<0091> 量産型日向

//<0092> ？？
<0092> ？？

