// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音がかすかに漏れている。窓越しに覗くと、ひさ子がひとりでギターを練習しているようだ。
<0000> 音がかすかに漏れている。窓越しに覗くと、ひさ子がひとりでギターを練習しているようだ。

//<0001> se_knock_glass
<0001> se_knock_glass

//<0002> とんとんと、そのガラスを叩く。
<0002> とんとんと、そのガラスを叩く。

//<0003> se_wooddoor_open2
<0003> se_wooddoor_open2

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> ひさ子は演奏をやめ、ドアを開いてくれる。
<0009> ひさ子は演奏をやめ、ドアを開いてくれる。

//<0010> 音無
<0010> 音無

//<0011> クソ坊主
<0011> クソ坊主

//<0012> 代理人
<0012> 代理人

//<0013> 微妙すぎるイケメン
<0013> 微妙すぎるイケメン

//<0014> ロリコン
<0014> ロリコン

//<0015> メガネ仲間
<0015> メガネ仲間

//<0016> 暗算日本記録保持者
<0016> 暗算日本記録保持者

//<0017> 通り魔
<0017> 通り魔

//<0018> 記憶ナシ男
<0018> 記憶ナシ男

//<0019> 音速
<0019> 音速

//<0020> 無限
<0020> 無限

//<0021> エロ侍
<0021> エロ侍

//<0022> エロエロ団ナンバー１
<0022> エロエロ団ナンバー１

//<0023> ただのエロ少年
<0023> ただのエロ少年

//<0024> ユリブサイク
<0024> ユリブサイク

//<0025> ドピュッシー
<0025> ドピュッシー

//<0026> アメリカンエロドッグ
<0026> アメリカンエロドッグ

//<0027> ゼウス
<0027> ゼウス

//<0028> 日向markⅡ
<0028> 日向markⅡ

//<0029> 糞虫
<0029> 糞虫

//<0030> 量産型日向
<0030> 量産型日向

//<0031> ？？
<0031> ？？

//<0032> 「よぉ」
<0032> 「よぉ」

//<0033> 挨拶をする。
<0033> 挨拶をする。

//<0034> nothing
<0034> nothing

//<0035> nothing
<0035> nothing

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> ひさ子
<0039> ひさ子

//<0040> 「どうしたんだい？」
<0040> 「どうしたんだい？」

//<0041> 音無
<0041> 音無

//<0042> クソ坊主
<0042> クソ坊主

//<0043> 代理人
<0043> 代理人

//<0044> 微妙すぎるイケメン
<0044> 微妙すぎるイケメン

//<0045> ロリコン
<0045> ロリコン

//<0046> メガネ仲間
<0046> メガネ仲間

//<0047> 暗算日本記録保持者
<0047> 暗算日本記録保持者

//<0048> 通り魔
<0048> 通り魔

//<0049> 記憶ナシ男
<0049> 記憶ナシ男

//<0050> 音速
<0050> 音速

//<0051> 無限
<0051> 無限

//<0052> エロ侍
<0052> エロ侍

//<0053> エロエロ団ナンバー１
<0053> エロエロ団ナンバー１

//<0054> ただのエロ少年
<0054> ただのエロ少年

//<0055> ユリブサイク
<0055> ユリブサイク

//<0056> ドピュッシー
<0056> ドピュッシー

//<0057> アメリカンエロドッグ
<0057> アメリカンエロドッグ

//<0058> ゼウス
<0058> ゼウス

//<0059> 日向markⅡ
<0059> 日向markⅡ

//<0060> 糞虫
<0060> 糞虫

//<0061> 量産型日向
<0061> 量産型日向

//<0062> ？？
<0062> ？？

//<0063> 「いや、特に用事はないが、会いに来たら悪いか？」
<0063> 「いや、特に用事はないが、会いに来たら悪いか？」

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> ひさ子
<0069> ひさ子

//<0070> 「あんたか。やけに岩沢にご執心のようじゃないか」
<0070> 「あんたか。やけに岩沢にご執心のようじゃないか」

//<0071> 音無
<0071> 音無

//<0072> クソ坊主
<0072> クソ坊主

//<0073> 代理人
<0073> 代理人

//<0074> 微妙すぎるイケメン
<0074> 微妙すぎるイケメン

//<0075> ロリコン
<0075> ロリコン

//<0076> メガネ仲間
<0076> メガネ仲間

//<0077> 暗算日本記録保持者
<0077> 暗算日本記録保持者

//<0078> 通り魔
<0078> 通り魔

//<0079> 記憶ナシ男
<0079> 記憶ナシ男

//<0080> 音速
<0080> 音速

//<0081> 無限
<0081> 無限

//<0082> エロ侍
<0082> エロ侍

//<0083> エロエロ団ナンバー１
<0083> エロエロ団ナンバー１

//<0084> ただのエロ少年
<0084> ただのエロ少年

//<0085> ユリブサイク
<0085> ユリブサイク

//<0086> ドピュッシー
<0086> ドピュッシー

//<0087> アメリカンエロドッグ
<0087> アメリカンエロドッグ

//<0088> ゼウス
<0088> ゼウス

//<0089> 日向markⅡ
<0089> 日向markⅡ

//<0090> 糞虫
<0090> 糞虫

//<0091> 量産型日向
<0091> 量産型日向

//<0092> ？？
<0092> ？？

//<0093> 「いや、そんなつもりはないけど」
<0093> 「いや、そんなつもりはないけど」

//<0094> nothing
<0094> nothing

//<0095> nothing
<0095> nothing

//<0096> nothing
<0096> nothing

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> ひさ子
<0099> ひさ子

//<0100> 「あいつと音楽以外の話ができるなんて尊敬するぜ。少ない話し相手だ。これからも頼むよ」
<0100> 「あいつと音楽以外の話ができるなんて尊敬するぜ。少ない話し相手だ。これからも頼むよ」

//<0101> 了解
<0101> 了解

//<0102> ひさ子にも興味がある
<0102> ひさ子にも興味がある

//<0103> selbtn : 
<0103> selbtn : 

//<0104> 音無
<0104> 音無

//<0105> クソ坊主
<0105> クソ坊主

//<0106> 代理人
<0106> 代理人

//<0107> 微妙すぎるイケメン
<0107> 微妙すぎるイケメン

//<0108> ロリコン
<0108> ロリコン

//<0109> メガネ仲間
<0109> メガネ仲間

//<0110> 暗算日本記録保持者
<0110> 暗算日本記録保持者

//<0111> 通り魔
<0111> 通り魔

//<0112> 記憶ナシ男
<0112> 記憶ナシ男

//<0113> 音速
<0113> 音速

//<0114> 無限
<0114> 無限

//<0115> エロ侍
<0115> エロ侍

//<0116> エロエロ団ナンバー１
<0116> エロエロ団ナンバー１

//<0117> ただのエロ少年
<0117> ただのエロ少年

//<0118> ユリブサイク
<0118> ユリブサイク

//<0119> ドピュッシー
<0119> ドピュッシー

//<0120> アメリカンエロドッグ
<0120> アメリカンエロドッグ

//<0121> ゼウス
<0121> ゼウス

//<0122> 日向markⅡ
<0122> 日向markⅡ

//<0123> 糞虫
<0123> 糞虫

//<0124> 量産型日向
<0124> 量産型日向

//<0125> ？？
<0125> ？？

//<0126> 「了解」
<0126> 「了解」

//<0127> 音無
<0127> 音無

//<0128> クソ坊主
<0128> クソ坊主

//<0129> 代理人
<0129> 代理人

//<0130> 微妙すぎるイケメン
<0130> 微妙すぎるイケメン

//<0131> ロリコン
<0131> ロリコン

//<0132> メガネ仲間
<0132> メガネ仲間

//<0133> 暗算日本記録保持者
<0133> 暗算日本記録保持者

//<0134> 通り魔
<0134> 通り魔

//<0135> 記憶ナシ男
<0135> 記憶ナシ男

//<0136> 音速
<0136> 音速

//<0137> 無限
<0137> 無限

//<0138> エロ侍
<0138> エロ侍

//<0139> エロエロ団ナンバー１
<0139> エロエロ団ナンバー１

//<0140> ただのエロ少年
<0140> ただのエロ少年

//<0141> ユリブサイク
<0141> ユリブサイク

//<0142> ドピュッシー
<0142> ドピュッシー

//<0143> アメリカンエロドッグ
<0143> アメリカンエロドッグ

//<0144> ゼウス
<0144> ゼウス

//<0145> 日向markⅡ
<0145> 日向markⅡ

//<0146> 糞虫
<0146> 糞虫

//<0147> 量産型日向
<0147> 量産型日向

//<0148> ？？
<0148> ？？

//<0149> 「で、あんたとは話が出来るのか？」
<0149> 「で、あんたとは話が出来るのか？」

//<0150> 音無
<0150> 音無

//<0151> クソ坊主
<0151> クソ坊主

//<0152> 代理人
<0152> 代理人

//<0153> 微妙すぎるイケメン
<0153> 微妙すぎるイケメン

//<0154> ロリコン
<0154> ロリコン

//<0155> メガネ仲間
<0155> メガネ仲間

//<0156> 暗算日本記録保持者
<0156> 暗算日本記録保持者

//<0157> 通り魔
<0157> 通り魔

//<0158> 記憶ナシ男
<0158> 記憶ナシ男

//<0159> 音速
<0159> 音速

//<0160> 無限
<0160> 無限

//<0161> エロ侍
<0161> エロ侍

//<0162> エロエロ団ナンバー１
<0162> エロエロ団ナンバー１

//<0163> ただのエロ少年
<0163> ただのエロ少年

//<0164> ユリブサイク
<0164> ユリブサイク

//<0165> ドピュッシー
<0165> ドピュッシー

//<0166> アメリカンエロドッグ
<0166> アメリカンエロドッグ

//<0167> ゼウス
<0167> ゼウス

//<0168> 日向markⅡ
<0168> 日向markⅡ

//<0169> 糞虫
<0169> 糞虫

//<0170> 量産型日向
<0170> 量産型日向

//<0171> ？？
<0171> ？？

//<0172> 「あんたにも興味がある」
<0172> 「あんたにも興味がある」

//<0173> nothing
<0173> nothing

//<0174> nothing
<0174> nothing

//<0175> nothing
<0175> nothing

//<0176> nothing
<0176> nothing

//<0177> nothing
<0177> nothing

//<0178> ひさ子
<0178> ひさ子

//<0179> 「どうしたんだい？」
<0179> 「どうしたんだい？」

//<0180> 音無
<0180> 音無

//<0181> クソ坊主
<0181> クソ坊主

//<0182> 代理人
<0182> 代理人

//<0183> 微妙すぎるイケメン
<0183> 微妙すぎるイケメン

//<0184> ロリコン
<0184> ロリコン

//<0185> メガネ仲間
<0185> メガネ仲間

//<0186> 暗算日本記録保持者
<0186> 暗算日本記録保持者

//<0187> 通り魔
<0187> 通り魔

//<0188> 記憶ナシ男
<0188> 記憶ナシ男

//<0189> 音速
<0189> 音速

//<0190> 無限
<0190> 無限

//<0191> エロ侍
<0191> エロ侍

//<0192> エロエロ団ナンバー１
<0192> エロエロ団ナンバー１

//<0193> ただのエロ少年
<0193> ただのエロ少年

//<0194> ユリブサイク
<0194> ユリブサイク

//<0195> ドピュッシー
<0195> ドピュッシー

//<0196> アメリカンエロドッグ
<0196> アメリカンエロドッグ

//<0197> ゼウス
<0197> ゼウス

//<0198> 日向markⅡ
<0198> 日向markⅡ

//<0199> 糞虫
<0199> 糞虫

//<0200> 量産型日向
<0200> 量産型日向

//<0201> ？？
<0201> ？？

//<0202> 「いや、特に用事はないが、会いに来たら悪いか？」
<0202> 「いや、特に用事はないが、会いに来たら悪いか？」

//<0203> nothing
<0203> nothing

//<0204> nothing
<0204> nothing

//<0205> nothing
<0205> nothing

//<0206> nothing
<0206> nothing

//<0207> nothing
<0207> nothing

//<0208> ひさ子
<0208> ひさ子

//<0209> 「なんだ、あんた、ナンパ師だったりするのか？」
<0209> 「なんだ、あんた、ナンパ師だったりするのか？」

//<0210> 音無
<0210> 音無

//<0211> クソ坊主
<0211> クソ坊主

//<0212> 代理人
<0212> 代理人

//<0213> 微妙すぎるイケメン
<0213> 微妙すぎるイケメン

//<0214> ロリコン
<0214> ロリコン

//<0215> メガネ仲間
<0215> メガネ仲間

//<0216> 暗算日本記録保持者
<0216> 暗算日本記録保持者

//<0217> 通り魔
<0217> 通り魔

//<0218> 記憶ナシ男
<0218> 記憶ナシ男

//<0219> 音速
<0219> 音速

//<0220> 無限
<0220> 無限

//<0221> エロ侍
<0221> エロ侍

//<0222> エロエロ団ナンバー１
<0222> エロエロ団ナンバー１

//<0223> ただのエロ少年
<0223> ただのエロ少年

//<0224> ユリブサイク
<0224> ユリブサイク

//<0225> ドピュッシー
<0225> ドピュッシー

//<0226> アメリカンエロドッグ
<0226> アメリカンエロドッグ

//<0227> ゼウス
<0227> ゼウス

//<0228> 日向markⅡ
<0228> 日向markⅡ

//<0229> 糞虫
<0229> 糞虫

//<0230> 量産型日向
<0230> 量産型日向

//<0231> ？？
<0231> ？？

//<0232> 「冗談でも違うと信じたいな」
<0232> 「冗談でも違うと信じたいな」

//<0233> nothing
<0233> nothing

//<0234> nothing
<0234> nothing

//<0235> nothing
<0235> nothing

//<0236> nothing
<0236> nothing

//<0237> nothing
<0237> nothing

//<0238> ひさ子
<0238> ひさ子

//<0239> 「そっか。まだ記憶を思い出せてなかったか」
<0239> 「そっか。まだ記憶を思い出せてなかったか」

//<0240> 音無
<0240> 音無

//<0241> クソ坊主
<0241> クソ坊主

//<0242> 代理人
<0242> 代理人

//<0243> 微妙すぎるイケメン
<0243> 微妙すぎるイケメン

//<0244> ロリコン
<0244> ロリコン

//<0245> メガネ仲間
<0245> メガネ仲間

//<0246> 暗算日本記録保持者
<0246> 暗算日本記録保持者

//<0247> 通り魔
<0247> 通り魔

//<0248> 記憶ナシ男
<0248> 記憶ナシ男

//<0249> 音速
<0249> 音速

//<0250> 無限
