// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 俺はひさ子の言葉を思い出した。
<0000> 俺はひさ子の言葉を思い出した。

//<0001> 白
<0001> 白

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> ひさ子
<0007> ひさ子

//<0008> 「岩沢が居なかったら、こんな世界でもあたしは気がヘンになっちまってただろうな」
<0008> 「岩沢が居なかったら、こんな世界でもあたしは気がヘンになっちまってただろうな」

//<0009> nothing
<0009> nothing

//<0010> 
<0010> 

//<0011> 
<0011> 

//<0012> nothing
<0012> nothing

//<0013> その岩沢が消えた。
<0013> その岩沢が消えた。

//<0014> なら、あいつの元に駆けつけなくては。
<0014> なら、あいつの元に駆けつけなくては。

//<0015> 音無
<0015> 音無

//<0016> クソ坊主
<0016> クソ坊主

//<0017> 代理人
<0017> 代理人

//<0018> 微妙すぎるイケメン
<0018> 微妙すぎるイケメン

//<0019> ロリコン
<0019> ロリコン

//<0020> メガネ仲間
<0020> メガネ仲間

//<0021> 暗算日本記録保持者
<0021> 暗算日本記録保持者

//<0022> 通り魔
<0022> 通り魔

//<0023> 記憶ナシ男
<0023> 記憶ナシ男

//<0024> 音速
<0024> 音速

//<0025> 無限
<0025> 無限

//<0026> エロ侍
<0026> エロ侍

//<0027> エロエロ団ナンバー１
<0027> エロエロ団ナンバー１

//<0028> ただのエロ少年
<0028> ただのエロ少年

//<0029> ユリブサイク
<0029> ユリブサイク

//<0030> ドピュッシー
<0030> ドピュッシー

//<0031> アメリカンエロドッグ
<0031> アメリカンエロドッグ

//<0032> ゼウス
<0032> ゼウス

//<0033> 日向markⅡ
<0033> 日向markⅡ

//<0034> 糞虫
<0034> 糞虫

//<0035> 量産型日向
<0035> 量産型日向

//<0036> ？？
<0036> ？？

//<0037> 「すまん、日向！　お腹の調子が悪い！　朝からずっとくだしているんだ！　トイレに行くから、お前は寮に戻っていてくれ！」
<0037> 「すまん、日向！　お腹の調子が悪い！　朝からずっとくだしているんだ！　トイレに行くから、お前は寮に戻っていてくれ！」

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> 日向
<0043> 日向

//<0044> 男Ｂ
<0044> 男Ｂ

//<0045> エロエロ団総帥
<0045> エロエロ団総帥

//<0046> イケチン
<0046> イケチン

//<0047> ホモ太
<0047> ホモ太

//<0048> ひなチン
<0048> ひなチン

//<0049> 秀樹
<0049> 秀樹

//<0050> 男子生徒
<0050> 男子生徒

//<0051> ？？
<0051> ？？

//<0052> 「え？」
<0052> 「え？」

//<0053> se_wooddoor_open
<0053> se_wooddoor_open

//<0054> そう嘘をつき、本部から出た。
<0054> そう嘘をつき、本部から出た。

//<0055> ひたすら駆ける。
<0055> ひたすら駆ける。

//<0056> nothing
<0056> nothing

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> 練習に使われていた部室には、関根と入江のふたりだけが居た。
<0060> 練習に使われていた部室には、関根と入江のふたりだけが居た。

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> 関根
<0065> 関根

//<0066> 「音無さん、ひさ子先輩をっ…！」
<0066> 「音無さん、ひさ子先輩をっ…！」

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> 俺を見るなり、関根のほうが悲壮な顔で告げた。
<0072> 俺を見るなり、関根のほうが悲壮な顔で告げた。

//<0073> 音無
<0073> 音無

//<0074> クソ坊主
<0074> クソ坊主

//<0075> 代理人
<0075> 代理人

//<0076> 微妙すぎるイケメン
<0076> 微妙すぎるイケメン

//<0077> ロリコン
<0077> ロリコン

//<0078> メガネ仲間
<0078> メガネ仲間

//<0079> 暗算日本記録保持者
<0079> 暗算日本記録保持者

//<0080> 通り魔
<0080> 通り魔

//<0081> 記憶ナシ男
<0081> 記憶ナシ男

//<0082> 音速
<0082> 音速

//<0083> 無限
<0083> 無限

//<0084> エロ侍
<0084> エロ侍

//<0085> エロエロ団ナンバー１
<0085> エロエロ団ナンバー１

//<0086> ただのエロ少年
<0086> ただのエロ少年

//<0087> ユリブサイク
<0087> ユリブサイク

//<0088> ドピュッシー
<0088> ドピュッシー

//<0089> アメリカンエロドッグ
<0089> アメリカンエロドッグ

//<0090> ゼウス
<0090> ゼウス

//<0091> 日向markⅡ
<0091> 日向markⅡ

//<0092> 糞虫
<0092> 糞虫

