// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ジャージに着替えて野球場に向かう。
<0000> ジャージに着替えて野球場に向かう。

//<0001> まずはふたり、ストレッチを行った。
<0001> まずはふたり、ストレッチを行った。

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> 日向
<0007> 日向

//<0008> 男Ｂ
<0008> 男Ｂ

//<0009> エロエロ団総帥
<0009> エロエロ団総帥

//<0010> イケチン
<0010> イケチン

//<0011> ホモ太
<0011> ホモ太

//<0012> ひなチン
<0012> ひなチン

//<0013> 秀樹
<0013> 秀樹

//<0014> 男子生徒
<0014> 男子生徒

//<0015> ？？
<0015> ？？

//<0016> 「じゃ、ただのエロ少年、ランニングいきますか」
<0016> 「じゃ、ただのエロ少年、ランニングいきますか」

//<0017> 日向
<0017> 日向

//<0018> 男Ｂ
<0018> 男Ｂ

//<0019> エロエロ団総帥
<0019> エロエロ団総帥

//<0020> イケチン
<0020> イケチン

//<0021> ホモ太
<0021> ホモ太

//<0022> ひなチン
<0022> ひなチン

//<0023> 秀樹
<0023> 秀樹

//<0024> 男子生徒
<0024> 男子生徒

//<0025> ？？
<0025> ？？

//<0026> 「じゃ、音無、ランニングいきますか」
<0026> 「じゃ、音無、ランニングいきますか」

//<0027> 音無
<0027> 音無

//<0028> クソ坊主
<0028> クソ坊主

//<0029> 代理人
<0029> 代理人

//<0030> 微妙すぎるイケメン
<0030> 微妙すぎるイケメン

//<0031> ロリコン
<0031> ロリコン

//<0032> メガネ仲間
<0032> メガネ仲間

//<0033> 暗算日本記録保持者
<0033> 暗算日本記録保持者

//<0034> 通り魔
<0034> 通り魔

//<0035> 記憶ナシ男
<0035> 記憶ナシ男

//<0036> 音速
<0036> 音速

//<0037> 無限
<0037> 無限

//<0038> エロ侍
<0038> エロ侍

//<0039> エロエロ団ナンバー１
<0039> エロエロ団ナンバー１

//<0040> ただのエロ少年
<0040> ただのエロ少年

//<0041> ユリブサイク
<0041> ユリブサイク

//<0042> ドピュッシー
<0042> ドピュッシー

//<0043> アメリカンエロドッグ
<0043> アメリカンエロドッグ

//<0044> ゼウス
<0044> ゼウス

//<0045> 日向markⅡ
<0045> 日向markⅡ

//<0046> 糞虫
<0046> 糞虫

//<0047> 量産型日向
<0047> 量産型日向

//<0048> ？？
<0048> ？？

//<0049> 「ああ」
<0049> 「ああ」

//<0050> se_run_ground
<0050> se_run_ground

//<0051> 日向の後について、野球場を走る。相変わらず速いピッチで、ついていくのがやっとだ。
<0051> 日向の後について、野球場を走る。相変わらず速いピッチで、ついていくのがやっとだ。

//<0052> 音無
<0052> 音無

//<0053> クソ坊主
<0053> クソ坊主

//<0054> 代理人
<0054> 代理人

//<0055> 微妙すぎるイケメン
<0055> 微妙すぎるイケメン

//<0056> ロリコン
<0056> ロリコン

//<0057> メガネ仲間
<0057> メガネ仲間

//<0058> 暗算日本記録保持者
<0058> 暗算日本記録保持者

//<0059> 通り魔
<0059> 通り魔

//<0060> 記憶ナシ男
<0060> 記憶ナシ男

//<0061> 音速
<0061> 音速

//<0062> 無限
<0062> 無限

//<0063> エロ侍
<0063> エロ侍

//<0064> エロエロ団ナンバー１
<0064> エロエロ団ナンバー１

//<0065> ただのエロ少年
<0065> ただのエロ少年

//<0066> ユリブサイク
<0066> ユリブサイク

//<0067> ドピュッシー
<0067> ドピュッシー

//<0068> アメリカンエロドッグ
<0068> アメリカンエロドッグ

//<0069> ゼウス
<0069> ゼウス

//<0070> 日向markⅡ
<0070> 日向markⅡ

//<0071> 糞虫
<0071> 糞虫

//<0072> 量産型日向
<0072> 量産型日向

//<0073> ？？
<0073> ？？

//<0074> 「ぜー…ぜー…」
<0074> 「ぜー…ぜー…」

//<0075> すぐ息が上がり、どんどん日向から離れていく。
<0075> すぐ息が上がり、どんどん日向から離れていく。

//<0076> nothing
<0076> nothing

//<0077> nothing
<0077> nothing

//<0078> nothing
<0078> nothing

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> 日向
<0081> 日向

//<0082> 男Ｂ
<0082> 男Ｂ

//<0083> エロエロ団総帥
<0083> エロエロ団総帥

//<0084> イケチン
<0084> イケチン

//<0085> ホモ太
<0085> ホモ太

//<0086> ひなチン
<0086> ひなチン

//<0087> 秀樹
<0087> 秀樹

//<0088> 男子生徒
<0088> 男子生徒

//<0089> ？？
<0089> ？？

//<0090> 「気にすんな！　ただのエロ少年！　エロってろ！　間違えた！　休んでろ！」
<0090> 「気にすんな！　ただのエロ少年！　エロってろ！　間違えた！　休んでろ！」

//<0091> 日向
<0091> 日向

//<0092> 男Ｂ
<0092> 男Ｂ

//<0093> エロエロ団総帥
<0093> エロエロ団総帥

//<0094> イケチン
<0094> イケチン

//<0095> ホモ太
<0095> ホモ太

//<0096> ひなチン
<0096> ひなチン

//<0097> 秀樹
<0097> 秀樹

//<0098> 男子生徒
<0098> 男子生徒

//<0099> ？？
<0099> ？？

//<0100> 「気にすんな！　音無！　休んでろ！」
<0100> 「気にすんな！　音無！　休んでろ！」

//<0101> nothing
<0101> nothing

//<0102> nothing
<0102> nothing

//<0103> nothing
<0103> nothing

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

