// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> se_kazekiri3
<0000> se_kazekiri3

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> 野田
<0006> 野田

//<0007> 男Ｆ
<0007> 男Ｆ

//<0008> イケパイ
<0008> イケパイ

//<0009> 男
<0009> 男

//<0010> ？？
<0010> ？？

//<0011> 「はいっ！　はいっ！　はいっ！　せやあああぁぁーーー！！」
<0011> 「はいっ！　はいっ！　はいっ！　せやあああぁぁーーー！！」

//<0012> 野田が上半身裸で、ハルバートを片手で振り続けている。
<0012> 野田が上半身裸で、ハルバートを片手で振り続けている。

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> nothing
<0016> nothing

//<0017> nothing
<0017> nothing

//<0018> 野田
<0018> 野田

//<0019> 男Ｆ
<0019> 男Ｆ

//<0020> イケパイ
<0020> イケパイ

//<0021> 男
<0021> 男

//<0022> ？？
<0022> ？？

//<0023> 「ん？」
<0023> 「ん？」

//<0024> 現れた俺に気づく。
<0024> 現れた俺に気づく。

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> nothing
<0028> nothing

//<0029> nothing
<0029> nothing

//<0030> 野田
<0030> 野田

//<0031> 男Ｆ
<0031> 男Ｆ

//<0032> イケパイ
<0032> イケパイ

//<0033> 男
<0033> 男

//<0034> ？？
<0034> ？？

//<0035> 「お前か…なんの用だ」
<0035> 「お前か…なんの用だ」

//<0036> 一緒に訓練をしたい
<0036> 一緒に訓練をしたい

//<0037> 気まぐれ
<0037> 気まぐれ

//<0038> selbtn : 
<0038> selbtn : 

//<0039> 音無
<0039> 音無

//<0040> クソ坊主
<0040> クソ坊主

//<0041> 代理人
<0041> 代理人

//<0042> 微妙すぎるイケメン
<0042> 微妙すぎるイケメン

//<0043> ロリコン
<0043> ロリコン

//<0044> メガネ仲間
<0044> メガネ仲間

//<0045> 暗算日本記録保持者
<0045> 暗算日本記録保持者

//<0046> 通り魔
<0046> 通り魔

//<0047> 記憶ナシ男
<0047> 記憶ナシ男

//<0048> 音速
<0048> 音速

//<0049> 無限
<0049> 無限

//<0050> エロ侍
<0050> エロ侍

//<0051> エロエロ団ナンバー１
<0051> エロエロ団ナンバー１

//<0052> ただのエロ少年
<0052> ただのエロ少年

//<0053> ユリブサイク
<0053> ユリブサイク

//<0054> ドピュッシー
<0054> ドピュッシー

//<0055> アメリカンエロドッグ
<0055> アメリカンエロドッグ

//<0056> ゼウス
<0056> ゼウス

//<0057> 日向markⅡ
<0057> 日向markⅡ

//<0058> 糞虫
<0058> 糞虫

//<0059> 量産型日向
<0059> 量産型日向

//<0060> ？？
<0060> ？？

//<0061> 「一緒に訓練をしたい」
<0061> 「一緒に訓練をしたい」

//<0062> nothing
<0062> nothing

//<0063> nothing
<0063> nothing

//<0064> nothing
<0064> nothing

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> 野田
<0067> 野田

//<0068> 男Ｆ
<0068> 男Ｆ

//<0069> イケパイ
<0069> イケパイ

//<0070> 男
<0070> 男

//<0071> ？？
<0071> ？？

//<0072> 「はぁ？　なぜお前なんかと」
<0072> 「はぁ？　なぜお前なんかと」

//<0073> 音無
<0073> 音無

//<0074> クソ坊主
<0074> クソ坊主

//<0075> 代理人
<0075> 代理人

//<0076> 微妙すぎるイケメン
<0076> 微妙すぎるイケメン

//<0077> ロリコン
<0077> ロリコン

//<0078> メガネ仲間
<0078> メガネ仲間

//<0079> 暗算日本記録保持者
<0079> 暗算日本記録保持者

//<0080> 通り魔
<0080> 通り魔

//<0081> 記憶ナシ男
<0081> 記憶ナシ男

//<0082> 音速
<0082> 音速

//<0083> 無限
