// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> いつもの訓練場所、川の岸にまでやってくる。
<0000> いつもの訓練場所、川の岸にまでやってくる。

//<0001> その間、ずっと無言だった野田が俺を振り返る。その表情は実にシリアスだ。ただ口の両端から血を流し続けている。
<0001> その間、ずっと無言だった野田が俺を振り返る。その表情は実にシリアスだ。ただ口の両端から血を流し続けている。

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> 野田
<0007> 野田

//<0008> 男Ｆ
<0008> 男Ｆ

//<0009> イケパイ
<0009> イケパイ

//<0010> 男
<0010> 男

//<0011> ？？
<0011> ？？

//<0012> 「はほっておいて、なんだは、ひとつひつもんひてもいいは」
<0012> 「はほっておいて、なんだは、ひとつひつもんひてもいいは」

//<0013> 音無
<0013> 音無

//<0014> クソ坊主
<0014> クソ坊主

//<0015> 代理人
<0015> 代理人

//<0016> 微妙すぎるイケメン
<0016> 微妙すぎるイケメン

//<0017> ロリコン
<0017> ロリコン

//<0018> メガネ仲間
<0018> メガネ仲間

//<0019> 暗算日本記録保持者
<0019> 暗算日本記録保持者

//<0020> 通り魔
<0020> 通り魔

//<0021> 記憶ナシ男
<0021> 記憶ナシ男

//<0022> 音速
<0022> 音速

//<0023> 無限
<0023> 無限

//<0024> エロ侍
<0024> エロ侍

//<0025> エロエロ団ナンバー１
<0025> エロエロ団ナンバー１

//<0026> ただのエロ少年
<0026> ただのエロ少年

//<0027> ユリブサイク
<0027> ユリブサイク

//<0028> ドピュッシー
<0028> ドピュッシー

//<0029> アメリカンエロドッグ
<0029> アメリカンエロドッグ

//<0030> ゼウス
<0030> ゼウス

//<0031> 日向markⅡ
<0031> 日向markⅡ

//<0032> 糞虫
<0032> 糞虫

//<0033> 量産型日向
<0033> 量産型日向

//<0034> ？？
<0034> ？？

//<0035> 「もちろん」
<0035> 「もちろん」

//<0036> nothing
<0036> nothing

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> 野田
<0041> 野田

//<0042> 男Ｆ
<0042> 男Ｆ

//<0043> イケパイ
<0043> イケパイ

//<0044> 男
<0044> 男

//<0045> ？？
<0045> ？？

//<0046> 「なら、とわへてもらおう…」
<0046> 「なら、とわへてもらおう…」

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> nothing
<0049> nothing

//<0050> nothing
<0050> nothing

//<0051> nothing
<0051> nothing

//<0052> 野田
<0052> 野田

//<0053> 男Ｆ
<0053> 男Ｆ

//<0054> イケパイ
<0054> イケパイ

//<0055> 男
<0055> 男

//<0056> ？？
<0056> ？？

//<0057> 「どうひて、ほほまでおれにつひあえるんだ…」
<0057> 「どうひて、ほほまでおれにつひあえるんだ…」

//<0058> 好きだから
<0058> 好きだから

//<0059> 気まぐれ
<0059> 気まぐれ

//<0060> selbtn : 
<0060> selbtn : 

//<0061> 音無
<0061> 音無

//<0062> クソ坊主
<0062> クソ坊主

//<0063> 代理人
<0063> 代理人

//<0064> 微妙すぎるイケメン
<0064> 微妙すぎるイケメン

//<0065> ロリコン
<0065> ロリコン

//<0066> メガネ仲間
<0066> メガネ仲間

//<0067> 暗算日本記録保持者
<0067> 暗算日本記録保持者

//<0068> 通り魔
<0068> 通り魔

//<0069> 記憶ナシ男
<0069> 記憶ナシ男

//<0070> 音速
<0070> 音速

//<0071> 無限
<0071> 無限

//<0072> エロ侍
<0072> エロ侍

//<0073> エロエロ団ナンバー１
<0073> エロエロ団ナンバー１

//<0074> ただのエロ少年
<0074> ただのエロ少年

//<0075> ユリブサイク
<0075> ユリブサイク

//<0076> ドピュッシー
<0076> ドピュッシー

//<0077> アメリカンエロドッグ
<0077> アメリカンエロドッグ

//<0078> ゼウス
<0078> ゼウス

//<0079> 日向markⅡ
<0079> 日向markⅡ

//<0080> 糞虫
<0080> 糞虫

//<0081> 量産型日向
<0081> 量産型日向

//<0082> ？？
<0082> ？？

//<0083> 「ほんなのひまってるひゃねーは。ふひだからだよ。はっ、んなほといわへんなよっ」
<0083> 「ほんなのひまってるひゃねーは。ふひだからだよ。はっ、んなほといわへんなよっ」

//<0084> nothing
<0084> nothing

//<0085> nothing
<0085> nothing

//<0086> nothing
<0086> nothing

//<0087> nothing
<0087> nothing

//<0088> nothing
<0088> nothing

//<0089> 野田
<0089> 野田

//<0090> 男Ｆ
<0090> 男Ｆ

//<0091> イケパイ
<0091> イケパイ

//<0092> 男
<0092> 男

//<0093> ？？
<0093> ？？

//<0094> 「…！？」
<0094> 「…！？」

//<0095> 野田は俺の言葉に衝撃を覚えたようだ。
<0095> 野田は俺の言葉に衝撃を覚えたようだ。

//<0096> nothing
<0096> nothing

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> 野田
<0101> 野田

//<0102> 男Ｆ
<0102> 男Ｆ

//<0103> イケパイ
<0103> イケパイ

//<0104> 男
<0104> 男

//<0105> ？？
<0105> ？？

//<0106> 「それは…もひはひて…ともだちっていみは…？」
<0106> 「それは…もひはひて…ともだちっていみは…？」

//<0107> ああ
<0107> ああ

//<0108> 違う
<0108> 違う

//<0109> selbtn : 
