// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- EPISODE.Matsushita
<0000> -1st beat- EPISODE.Matsushita

//<0001> 松下
<0001> 松下

//<0002> 「百二！　百三！　百四！」
<0002> 「百二！　百三！　百四！」

//<0003> 松下
<0003> 松下

//<0004> 「百二！　百三！　百四！」
<0004> 「百二！　百三！　百四！」

//<0005> 打ち込みを続ける松下五段の姿を影から見つめる。
<0005> 打ち込みを続ける松下五段の姿を影から見つめる。

//<0006> やはり、生前の悔いも柔道絡みなのだろうか…。
<0006> やはり、生前の悔いも柔道絡みなのだろうか…。

//<0007> ダイエットにも成功して、肉体的にはいつでも卒業できそうなものだが、やはり心の中に重いものを抱えているのだろう。
<0007> ダイエットにも成功して、肉体的にはいつでも卒業できそうなものだが、やはり心の中に重いものを抱えているのだろう。

//<0008> 松下
<0008> 松下

//<0009> 「百九十八！　百九十九！　二百！」
<0009> 「百九十八！　百九十九！　二百！」

//<0010> 松下
<0010> 松下

//<0011> 「ひゅう…」
<0011> 「ひゅう…」

//<0012> 松下
<0012> 松下

//<0013> 「百九十八！　百九十九！　二百！」
<0013> 「百九十八！　百九十九！　二百！」

//<0014> 松下
<0014> 松下

//<0015> 「ふぅ…」
<0015> 「ふぅ…」

//<0016> 松下が休憩に入る。そこへ俺が現れる。
<0016> 松下が休憩に入る。そこへ俺が現れる。

//<0017> 音無
<0017> 音無

//<0018> クソ坊主
<0018> クソ坊主

//<0019> 代理人
<0019> 代理人

//<0020> 微妙すぎるイケメン
<0020> 微妙すぎるイケメン

//<0021> ロリコン
<0021> ロリコン

//<0022> メガネ仲間
<0022> メガネ仲間

//<0023> 暗算日本記録保持者
<0023> 暗算日本記録保持者

//<0024> 通り魔
<0024> 通り魔

//<0025> 記憶ナシ男
<0025> 記憶ナシ男

//<0026> 音速
<0026> 音速

//<0027> 無限
<0027> 無限

//<0028> エロ侍
<0028> エロ侍

//<0029> エロエロ団ナンバー１
<0029> エロエロ団ナンバー１

//<0030> ただのエロ少年
<0030> ただのエロ少年

//<0031> ユリブサイク
<0031> ユリブサイク

