// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 傾斜がかった、森へ踏み入る。
<0000> 傾斜がかった、森へ踏み入る。

//<0001> しばらく歩くと、開けた場所に出た。
<0001> しばらく歩くと、開けた場所に出た。

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> 松下
<0007> 松下

//<0008> 「…ひゃくじゅうさん！　…ひゃくじゅうよん！」
<0008> 「…ひゃくじゅうさん！　…ひゃくじゅうよん！」

//<0009> 巨木に帯を巻きつけ、それを使って背負いの打ち込みを延々と続けている柔道着を着た松下五段の姿が。
<0009> 巨木に帯を巻きつけ、それを使って背負いの打ち込みを延々と続けている柔道着を着た松下五段の姿が。

//<0010> 日向
<0010> 日向

//<0011> 男Ｂ
<0011> 男Ｂ

//<0012> エロエロ団総帥
<0012> エロエロ団総帥

//<0013> イケチン
<0013> イケチン

//<0014> ホモ太
<0014> ホモ太

//<0015> ひなチン
<0015> ひなチン

//<0016> 秀樹
<0016> 秀樹

//<0017> 男子生徒
<0017> 男子生徒

//<0018> ？？
<0018> ？？

//<0019> 「よう、松下五段！」
<0019> 「よう、松下五段！」

//<0020> nothing
<0020> nothing

//<0021> nothing
<0021> nothing

//<0022> nothing
<0022> nothing

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> 松下
<0025> 松下

//<0026> 「ん？　なんの用だ？」
<0026> 「ん？　なんの用だ？」

//<0027> 日向
<0027> 日向

//<0028> 男Ｂ
<0028> 男Ｂ

//<0029> エロエロ団総帥
<0029> エロエロ団総帥

//<0030> イケチン
<0030> イケチン

//<0031> ホモ太
<0031> ホモ太

//<0032> ひなチン
<0032> ひなチン

//<0033> 秀樹
<0033> 秀樹

//<0034> 男子生徒
<0034> 男子生徒

//<0035> ？？
<0035> ？？

//<0036> 「今、こいつをいろんな場所に案内してる最中なんだ」
<0036> 「今、こいつをいろんな場所に案内してる最中なんだ」

//<0037> nothing
<0037> nothing

//<0038> nothing
<0038> nothing

//<0039> nothing
<0039> nothing

//<0040> nothing
<0040> nothing

//<0041> nothing
<0041> nothing

//<0042> 松下
<0042> 松下

//<0043> 「新入りの、えーと…クソ坊主か」
<0043> 「新入りの、えーと…クソ坊主か」

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> nothing
<0047> nothing

//<0048> nothing
<0048> nothing

//<0049> 松下
<0049> 松下

//<0050> 「新入りの、えーと…代理人か」
<0050> 「新入りの、えーと…代理人か」

//<0051> nothing
<0051> nothing

//<0052> nothing
<0052> nothing

//<0053> nothing
<0053> nothing

//<0054> nothing
<0054> nothing

//<0055> nothing
<0055> nothing

//<0056> 松下
<0056> 松下

//<0057> 「新入りの、えーと…微妙すぎるイケメンか」
<0057> 「新入りの、えーと…微妙すぎるイケメンか」

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> nothing
<0062> nothing

//<0063> 松下
<0063> 松下

//<0064> 「新入りの、えーと…ロリコンか」
<0064> 「新入りの、えーと…ロリコンか」

//<0065> nothing
<0065> nothing

//<0066> nothing
<0066> nothing

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> 松下
<0070> 松下

//<0071> 「新入りの、えーと…メガネ仲間か」
<0071> 「新入りの、えーと…メガネ仲間か」

//<0072> nothing
<0072> nothing

//<0073> nothing
<0073> nothing

//<0074> nothing
<0074> nothing

//<0075> nothing
<0075> nothing

//<0076> nothing
<0076> nothing

//<0077> 松下
<0077> 松下

//<0078> 「新入りの、あーーー…」
<0078> 「新入りの、あーーー…」

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> nothing
<0081> nothing

//<0082> nothing
<0082> nothing

//<0083> nothing
<0083> nothing

//<0084> 日向
<0084> 日向

//<0085> 男Ｂ
<0085> 男Ｂ

//<0086> エロエロ団総帥
<0086> エロエロ団総帥

//<0087> イケチン
<0087> イケチン

//<0088> ホモ太
<0088> ホモ太

//<0089> ひなチン
<0089> ひなチン

//<0090> 秀樹
<0090> 秀樹

//<0091> 男子生徒
<0091> 男子生徒

//<0092> ？？
<0092> ？？

//<0093> 「日本暗算記録保持者だよ」
<0093> 「日本暗算記録保持者だよ」

//<0094> 音無
<0094> 音無

//<0095> クソ坊主
<0095> クソ坊主

//<0096> 代理人
<0096> 代理人

//<0097> 微妙すぎるイケメン
<0097> 微妙すぎるイケメン

//<0098> ロリコン
<0098> ロリコン

//<0099> メガネ仲間
<0099> メガネ仲間

//<0100> 暗算日本記録保持者
<0100> 暗算日本記録保持者

//<0101> 通り魔
<0101> 通り魔

//<0102> 記憶ナシ男
<0102> 記憶ナシ男

//<0103> 音速
<0103> 音速

//<0104> 無限
<0104> 無限

//<0105> エロ侍
<0105> エロ侍

//<0106> エロエロ団ナンバー１
<0106> エロエロ団ナンバー１

//<0107> ただのエロ少年
<0107> ただのエロ少年

//<0108> ユリブサイク
<0108> ユリブサイク

//<0109> ドピュッシー
<0109> ドピュッシー

//<0110> アメリカンエロドッグ
<0110> アメリカンエロドッグ

//<0111> ゼウス
<0111> ゼウス

//<0112> 日向markⅡ
<0112> 日向markⅡ

//<0113> 糞虫
<0113> 糞虫

//<0114> 量産型日向
<0114> 量産型日向

//<0115> ？？
<0115> ？？

//<0116> 「違う。暗算日本記録保持者だ」
<0116> 「違う。暗算日本記録保持者だ」

//<0117> nothing
<0117> nothing

//<0118> nothing
<0118> nothing

//<0119> nothing
<0119> nothing

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> 日向
<0122> 日向

//<0123> 男Ｂ
<0123> 男Ｂ

//<0124> エロエロ団総帥
<0124> エロエロ団総帥

//<0125> イケチン
<0125> イケチン

//<0126> ホモ太
