// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。
<0000> 打ち込みをしていた松下五段が俺の気配に気づき、振り返る。

//<0001> nothing
<0001> nothing

//<0002> nothing
<0002> nothing

//<0003> nothing
<0003> nothing

//<0004> nothing
<0004> nothing

//<0005> nothing
<0005> nothing

//<0006> 松下
<0006> 松下

//<0007> 「ほう、懲りずにまた来たか」
<0007> 「ほう、懲りずにまた来たか」

//<0008> ぶっちゃけ懲りた
<0008> ぶっちゃけ懲りた

//<0009> そういうわけではない
<0009> そういうわけではない

//<0010> selbtn : 
<0010> selbtn : 

//<0011> 音無
<0011> 音無

//<0012> クソ坊主
<0012> クソ坊主

//<0013> 代理人
<0013> 代理人

//<0014> 微妙すぎるイケメン
<0014> 微妙すぎるイケメン

//<0015> ロリコン
<0015> ロリコン

//<0016> メガネ仲間
<0016> メガネ仲間

//<0017> 暗算日本記録保持者
<0017> 暗算日本記録保持者

//<0018> 通り魔
<0018> 通り魔

//<0019> 記憶ナシ男
<0019> 記憶ナシ男

//<0020> 音速
<0020> 音速

//<0021> 無限
<0021> 無限

//<0022> エロ侍
<0022> エロ侍

//<0023> エロエロ団ナンバー１
<0023> エロエロ団ナンバー１

//<0024> ただのエロ少年
<0024> ただのエロ少年

//<0025> ユリブサイク
<0025> ユリブサイク

//<0026> ドピュッシー
<0026> ドピュッシー

//<0027> アメリカンエロドッグ
<0027> アメリカンエロドッグ

//<0028> ゼウス
<0028> ゼウス

//<0029> 日向markⅡ
<0029> 日向markⅡ

//<0030> 糞虫
<0030> 糞虫

//<0031> 量産型日向
<0031> 量産型日向

//<0032> ？？
<0032> ？？

//<0033> 「ぶっちゃけ懲りた」
<0033> 「ぶっちゃけ懲りた」

//<0034> 音無
<0034> 音無

//<0035> クソ坊主
<0035> クソ坊主

//<0036> 代理人
<0036> 代理人

//<0037> 微妙すぎるイケメン
<0037> 微妙すぎるイケメン

//<0038> ロリコン
<0038> ロリコン

//<0039> メガネ仲間
<0039> メガネ仲間

//<0040> 暗算日本記録保持者
<0040> 暗算日本記録保持者

//<0041> 通り魔
<0041> 通り魔

//<0042> 記憶ナシ男
<0042> 記憶ナシ男

//<0043> 音速
<0043> 音速

//<0044> 無限
<0044> 無限

//<0045> エロ侍
<0045> エロ侍

//<0046> エロエロ団ナンバー１
<0046> エロエロ団ナンバー１

//<0047> ただのエロ少年
<0047> ただのエロ少年

//<0048> ユリブサイク
<0048> ユリブサイク

//<0049> ドピュッシー
<0049> ドピュッシー

//<0050> アメリカンエロドッグ
<0050> アメリカンエロドッグ

//<0051> ゼウス
<0051> ゼウス

//<0052> 日向markⅡ
<0052> 日向markⅡ

//<0053> 糞虫
<0053> 糞虫

//<0054> 量産型日向
<0054> 量産型日向

//<0055> ？？
<0055> ？？

//<0056> 「だから、もうここにはもう、二度と来ない」
<0056> 「だから、もうここにはもう、二度と来ない」

//<0057> nothing
<0057> nothing

//<0058> nothing
<0058> nothing

//<0059> nothing
<0059> nothing

//<0060> nothing
<0060> nothing

//<0061> nothing
<0061> nothing

//<0062> 松下
<0062> 松下

//<0063> 「ふむ。致し方あるまい…」
<0063> 「ふむ。致し方あるまい…」

//<0064> その表情は悲しみの色を帯びていた。
<0064> その表情は悲しみの色を帯びていた。

//<0065> 二度と来ないなんて、言い過ぎたか…。
<0065> 二度と来ないなんて、言い過ぎたか…。

//<0066> でも、会うたびに怪我を負わされているのも事実。
<0066> でも、会うたびに怪我を負わされているのも事実。

//<0067> 非情に何も言わず、俺はその場から立ち去った。
<0067> 非情に何も言わず、俺はその場から立ち去った。

//<0068> 音無
<0068> 音無

//<0069> クソ坊主
<0069> クソ坊主

//<0070> 代理人
<0070> 代理人

//<0071> 微妙すぎるイケメン
<0071> 微妙すぎるイケメン

//<0072> ロリコン
<0072> ロリコン

//<0073> メガネ仲間
