// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 音無
<0000> 音無

//<0001> クソ坊主
<0001> クソ坊主

//<0002> 代理人
<0002> 代理人

//<0003> 微妙すぎるイケメン
<0003> 微妙すぎるイケメン

//<0004> ロリコン
<0004> ロリコン

//<0005> メガネ仲間
<0005> メガネ仲間

//<0006> 暗算日本記録保持者
<0006> 暗算日本記録保持者

//<0007> 通り魔
<0007> 通り魔

//<0008> 記憶ナシ男
<0008> 記憶ナシ男

//<0009> 音速
<0009> 音速

//<0010> 無限
<0010> 無限

//<0011> エロ侍
<0011> エロ侍

//<0012> エロエロ団ナンバー１
<0012> エロエロ団ナンバー１

//<0013> ただのエロ少年
<0013> ただのエロ少年

//<0014> ユリブサイク
<0014> ユリブサイク

//<0015> ドピュッシー
<0015> ドピュッシー

//<0016> アメリカンエロドッグ
<0016> アメリカンエロドッグ

//<0017> ゼウス
<0017> ゼウス

//<0018> 日向markⅡ
<0018> 日向markⅡ

//<0019> 糞虫
<0019> 糞虫

//<0020> 量産型日向
<0020> 量産型日向

//<0021> ？？
<0021> ？？

//<0022> 「よう」
<0022> 「よう」

//<0023> nothing
<0023> nothing

//<0024> nothing
<0024> nothing

//<0025> nothing
<0025> nothing

//<0026> nothing
<0026> nothing

//<0027> nothing
<0027> nothing

//<0028> 松下
<0028> 松下

//<0029> 「お？　いい目をしているな。また会話をしにきたか」
<0029> 「お？　いい目をしているな。また会話をしにきたか」

//<0030> 音無
<0030> 音無

//<0031> クソ坊主
<0031> クソ坊主

//<0032> 代理人
<0032> 代理人

//<0033> 微妙すぎるイケメン
<0033> 微妙すぎるイケメン

//<0034> ロリコン
<0034> ロリコン

//<0035> メガネ仲間
<0035> メガネ仲間

//<0036> 暗算日本記録保持者
<0036> 暗算日本記録保持者

//<0037> 通り魔
<0037> 通り魔

//<0038> 記憶ナシ男
<0038> 記憶ナシ男

//<0039> 音速
<0039> 音速

//<0040> 無限
<0040> 無限

//<0041> エロ侍
<0041> エロ侍

//<0042> エロエロ団ナンバー１
<0042> エロエロ団ナンバー１

//<0043> ただのエロ少年
<0043> ただのエロ少年

//<0044> ユリブサイク
<0044> ユリブサイク

//<0045> ドピュッシー
<0045> ドピュッシー

//<0046> アメリカンエロドッグ
<0046> アメリカンエロドッグ

//<0047> ゼウス
<0047> ゼウス

//<0048> 日向markⅡ
<0048> 日向markⅡ

//<0049> 糞虫
<0049> 糞虫

//<0050> 量産型日向
<0050> 量産型日向

//<0051> ？？
<0051> ？？

//<0052> 「ああ、よろしく頼む」
<0052> 「ああ、よろしく頼む」

//<0053> 音無
<0053> 音無

//<0054> クソ坊主
<0054> クソ坊主

//<0055> 代理人
<0055> 代理人

//<0056> 微妙すぎるイケメン
<0056> 微妙すぎるイケメン

//<0057> ロリコン
<0057> ロリコン

//<0058> メガネ仲間
<0058> メガネ仲間

//<0059> 暗算日本記録保持者
<0059> 暗算日本記録保持者

//<0060> 通り魔
<0060> 通り魔

//<0061> 記憶ナシ男
<0061> 記憶ナシ男

//<0062> 音速
<0062> 音速

//<0063> 無限
<0063> 無限

//<0064> エロ侍
<0064> エロ侍

//<0065> エロエロ団ナンバー１
<0065> エロエロ団ナンバー１

//<0066> ただのエロ少年
<0066> ただのエロ少年

//<0067> ユリブサイク
<0067> ユリブサイク

//<0068> ドピュッシー
<0068> ドピュッシー

//<0069> アメリカンエロドッグ
<0069> アメリカンエロドッグ

//<0070> ゼウス
<0070> ゼウス

//<0071> 日向markⅡ
<0071> 日向markⅡ

//<0072> 糞虫
<0072> 糞虫

//<0073> 量産型日向
<0073> 量産型日向

//<0074> ？？
<0074> ？？

//<0075> 「よう」
<0075> 「よう」

//<0076> nothing
<0076> nothing

//<0077> nothing
<0077> nothing

//<0078> nothing
<0078> nothing

//<0079> nothing
<0079> nothing

//<0080> nothing
<0080> nothing

//<0081> 松下
<0081> 松下

//<0082> 「ほう、また会話をしにきたか」
<0082> 「ほう、また会話をしにきたか」

//<0083> 音無
<0083> 音無

//<0084> クソ坊主
<0084> クソ坊主

//<0085> 代理人
<0085> 代理人

//<0086> 微妙すぎるイケメン
<0086> 微妙すぎるイケメン

//<0087> ロリコン
<0087> ロリコン

//<0088> メガネ仲間
<0088> メガネ仲間

//<0089> 暗算日本記録保持者
<0089> 暗算日本記録保持者

//<0090> 通り魔
<0090> 通り魔

//<0091> 記憶ナシ男
<0091> 記憶ナシ男

//<0092> 音速
<0092> 音速

//<0093> 無限
<0093> 無限

//<0094> エロ侍
<0094> エロ侍

//<0095> エロエロ団ナンバー１
<0095> エロエロ団ナンバー１

//<0096> ただのエロ少年
<0096> ただのエロ少年

//<0097> ユリブサイク
<0097> ユリブサイク

//<0098> ドピュッシー
<0098> ドピュッシー

//<0099> アメリカンエロドッグ
<0099> アメリカンエロドッグ

//<0100> ゼウス
<0100> ゼウス

//<0101> 日向markⅡ
<0101> 日向markⅡ

//<0102> 糞虫
<0102> 糞虫

//<0103> 量産型日向
<0103> 量産型日向

//<0104> ？？
<0104> ？？

//<0105> 「ああ」
<0105> 「ああ」

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

//<0110> nothing
<0110> nothing

//<0111> 松下
<0111> 松下

//<0112> 「いい返事だ。次は受け身を教えよう」
<0112> 「いい返事だ。次は受け身を教えよう」

//<0113> 音無
<0113> 音無

//<0114> クソ坊主
<0114> クソ坊主

//<0115> 代理人
<0115> 代理人

//<0116> 微妙すぎるイケメン
<0116> 微妙すぎるイケメン

//<0117> ロリコン
<0117> ロリコン

//<0118> メガネ仲間
<0118> メガネ仲間

//<0119> 暗算日本記録保持者
<0119> 暗算日本記録保持者

//<0120> 通り魔
