// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 人の声のようなものが聞こてくる。
<0000> 人の声のようなものが聞こてくる。

//<0001> …ひゃくじゅうさん！　…ひゃくじゅうよん！
<0001> …ひゃくじゅうさん！　…ひゃくじゅうよん！

//<0002> 一瞬松下だと思ったが、なんだか声が別人のようだ。
<0002> 一瞬松下だと思ったが、なんだか声が別人のようだ。

//<0003> 広場に出ると…。
<0003> 広場に出ると…。

//<0004> nothing
<0004> nothing

//<0005> 
<0005> 

//<0006> 
<0006> 

//<0007> nothing
<0007> nothing

//<0008> 柔道着で打ち込みを続ける長身のイケメンが居た。
<0008> 柔道着で打ち込みを続ける長身のイケメンが居た。

//<0009> nothing
<0009> nothing

//<0010> nothing
<0010> nothing

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> 音無
<0014> 音無

//<0015> クソ坊主
<0015> クソ坊主

//<0016> 代理人
<0016> 代理人

//<0017> 微妙すぎるイケメン
<0017> 微妙すぎるイケメン

//<0018> ロリコン
<0018> ロリコン

//<0019> メガネ仲間
<0019> メガネ仲間

//<0020> 暗算日本記録保持者
<0020> 暗算日本記録保持者

//<0021> 通り魔
<0021> 通り魔

//<0022> 記憶ナシ男
<0022> 記憶ナシ男

//<0023> 音速
<0023> 音速

//<0024> 無限
<0024> 無限

//<0025> エロ侍
<0025> エロ侍

//<0026> エロエロ団ナンバー１
<0026> エロエロ団ナンバー１

//<0027> ただのエロ少年
<0027> ただのエロ少年

//<0028> ユリブサイク
<0028> ユリブサイク

//<0029> ドピュッシー
<0029> ドピュッシー

//<0030> アメリカンエロドッグ
<0030> アメリカンエロドッグ

//<0031> ゼウス
<0031> ゼウス

//<0032> 日向markⅡ
<0032> 日向markⅡ

//<0033> 糞虫
<0033> 糞虫

//<0034> 量産型日向
<0034> 量産型日向

//<0035> ？？
<0035> ？？

//<0036> （松下じゃない…だったら誰だ？）
<0036> （松下じゃない…だったら誰だ？）

//<0037> 話しかける
<0037> 話しかける

//<0038> そっとしておく
<0038> そっとしておく

//<0039> selbtn : 
<0039> selbtn : 

//<0040> 新入りなのか？
<0040> 新入りなのか？

//<0041> nothing
<0041> nothing

//<0042> nothing
<0042> nothing

//<0043> nothing
<0043> nothing

//<0044> nothing
<0044> nothing

//<0045> nothing
<0045> nothing

//<0046> nothing
<0046> nothing

//<0047> 俺は、関わらず、その場を立ち去ることにした。
<0047> 俺は、関わらず、その場を立ち去ることにした。

//<0048> 音無
<0048> 音無

//<0049> クソ坊主
<0049> クソ坊主

//<0050> 代理人
<0050> 代理人

//<0051> 微妙すぎるイケメン
<0051> 微妙すぎるイケメン

//<0052> ロリコン
<0052> ロリコン

//<0053> メガネ仲間
<0053> メガネ仲間

//<0054> 暗算日本記録保持者
<0054> 暗算日本記録保持者

//<0055> 通り魔
<0055> 通り魔

//<0056> 記憶ナシ男
<0056> 記憶ナシ男

//<0057> 音速
<0057> 音速

//<0058> 無限
<0058> 無限

//<0059> エロ侍
<0059> エロ侍

//<0060> エロエロ団ナンバー１
<0060> エロエロ団ナンバー１

//<0061> ただのエロ少年
<0061> ただのエロ少年

//<0062> ユリブサイク
<0062> ユリブサイク

//<0063> ドピュッシー
<0063> ドピュッシー

//<0064> アメリカンエロドッグ
<0064> アメリカンエロドッグ

//<0065> ゼウス
<0065> ゼウス

//<0066> 日向markⅡ
