// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 白
<0000> 白

//<0001> se_hospital_walk2
<0001> se_hospital_walk2

//<0002> 廊下を歩いていた。
<0002> 廊下を歩いていた。

//<0003> ここはどこだ？
<0003> ここはどこだ？

//<0004> 違和感を覚えてるのに、歩みは止まらない。
<0004> 違和感を覚えてるのに、歩みは止まらない。

//<0005> それは体に染みきった習慣のようだ。
<0005> それは体に染みきった習慣のようだ。

//<0006> 思い出せ。
<0006> 思い出せ。

//<0007> 俺はここで何をしている。
<0007> 俺はここで何をしている。

//<0008> 何をしようとしている。
<0008> 何をしようとしている。

//<0009> 背中に何かを背負っている。
<0009> 背中に何かを背負っている。

//<0010> そこまではわかるが、そっちに目が向けられない。
<0010> そこまではわかるが、そっちに目が向けられない。

//<0011> ただ前を向いて歩き続けた。
<0011> ただ前を向いて歩き続けた。

//<0012> nothing
<0012> nothing

//<0013> 
<0013> 

//<0014> 
<0014> 

//<0015> nothing
<0015> nothing

//<0016> ドアの前で足が自然に止まった。
<0016> ドアの前で足が自然に止まった。

//<0017> そこにはネームプレートが貼られていた。
<0017> そこにはネームプレートが貼られていた。

//<0018> ひとり部屋じゃない。
<0018> ひとり部屋じゃない。

//<0019> 名前が羅列されている。
<0019> 名前が羅列されている。

//<0020> 覚えのある名を探した。
<0020> 覚えのある名を探した。

//<0021> 音無、という名字が見つかった。
<0021> 音無、という名字が見つかった。

//<0022> 下は初音。
<0022> 下は初音。

//<0023> se_knock_hospital
<0023> se_knock_hospital

//<0024> 自分の意志とは関係なく、ノックをしていた。
<0024> 自分の意志とは関係なく、ノックをしていた。

//<0025> 返事も待たず、病室の扉に手をかける。
<0025> 返事も待たず、病室の扉に手をかける。

//<0026> この先に待つのは…
<0026> この先に待つのは…

//<0027> se_hospitaldoor_open
<0027> se_hospitaldoor_open

//<0028> nothing
<0028> nothing

//<0029> 
<0029> 

//<0030> 
<0030> 

//<0031> nothing
<0031> nothing

//<0032> 音無初音。
<0032> 音無初音。

//<0033> 俺の妹だ。
<0033> 俺の妹だ。

//<0034> 体を壊して、ずっと入院している。
<0034> 体を壊して、ずっと入院している。

//<0035> だから、見舞いに来たんだ。
<0035> だから、見舞いに来たんだ。

//<0036> そうだった。
<0036> そうだった。

//<0037> 何をぼうっとしていたんだろう。
<0037> 何をぼうっとしていたんだろう。

//<0038> 中に入る。扉の閉まる音に気付いたらしい。
<0038> 中に入る。扉の閉まる音に気付いたらしい。

//<0039> 寝ている初音の目がこっちを向いていた。
<0039> 寝ている初音の目がこっちを向いていた。

//<0040> 音無
<0040> 音無

//<0041> クソ坊主
<0041> クソ坊主

//<0042> 代理人
<0042> 代理人

//<0043> 微妙すぎるイケメン
