// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day

//<0001> random
<0001> random

//<0002> ………。
<0002> ………。

//<0003> se_air2
<0003> se_air2

//<0004> ……。
<0004> ……。

//<0005> …。
<0005> …。

//<0006> se_elec_spark
<0006> se_elec_spark

//<0007> nothing
<0007> nothing

//<0008> 
<0008> 

//<0009> 
<0009> 

//<0010> nothing
<0010> nothing

//<0011> 目覚めたら、真っ暗だった。
<0011> 目覚めたら、真っ暗だった。

//<0012> なんだ俺は寝入っていたのか…？
<0012> なんだ俺は寝入っていたのか…？

//<0013> にしては、体が痛い…。
<0013> にしては、体が痛い…。

//<0014> 床が傾いているぞ…。
<0014> 床が傾いているぞ…。

//<0015> 俺は何をしてたんだっけか…。
<0015> 俺は何をしてたんだっけか…。

//<0016> 白
<0016> 白

//<0017> nothing
<0017> nothing

//<0018> 
<0018> 

//<0019> 
<0019> 

//<0020> nothing
<0020> nothing

//<0021> 初音
<0021> 初音

//<0022> 「ありがとう、おにぃちゃん」
<0022> 「ありがとう、おにぃちゃん」

//<0023> se_memory2
<0023> se_memory2

//<0024> 初音の笑顔が脳裏をよぎった。
<0024> 初音の笑顔が脳裏をよぎった。

//<0025> そこから、新たに続きの記憶を取り戻した。
<0025> そこから、新たに続きの記憶を取り戻した。

//<0026> se_air2
<0026> se_air2

//<0027> se_elec_spark
<0027> se_elec_spark

//<0028> そうだ、初音を失った俺は、もう一度生き甲斐を手に入れるため、必死に勉強して、大学の医学部を目指してセンター試験を受けに…。
<0028> そうだ、初音を失った俺は、もう一度生き甲斐を手に入れるため、必死に勉強して、大学の医学部を目指してセンター試験を受けに…。

//<0029> その試験会場に向かう電車の中で、激しい揺れを覚えて…。
<0029> その試験会場に向かう電車の中で、激しい揺れを覚えて…。

//<0030> 今、この有様なんだ…。
<0030> 今、この有様なんだ…。

//<0031> 電車事故が起きたんだ…。
<0031> 電車事故が起きたんだ…。

//<0032> 暗いということは、トンネルの中か…。
<0032> 暗いということは、トンネルの中か…。

//<0033> 光源となるものはないのか…。
<0033> 光源となるものはないのか…。

//<0034> そうだ、携帯電話がある。
<0034> そうだ、携帯電話がある。

//<0035> それを開いて、痛む体を押して立ち上がる。
<0035> それを開いて、痛む体を押して立ち上がる。

//<0036> 照らし出された光景…。
<0036> 照らし出された光景…。

//<0037> 音無
<0037> 音無

//<0038> クソ坊主
<0038> クソ坊主

//<0039> 代理人
<0039> 代理人

//<0040> 微妙すぎるイケメン
<0040> 微妙すぎるイケメン

//<0041> ロリコン
<0041> ロリコン

//<0042> メガネ仲間
<0042> メガネ仲間

//<0043> 暗算日本記録保持者
<0043> 暗算日本記録保持者

//<0044> 通り魔
<0044> 通り魔

//<0045> 記憶ナシ男
<0045> 記憶ナシ男

//<0046> 音速
<0046> 音速

//<0047> 無限
<0047> 無限

//<0048> エロ侍
<0048> エロ侍

//<0049> エロエロ団ナンバー１
<0049> エロエロ団ナンバー１

//<0050> ただのエロ少年
<0050> ただのエロ少年

//<0051> ユリブサイク
<0051> ユリブサイク

//<0052> ドピュッシー
<0052> ドピュッシー

//<0053> アメリカンエロドッグ
<0053> アメリカンエロドッグ

//<0054> ゼウス
<0054> ゼウス

//<0055> 日向markⅡ
<0055> 日向markⅡ

//<0056> 糞虫
<0056> 糞虫

//<0057> 量産型日向
<0057> 量産型日向

//<0058> ？？
<0058> ？？

//<0059> 「…なんだこれは…」
<0059> 「…なんだこれは…」

//<0060> 人が至るところで倒れていた…。
<0060> 人が至るところで倒れていた…。

//<0061> うめき声も聞こえてくる。
<0061> うめき声も聞こえてくる。

//<0062> その中、必死に助けを求める声。
<0062> その中、必死に助けを求める声。

//<0063> 音無
<0063> 音無

//<0064> クソ坊主
<0064> クソ坊主

//<0065> 代理人
<0065> 代理人

//<0066> 微妙すぎるイケメン
<0066> 微妙すぎるイケメン

//<0067> ロリコン
<0067> ロリコン

//<0068> メガネ仲間
<0068> メガネ仲間

//<0069> 暗算日本記録保持者
<0069> 暗算日本記録保持者

//<0070> 通り魔
<0070> 通り魔

//<0071> 記憶ナシ男
<0071> 記憶ナシ男

//<0072> 音速
<0072> 音速

//<0073> 無限
<0073> 無限

//<0074> エロ侍
<0074> エロ侍

//<0075> エロエロ団ナンバー１
<0075> エロエロ団ナンバー１

//<0076> ただのエロ少年
<0076> ただのエロ少年

//<0077> ユリブサイク
<0077> ユリブサイク

//<0078> ドピュッシー
<0078> ドピュッシー

//<0079> アメリカンエロドッグ
<0079> アメリカンエロドッグ

//<0080> ゼウス
<0080> ゼウス

//<0081> 日向markⅡ
<0081> 日向markⅡ

//<0082> 糞虫
<0082> 糞虫

//<0083> 量産型日向
<0083> 量産型日向

//<0084> ？？
<0084> ？？

//<0085> 「どこだっ！」
<0085> 「どこだっ！」

//<0086> 声
<0086> 声

//<0087> 「ここだっ、助けてくれ！」
<0087> 「ここだっ、助けてくれ！」

//<0088> 駆けつけると、傾いた窓枠にしがみついて、今にも闇の底へ落ちそうな男が居た。
<0088> 駆けつけると、傾いた窓枠にしがみついて、今にも闇の底へ落ちそうな男が居た。

//<0089> 手を差し伸べ男の腕を掴む。相手も力強く掴み返してくる。
<0089> 手を差し伸べ男の腕を掴む。相手も力強く掴み返してくる。

//<0090> 音無
<0090> 音無

//<0091> クソ坊主
<0091> クソ坊主

//<0092> 代理人
<0092> 代理人

//<0093> 微妙すぎるイケメン
<0093> 微妙すぎるイケメン

//<0094> ロリコン
<0094> ロリコン

//<0095> メガネ仲間
<0095> メガネ仲間

//<0096> 暗算日本記録保持者
<0096> 暗算日本記録保持者

//<0097> 通り魔
<0097> 通り魔

//<0098> 記憶ナシ男
<0098> 記憶ナシ男

//<0099> 音速
<0099> 音速

//<0100> 無限
<0100> 無限

//<0101> エロ侍
<0101> エロ侍

//<0102> エロエロ団ナンバー１
<0102> エロエロ団ナンバー１

//<0103> ただのエロ少年
<0103> ただのエロ少年

//<0104> ユリブサイク
