// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> そうだ。図書館に行くと決めていたんだった。
<0000> そうだ。図書館に行くと決めていたんだった。

//<0001> ＮＰＣに場所を訊き、辿り着く。
<0001> ＮＰＣに場所を訊き、辿り着く。

//<0002> nothing
<0002> nothing

//<0003> 
<0003> 

//<0004> 
<0004> 

//<0005> nothing
<0005> nothing

//<0006> 音無
<0006> 音無

//<0007> クソ坊主
<0007> クソ坊主

//<0008> 代理人
<0008> 代理人

//<0009> 微妙すぎるイケメン
<0009> 微妙すぎるイケメン

//<0010> ロリコン
<0010> ロリコン

//<0011> メガネ仲間
<0011> メガネ仲間

//<0012> 暗算日本記録保持者
<0012> 暗算日本記録保持者

//<0013> 通り魔
<0013> 通り魔

//<0014> 記憶ナシ男
<0014> 記憶ナシ男

//<0015> 音速
<0015> 音速

//<0016> 無限
<0016> 無限

//<0017> エロ侍
<0017> エロ侍

//<0018> エロエロ団ナンバー１
<0018> エロエロ団ナンバー１

//<0019> ただのエロ少年
<0019> ただのエロ少年

//<0020> ユリブサイク
<0020> ユリブサイク

//<0021> ドピュッシー
<0021> ドピュッシー

//<0022> アメリカンエロドッグ
<0022> アメリカンエロドッグ

//<0023> ゼウス
<0023> ゼウス

//<0024> 日向markⅡ
<0024> 日向markⅡ

//<0025> 糞虫
<0025> 糞虫

//<0026> 量産型日向
<0026> 量産型日向

//<0027> ？？
<0027> ？？

//<0028> （確かになんでもありそーだ…）
<0028> （確かになんでもありそーだ…）

//<0029> それぐらい馬鹿でかい図書館だった。
<0029> それぐらい馬鹿でかい図書館だった。

//<0030> もちろん中もでかい。左右どっちに行けばいいのかもわからない。
<0030> もちろん中もでかい。左右どっちに行けばいいのかもわからない。

//<0031> 入り口脇のカウンターに女性の司書さんが居た。
<0031> 入り口脇のカウンターに女性の司書さんが居た。

//<0032> 学生ではない。眼鏡が似合う、クールビューティーの女性。なのでＮＰＣだろう。
<0032> 学生ではない。眼鏡が似合う、クールビューティーの女性。なのでＮＰＣだろう。

//<0033> 司書
<0033> 司書

//<0034> 「何か、お探しですか？」
<0034> 「何か、お探しですか？」

//<0035> 突っ立っていると、司書さんに声をかけられた。
<0035> 突っ立っていると、司書さんに声をかけられた。

//<0036> 漫画
<0036> 漫画

//<0037> 学書
<0037> 学書

//<0038> エロ本
<0038> エロ本

//<0039> selbtn : 
<0039> selbtn : 

//<0040> 音無
<0040> 音無

//<0041> クソ坊主
<0041> クソ坊主

//<0042> 代理人
<0042> 代理人

//<0043> 微妙すぎるイケメン
<0043> 微妙すぎるイケメン

//<0044> ロリコン
<0044> ロリコン

//<0045> メガネ仲間
<0045> メガネ仲間

//<0046> 暗算日本記録保持者
<0046> 暗算日本記録保持者

//<0047> 通り魔
<0047> 通り魔

//<0048> 記憶ナシ男
<0048> 記憶ナシ男

//<0049> 音速
<0049> 音速

//<0050> 無限
<0050> 無限

//<0051> エロ侍
<0051> エロ侍

//<0052> エロエロ団ナンバー１
<0052> エロエロ団ナンバー１

//<0053> ただのエロ少年
<0053> ただのエロ少年

//<0054> ユリブサイク
<0054> ユリブサイク

//<0055> ドピュッシー
<0055> ドピュッシー

//<0056> アメリカンエロドッグ
<0056> アメリカンエロドッグ

//<0057> ゼウス
<0057> ゼウス

//<0058> 日向markⅡ
<0058> 日向markⅡ

//<0059> 糞虫
<0059> 糞虫

//<0060> 量産型日向
<0060> 量産型日向

//<0061> ？？
<0061> ？？

//<0062> 「漫画はどの辺にありますか？」
<0062> 「漫画はどの辺にありますか？」

//<0063> 司書
<0063> 司書

//<0064> 「タイトルを教えてもらえれば、検索しますが？」
<0064> 「タイトルを教えてもらえれば、検索しますが？」

//<0065> 訊き返される。
<0065> 訊き返される。

//<0066> 音無
<0066> 音無

//<0067> クソ坊主
<0067> クソ坊主

//<0068> 代理人
<0068> 代理人

//<0069> 微妙すぎるイケメン
<0069> 微妙すぎるイケメン

//<0070> ロリコン
<0070> ロリコン

//<0071> メガネ仲間
<0071> メガネ仲間

//<0072> 暗算日本記録保持者
<0072> 暗算日本記録保持者

//<0073> 通り魔
