// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- BAD EPISODE.Lost Memories
<0000> -1st beat- BAD EPISODE.Lost Memories
{0047} 0a // 0000

//<0001> 恐らく、一晩は経ったのだろう。
<0001> 恐らく、一晩は経ったのだろう。

//<0002> 俺も眠っていた。
<0002> 俺も眠っていた。

//<0003> se_key_open
<0003> se_key_open

//<0004> ガチャガチャという物音で起きた。
<0004> ガチャガチャという物音で起きた。

//<0005> nothing
<0005> nothing

//<0006> nothing
<0006> nothing

//<0007> nothing
<0007> nothing

//<0008> nothing
<0008> nothing

//<0009> nothing
<0009> nothing

//<0010> そこには、生徒会メンバーを引き連れた直井の姿が。
<0010> そこには、生徒会メンバーを引き連れた直井の姿が。

//<0011> nothing
<0011> nothing

//<0012> nothing
<0012> nothing

//<0013> nothing
<0013> nothing

//<0014> nothing
<0014> nothing

//<0015> nothing
<0015> nothing

//<0016> 直井
<0016> 直井

//<0017> 「あなたの所属する戦線のメンバーはこの世界から旅立っていきました」
<0017> 「あなたの所属する戦線のメンバーはこの世界から旅立っていきました」

//<0018> 俺に向けて言う。
<0018> 俺に向けて言う。

//<0019> 音無
<0019> 音無

//<0020> クソ坊主
<0020> クソ坊主

//<0021> 代理人
<0021> 代理人

//<0022> 微妙すぎるイケメン
<0022> 微妙すぎるイケメン

//<0023> ロリコン
<0023> ロリコン

//<0024> メガネ仲間
<0024> メガネ仲間

//<0025> 暗算日本記録保持者
<0025> 暗算日本記録保持者

//<0026> 通り魔
<0026> 通り魔

//<0027> 記憶ナシ男
<0027> 記憶ナシ男

//<0028> 音速
<0028> 音速

//<0029> 無限
<0029> 無限

//<0030> エロ侍
<0030> エロ侍

//<0031> エロエロ団ナンバー１
<0031> エロエロ団ナンバー１

//<0032> ただのエロ少年
<0032> ただのエロ少年

//<0033> ユリブサイク
<0033> ユリブサイク

//<0034> ドピュッシー
<0034> ドピュッシー

//<0035> アメリカンエロドッグ
<0035> アメリカンエロドッグ

//<0036> ゼウス
<0036> ゼウス

//<0037> 日向markⅡ
<0037> 日向markⅡ

//<0038> 糞虫
<0038> 糞虫

//<0039> 量産型日向
<0039> 量産型日向

//<0040> ？？
<0040> ？？

//<0041> 「…！？」
<0041> 「…！？」

//<0042> 嘘だ…これまで連綿と続いてきた戦線に限ってそんなことはありえない！
<0042> 嘘だ…これまで連綿と続いてきた戦線に限ってそんなことはありえない！

//<0043> 音無
<0043> 音無

//<0044> クソ坊主
<0044> クソ坊主

//<0045> 代理人
<0045> 代理人

//<0046> 微妙すぎるイケメン
<0046> 微妙すぎるイケメン

//<0047> ロリコン
<0047> ロリコン

//<0048> メガネ仲間
<0048> メガネ仲間

//<0049> 暗算日本記録保持者
<0049> 暗算日本記録保持者

//<0050> 通り魔
<0050> 通り魔

//<0051> 記憶ナシ男
<0051> 記憶ナシ男

//<0052> 音速
<0052> 音速

//<0053> 無限
<0053> 無限

//<0054> エロ侍
<0054> エロ侍

//<0055> エロエロ団ナンバー１
<0055> エロエロ団ナンバー１

//<0056> ただのエロ少年
<0056> ただのエロ少年

//<0057> ユリブサイク
<0057> ユリブサイク

//<0058> ドピュッシー
<0058> ドピュッシー

//<0059> アメリカンエロドッグ
<0059> アメリカンエロドッグ

//<0060> ゼウス
<0060> ゼウス

//<0061> 日向markⅡ
<0061> 日向markⅡ

//<0062> 糞虫
<0062> 糞虫

//<0063> 量産型日向
<0063> 量産型日向

//<0064> ？？
<0064> ？？

//<0065> 「少なくとも、ゆりは、絶対に残ってるはずだ！」
<0065> 「少なくとも、ゆりは、絶対に残ってるはずだ！」

//<0066> それに日向も！
<0066> それに日向も！

//<0067> nothing
<0067> nothing

//<0068> nothing
<0068> nothing

//<0069> nothing
<0069> nothing

//<0070> nothing
<0070> nothing

//<0071> nothing
<0071> nothing

//<0072> 直井
<0072> 直井

//<0073> 「まっさきに消してやりましたが」
<0073> 「まっさきに消してやりましたが」

//<0074> 音無
<0074> 音無

//<0075> クソ坊主
<0075> クソ坊主

//<0076> 代理人
<0076> 代理人

//<0077> 微妙すぎるイケメン
<0077> 微妙すぎるイケメン

//<0078> ロリコン
<0078> ロリコン

//<0079> メガネ仲間
<0079> メガネ仲間

//<0080> 暗算日本記録保持者
<0080> 暗算日本記録保持者

//<0081> 通り魔
<0081> 通り魔

//<0082> 記憶ナシ男
<0082> 記憶ナシ男

//<0083> 音速
<0083> 音速

//<0084> 無限
<0084> 無限

//<0085> エロ侍
<0085> エロ侍

//<0086> エロエロ団ナンバー１
<0086> エロエロ団ナンバー１

//<0087> ただのエロ少年
<0087> ただのエロ少年

//<0088> ユリブサイク
<0088> ユリブサイク

//<0089> ドピュッシー
<0089> ドピュッシー

//<0090> アメリカンエロドッグ
<0090> アメリカンエロドッグ

//<0091> ゼウス
<0091> ゼウス

//<0092> 日向markⅡ
<0092> 日向markⅡ

//<0093> 糞虫
<0093> 糞虫

//<0094> 量産型日向
<0094> 量産型日向

//<0095> ？？
<0095> ？？

//<0096> 「どうやって！？」
<0096> 「どうやって！？」

//<0097> nothing
<0097> nothing

//<0098> nothing
<0098> nothing

//<0099> nothing
<0099> nothing

//<0100> nothing
<0100> nothing

//<0101> nothing
<0101> nothing

//<0102> 直井
<0102> 直井
{232d} 33 // 0102

//<0103> 「催眠術です。こいつを通路へ連れ出して、動けなくしろ」
<0103> 「催眠術です。こいつを通路へ連れ出して、動けなくしろ」

//<0104> nothing
<0104> nothing

//<0105> nothing
<0105> nothing

//<0106> nothing
<0106> nothing

//<0107> nothing
<0107> nothing

//<0108> nothing
<0108> nothing

//<0109> nothing
<0109> nothing

