// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 14_大山
<0000> 14_大山

//<0001> 02_ゆり
<0001> 02_ゆり

//<0002> _00
<0002> _00

//<0003> 04_岩沢
<0003> 04_岩沢

//<0004> _00
<0004> _00

//<0005> 15_松下
<0005> 15_松下

//<0006> _00
<0006> _00

//<0007> 02_ゆり
<0007> 02_ゆり

//<0008> _00
<0008> _00

//<0009> 04_岩沢
<0009> 04_岩沢

//<0010> _00
<0010> _00

//<0011> 15_松下
<0011> 15_松下

//<0012> _00
<0012> _00

//<0013> 11_野田
<0013> 11_野田

//<0014> _00
<0014> _00

//<0015> 02_ゆり
<0015> 02_ゆり

//<0016> _00
<0016> _00

//<0017> 04_岩沢
<0017> 04_岩沢

//<0018> _00
<0018> _00

//<0019> 15_松下
<0019> 15_松下

//<0020> _00
<0020> _00

//<0021> 11_野田
<0021> 11_野田

//<0022> _00
<0022> _00

//<0023> 05_ひさ子
<0023> 05_ひさ子

//<0024> _00
<0024> _00

//<0025> 03_ユイ_00
<0025> 03_ユイ_00

//<0026> 02_ゆり
<0026> 02_ゆり

//<0027> _00
<0027> _00

//<0028> 04_岩沢
<0028> 04_岩沢

//<0029> _00
<0029> _00

//<0030> 15_松下
<0030> 15_松下

//<0031> _00
<0031> _00

//<0032> 11_野田
<0032> 11_野田

//<0033> _00
<0033> _00

//<0034> 01_かなで戦闘
<0034> 01_かなで戦闘

//<0035> _02
<0035> _02

//<0036> 02_ゆり
<0036> 02_ゆり

//<0037> _00
<0037> _00

//<0038> まともに歩けないほどの、痛みが残っている。さすがに一日寝ないと、治らないのか…。
<0038> まともに歩けないほどの、痛みが残っている。さすがに一日寝ないと、治らないのか…。

//<0039> 03_ユイ_00
<0039> 03_ユイ_00

//<0040> 11_野田
<0040> 11_野田

//<0041> _00
<0041> _00

//<0042> 05_ひさ子
<0042> 05_ひさ子

//<0043> _00
<0043> _00

//<0044> 02_ゆり
<0044> 02_ゆり

//<0045> _00
<0045> _00

//<0046> 03_ユイ_01
<0046> 03_ユイ_01

//<0047> 04_岩沢
<0047> 04_岩沢

//<0048> _00
<0048> _00

//<0049> 11_野田
<0049> 11_野田

//<0050> _00
<0050> _00

//<0051> 15_松下
<0051> 15_松下

//<0052> _00
<0052> _00

//<0053> 01_かなで戦闘
<0053> 01_かなで戦闘

//<0054> _03
<0054> _03

//<0055> 21_図書館
<0055> 21_図書館

//<0056> 03_ユイ_02
<0056> 03_ユイ_02

//<0057> 02_ゆり
<0057> 02_ゆり

//<0058> _00
<0058> _00

//<0059> 05_ひさ子
<0059> 05_ひさ子

//<0060> _00
<0060> _00

//<0061> 01_かなで
<0061> 01_かなで

//<0062> _11
<0062> _11

//<0063> 肩を脱臼している今、野田と会うのはさすがに無理がある…。
<0063> 肩を脱臼している今、野田と会うのはさすがに無理がある…。

//<0064> 11_野田
<0064> 11_野田

//<0065> _00
<0065> _00

//<0066> 03_ユイ_03
<0066> 03_ユイ_03

//<0067> 02_ゆり
<0067> 02_ゆり

//<0068> _05
<0068> _05

//<0069> 11_野田
<0069> 11_野田

//<0070> _00
<0070> _00

//<0071> 04_岩沢
<0071> 04_岩沢

//<0072> _00
<0072> _00

//<0073> 今日は大事なオペレーションだ…。怪我を負っては臨めないので、松下五段には会わないでおこう…。
<0073> 今日は大事なオペレーションだ…。怪我を負っては臨めないので、松下五段には会わないでおこう…。

//<0074> 01_かなで戦闘
<0074> 01_かなで戦闘

//<0075> _04
<0075> _04

//<0076> 02_ゆり
<0076> 02_ゆり

//<0077> _05
<0077> _05

//<0078> 03_ユイ_04
<0078> 03_ユイ_04

//<0079> 05_ひさ子
<0079> 05_ひさ子

//<0080> _00
<0080> _00

//<0081> 04_岩沢
<0081> 04_岩沢

//<0082> _00
<0082> _00

//<0083> 01_かなで
<0083> 01_かなで

//<0084> _05
<0084> _05

//<0085> 03_ユイ_05
<0085> 03_ユイ_05

//<0086> 04_岩沢
<0086> 04_岩沢

//<0087> _10
<0087> _10

//<0088> 02_ゆり
<0088> 02_ゆり

//<0089> _06
<0089> _06

//<0090> 21_図書館
<0090> 21_図書館

//<0091> 11_野田
<0091> 11_野田

//<0092> _00
<0092> _00

//<0093> 15_松下
<0093> 15_松下

//<0094> _06
<0094> _06

//<0095> 03_ユイ_06
<0095> 03_ユイ_06

//<0096> 02_ゆり
<0096> 02_ゆり

//<0097> _07
<0097> _07

//<0098> 11_野田
<0098> 11_野田

//<0099> _00
<0099> _00

//<0100> 04_岩沢
<0100> 04_岩沢

//<0101> _10B
<0101> _10B

//<0102> 21_図書館
<0102> 21_図書館

//<0103> 03_ユイ_07
<0103> 03_ユイ_07

//<0104> 04_岩沢
<0104> 04_岩沢

//<0105> _15
<0105> _15

//<0106> 15_松下
<0106> 15_松下

//<0107> _00
<0107> _00

//<0108> 01_かなで
<0108> 01_かなで

//<0109> _06
<0109> _06

//<0110> 03_ユイ_08
<0110> 03_ユイ_08

//<0111> 21_図書館
<0111> 21_図書館

//<0112> 04_岩沢
<0112> 04_岩沢

//<0113> _15
<0113> _15

//<0114> 15_松下
<0114> 15_松下

//<0115> _08
<0115> _08

//<0116> 01_かなで
<0116> 01_かなで

//<0117> _10
<0117> _10

//<0118> 日中は日向以外の戦線メンバー、特に幹部と会って話をしてみることにした。
<0118> 日中は日向以外の戦線メンバー、特に幹部と会って話をしてみることにした。

//<0119> nothing
<0119> nothing

//<0120> nothing
<0120> nothing

//<0121> nothing
<0121> nothing

//<0122> nothing
<0122> nothing

//<0123> nothing
<0123> nothing

//<0124> 松下
<0124> 松下

//<0125> 「む？　稽古になら付き合うが？」
<0125> 「む？　稽古になら付き合うが？」

//<0126> 音無
<0126> 音無

//<0127> クソ坊主
<0127> クソ坊主

//<0128> 代理人
<0128> 代理人

//<0129> 微妙すぎるイケメン
<0129> 微妙すぎるイケメン

//<0130> ロリコン
<0130> ロリコン

//<0131> メガネ仲間
<0131> メガネ仲間

//<0132> 暗算日本記録保持者
<0132> 暗算日本記録保持者

//<0133> 通り魔
<0133> 通り魔

//<0134> 記憶ナシ男
<0134> 記憶ナシ男

//<0135> 音速
<0135> 音速

//<0136> 無限
<0136> 無限

//<0137> エロ侍
<0137> エロ侍

//<0138> エロエロ団ナンバー１
<0138> エロエロ団ナンバー１

//<0139> ただのエロ少年
<0139> ただのエロ少年

//<0140> ユリブサイク
<0140> ユリブサイク

//<0141> ドピュッシー
<0141> ドピュッシー

//<0142> アメリカンエロドッグ
<0142> アメリカンエロドッグ

//<0143> ゼウス
<0143> ゼウス

//<0144> 日向markⅡ
<0144> 日向markⅡ

//<0145> 糞虫
<0145> 糞虫

//<0146> 量産型日向
<0146> 量産型日向

//<0147> ？？
<0147> ？？

//<0148> 「いやいや、話をしにきたんだが…」
<0148> 「いやいや、話をしにきたんだが…」

//<0149> nothing
<0149> nothing

//<0150> nothing
<0150> nothing

//<0151> nothing
<0151> nothing

//<0152> nothing
<0152> nothing

//<0153> nothing
<0153> nothing

//<0154> 松下
<0154> 松下

//<0155> 「俺にとっては、会話イコール稽古だ」
<0155> 「俺にとっては、会話イコール稽古だ」

//<0156> 話にならない…。
<0156> 話にならない…。

//<0157> nothing
<0157> nothing

//<0158> nothing
<0158> nothing

//<0159> nothing
<0159> nothing

//<0160> nothing
<0160> nothing

//<0161> nothing
<0161> nothing

//<0162> 岩沢
<0162> 岩沢

//<0163> 「作詞の邪魔だ。出て行ってくれないか」
<0163> 「作詞の邪魔だ。出て行ってくれないか」

//<0164> nothing
<0164> nothing

//<0165> nothing
<0165> nothing

//<0166> nothing
<0166> nothing

//<0167> nothing
<0167> nothing

//<0168> nothing
<0168> nothing

//<0169> nothing
<0169> nothing

//<0170> 話にならない…。
<0170> 話にならない…。

//<0171> nothing
<0171> nothing

//<0172> nothing
<0172> nothing

//<0173> nothing
<0173> nothing

//<0174> nothing
<0174> nothing

//<0175> nothing
<0175> nothing

//<0176> 岩沢
<0176> 岩沢

//<0177> 「すまない、今、いい歌詞が書けそうなんだ…」
<0177> 「すまない、今、いい歌詞が書けそうなんだ…」

//<0178> nothing
<0178> nothing

//<0179> nothing
<0179> nothing

//<0180> nothing
<0180> nothing

//<0181> nothing
<0181> nothing

//<0182> nothing
<0182> nothing

//<0183> nothing
<0183> nothing

//<0184> となれば、遠慮するしかない…。
<0184> となれば、遠慮するしかない…。

//<0185> ユイ
<0185> ユイ
