// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> dummy
<0000> dummy

//<0001> evcm_0506
<0001> evcm_0506

//<0002> evcm_0516
<0002> evcm_0516

//<0003> evcm_0517
<0003> evcm_0517

//<0004> evcm_0601
<0004> evcm_0601

//<0005> evcm_0602
<0005> evcm_0602

//<0006> evcm_0603
<0006> evcm_0603

//<0007> evcm_0701
<0007> evcm_0701

//<0008> evcm_0702
<0008> evcm_0702

//<0009> evcm_0801
<0009> evcm_0801

//<0010> evcm_3801
<0010> evcm_3801

//<0011> ep01_bg001
<0011> ep01_bg001

//<0012> ep01_bg002
<0012> ep01_bg002

//<0013> ep01_bg013
<0013> ep01_bg013

//<0014> ep01_bg015
<0014> ep01_bg015

//<0015> ep01_bg017
<0015> ep01_bg017

//<0016> ep01_bg019
<0016> ep01_bg019

//<0017> ep01_bg020
<0017> ep01_bg020

//<0018> ep01_bg023
<0018> ep01_bg023

//<0019> ep01_bg025
<0019> ep01_bg025

//<0020> ep01_bg027
<0020> ep01_bg027

//<0021> ep01_bg028
<0021> ep01_bg028

//<0022> ep01_bg082
<0022> ep01_bg082

//<0023> ep01_bg090
<0023> ep01_bg090

//<0024> ep01_bg093
<0024> ep01_bg093

//<0025> ep01_bg095
<0025> ep01_bg095

//<0026> ep01_bg097
<0026> ep01_bg097

//<0027> ep01_bg098
<0027> ep01_bg098

//<0028> ep03_bg029
<0028> ep03_bg029

//<0029> ep03_bg033
<0029> ep03_bg033

//<0030> ep03_bg034
<0030> ep03_bg034

//<0031> ep03_bg044
<0031> ep03_bg044

//<0032> ep03_bg047
<0032> ep03_bg047

//<0033> ep05_bg036
<0033> ep05_bg036

//<0034> ep05_bg041
<0034> ep05_bg041

//<0035> ep05_bg042
<0035> ep05_bg042

//<0036> ep05_bg043
<0036> ep05_bg043

//<0037> ep05_bg044
<0037> ep05_bg044

//<0038> ep07_bg050
<0038> ep07_bg050

//<0039> ep07_bg051
<0039> ep07_bg051

//<0040> ep07_bg052
<0040> ep07_bg052

//<0041> ep08_bg004
<0041> ep08_bg004

//<0042> ep09_bg002
<0042> ep09_bg002

//<0043> ep10_bg025
<0043> ep10_bg025

//<0044> ep11_bg015
<0044> ep11_bg015

//<0045> ep08_bg032
<0045> ep08_bg032

//<0046> ep88_bg021
<0046> ep88_bg021

//<0047> ep88_bg022
<0047> ep88_bg022

//<0048> ep88_bg031
<0048> ep88_bg031

//<0049> ep88_bg032
<0049> ep88_bg032

//<0050> ep99_bg004
<0050> ep99_bg004

//<0051> ep99_bg005
<0051> ep99_bg005

//<0052> ep07_bg051
<0052> ep07_bg051

//<0053> ep99_bg013
<0053> ep99_bg013

//<0054> ep03_bg004
<0054> ep03_bg004

//<0055> evcm_0401
<0055> evcm_0401

//<0056> evcm_0402
<0056> evcm_0402

//<0057> ep02_bg027
<0057> ep02_bg027

//<0058> ep02_bg029
<0058> ep02_bg029

//<0059> ep02_bg030
<0059> ep02_bg030

//<0060> ep02_bg031
<0060> ep02_bg031

//<0061> ep88_bg060
<0061> ep88_bg060

//<0062> ep02_bg032
<0062> ep02_bg032

//<0063> ep02_bg035
<0063> ep02_bg035

//<0064> ep02_bg037
<0064> ep02_bg037

//<0065> ep02_bg039
<0065> ep02_bg039

//<0066> ep02_bg040
<0066> ep02_bg040

//<0067> ep02_bg041
<0067> ep02_bg041

//<0068> ep02_bg043
<0068> ep02_bg043

//<0069> ep04_bg019
<0069> ep04_bg019

//<0070> ep04_bg020
<0070> ep04_bg020

//<0071> ep08_bg025
<0071> ep08_bg025

//<0072> ep88_bg026
<0072> ep88_bg026

//<0073> ep02_bg015
<0073> ep02_bg015

//<0074> ep02_bg057
<0074> ep02_bg057

//<0075> ep02_bg058
<0075> ep02_bg058

//<0076> ep02_bg060
<0076> ep02_bg060

//<0077> ep02_bg061
<0077> ep02_bg061

//<0078> ep02_bg062
<0078> ep02_bg062

//<0079> ep02_bg063
<0079> ep02_bg063

//<0080> ep07_bg048
<0080> ep07_bg048

//<0081> ep02_bg017
<0081> ep02_bg017

//<0082> ep02_bg019
<0082> ep02_bg019

//<0083> ep02_bg047
<0083> ep02_bg047

//<0084> ep02_bg054
<0084> ep02_bg054

//<0085> evcm_0518
<0085> evcm_0518

//<0086> evcm_0515
<0086> evcm_0515

//<0087> ep08_bg024
<0087> ep08_bg024

//<0088> ep02_bg008
<0088> ep02_bg008

//<0089> ep05_bg026
<0089> ep05_bg026

//<0090> ep88_bg059
<0090> ep88_bg059

//<0091> ep10_bg028
<0091> ep10_bg028

//<0092> ep06_bg022
<0092> ep06_bg022

//<0093> ep06_bg023
<0093> ep06_bg023

//<0094> ep06_bg039
<0094> ep06_bg039

//<0095> ep88_bg054
<0095> ep88_bg054

//<0096> ep88_bg055
<0096> ep88_bg055

//<0097> ep02_bg021
<0097> ep02_bg021

//<0098> ep02_bg022
<0098> ep02_bg022

//<0099> ep08_bg020
<0099> ep08_bg020

//<0100> evcm_0512
<0100> evcm_0512

//<0101> evcm_0515
<0101> evcm_0515

//<0102> evcm_3901
<0102> evcm_3901

//<0103> ep09_bg006
<0103> ep09_bg006

//<0104> ep09_bg007
<0104> ep09_bg007

//<0105> ep08_bg035
<0105> ep08_bg035

//<0106> ep08_bg036
<0106> ep08_bg036

//<0107> ep08_bg037
<0107> ep08_bg037

//<0108> ep08_bg038
<0108> ep08_bg038

//<0109> ep08_bg039
<0109> ep08_bg039

//<0110> ep09_bg011
<0110> ep09_bg011

//<0111> ep08_bg038
<0111> ep08_bg038

//<0112> ep09_bg012
<0112> ep09_bg012

//<0113> ep09_bg014
<0113> ep09_bg014

//<0114> ep09_bg015
<0114> ep09_bg015

//<0115> ep09_bg018
<0115> ep09_bg018

//<0116> bg_kuro
<0116> bg_kuro

//<0117> bg_siro
<0117> bg_siro

//<0118> bg_kuron
<0118> bg_kuron

//<0119> bg_siron
<0119> bg_siron

//<0120> ev_kuro
<0120> ev_kuro

//<0121> ev_siro
<0121> ev_siro

//<0122> ev_aka
<0122> ev_aka

