// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _mask02
<0000> _mask02

//<0001> _mask02
<0001> _mask02

//<0002> _mask02
<0002> _mask02

//<0003> _mask02
<0003> _mask02

//<0004> _mask02
<0004> _mask02

//<0005> _mask02
<0005> _mask02

//<0006> _mask02
<0006> _mask02

//<0007> _mask03
<0007> _mask03

//<0008> _mask03
<0008> _mask03

//<0009> _mask03
<0009> _mask03

//<0010> _mask03
<0010> _mask03

//<0011> _mask03
<0011> _mask03

//<0012> _mask03
<0012> _mask03

//<0013> _mask03
<0013> _mask03

//<0014> _mask00
<0014> _mask00

//<0015> _mask00
<0015> _mask00

//<0016> _mask00
<0016> _mask00

//<0017> _mask00
<0017> _mask00

//<0018> _mask00
<0018> _mask00

//<0019> _mask00
<0019> _mask00

//<0020> _mask00
<0020> _mask00

//<0021> _mask01
<0021> _mask01

//<0022> _mask01
<0022> _mask01

//<0023> _mask01
<0023> _mask01

//<0024> _mask01
<0024> _mask01

//<0025> _mask01
<0025> _mask01

//<0026> _mask01
<0026> _mask01

//<0027> _mask01
<0027> _mask01

//<0028> _mask01
<0028> _mask01

//<0029> _mask01
<0029> _mask01

//<0030> _mask01
<0030> _mask01

//<0031> _mask01
<0031> _mask01

//<0032> _mask01
<0032> _mask01

//<0033> _mask01
<0033> _mask01

//<0034> _mask01
<0034> _mask01

//<0035> _mask01
<0035> _mask01

//<0036> _mask01
<0036> _mask01

//<0037> _mask01
<0037> _mask01

//<0038> _mask01
<0038> _mask01

//<0039> _mask01
<0039> _mask01

//<0040> _mask01
<0040> _mask01

//<0041> _mask01
<0041> _mask01

//<0042> _mask01
<0042> _mask01

//<0043> _mask01
<0043> _mask01

//<0044> _mask01
<0044> _mask01

//<0045> _mask01
<0045> _mask01

//<0046> _mask01
<0046> _mask01

//<0047> _mask01
<0047> _mask01

//<0048> _mask01
<0048> _mask01

//<0049> _mask01
<0049> _mask01

//<0050> _mask01
<0050> _mask01

//<0051> _mask01
<0051> _mask01

//<0052> _mask01
<0052> _mask01

//<0053> _mask01
<0053> _mask01

//<0054> _mask01
<0054> _mask01

//<0055> _mask01
<0055> _mask01

//<0056> _mask01
<0056> _mask01

//<0057> _mask01
<0057> _mask01

//<0058> _mask01
<0058> _mask01

//<0059> _mask01
<0059> _mask01

//<0060> _mask01
<0060> _mask01

//<0061> _mask01
<0061> _mask01

//<0062> _mask01
<0062> _mask01

//<0063> _mask01
<0063> _mask01

//<0064> _mask01
<0064> _mask01

//<0065> _mask01
<0065> _mask01

//<0066> _mask01
<0066> _mask01

//<0067> _mask01
<0067> _mask01

//<0068> _mask01
<0068> _mask01

//<0069> _mw01a
<0069> _mw01a

//<0070> _mw01a_b
<0070> _mw01a_b

//<0071> _mw03a
<0071> _mw03a

//<0072> _mw03a_b
<0072> _mw03a_b

//<0073> _mw05a
<0073> _mw05a

//<0074> _mw05a_b
<0074> _mw05a_b

//<0075> _mw07a
<0075> _mw07a

//<0076> _mw07a_b
<0076> _mw07a_b

//<0077> dummy
<0077> dummy

//<0078> sys_sm_lword
<0078> sys_sm_lword
{1966a} 7e // 0078

//<0079> sys_sm_lword
<0079> sys_sm_lword
{19830} 7e // 0079

